sorter,loan.or.trip,genus,species,subspecies,collection,specimen.number,sex,svl,locality,ct.whole.body,ct.head,ct.head.phantom,toepads,scales,dice.ct,eggs,status,type.material,percentile,remarks,latitude,longitude,ROM.Object ID,ROM.Object.Number
1,Cameron.Anthro2020-02,long.bone,sp.,,Anthropo,Koobi04,U,NA,"Koobi Fora, locality 261-1",974 975 996 997,,,NA,NA,,,Returned,,NA,test scan,,,,
2,Cameron.Anthro2020-02,long.bone,sp.,,Anthropo,KBS 1,U,NA,Koobi Fora,1039,,,NA,NA,,,Returned,,NA,,,,,
3,Cameron.Anthro2020-02,long.bone,sp.,,Anthropo,I2 LBF2,U,NA,Koobi Fora,1040,,,NA,NA,,,Returned,,NA,,,,,
4,Cameron.Anthro2020-02,long.bone,sp.,,Anthropo,101 LBF,U,NA,Koobi Fora,1041,,,NA,NA,,,Returned,,NA,,,,,
5,Cameron.Anthro2020-02,long.bone,sp.,,Anthropo,KBS 3,U,NA,Koobi Fora,1042,,,NA,NA,,,Returned,,NA,,,,,
6,Cameron.Anthro2020-02,long.bone,sp.,,Anthropo,261-1 LBF2,U,NA,Koobi Fora,1043,,,NA,NA,,,Returned,,NA,,,,,
7,Ward.DevAnthro,Rattus,rattus,,DevAnthro,TestRat1,M,NA,NA,,"956, 957, 958",,NA,NA,,,Returned,,NA,test scan,,,,
8,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G2-2,U,NA,NA,,1130,,NA,NA,,,Returned,,NA,,,,,
9,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G2-3,U,NA,NA,,1131,,NA,NA,,,Returned,,NA,,,,,
10,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G2-4,U,NA,NA,,1132,,NA,NA,,,Returned,,NA,,,,,
11,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G2-5,U,NA,NA,,1133,,NA,NA,,,Returned,,NA,,,,,
12,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G3-1,U,NA,NA,,1134,,NA,NA,,,Returned,,NA,,,,,
13,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G3-4,U,NA,NA,,1135,,NA,NA,,,Returned,,NA,,,,,
14,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G3-7,U,NA,NA,,1136,,NA,NA,,,Returned,,NA,,,,,
15,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G4-5,U,NA,NA,,1137,,NA,NA,,,Returned,,NA,,,,,
16,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G1-3,U,NA,NA,,1138,,NA,NA,,,Returned,,NA,,,,,
17,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G1-6,U,NA,NA,,1139,,NA,NA,,,Returned,,NA,,,,,
18,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G1-7,U,NA,NA,,1140,,NA,NA,,,Returned,,NA,,,,,
19,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G1-8,U,NA,NA,,1141,,NA,NA,,,Returned,,NA,,,,,
20,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G2-7,U,NA,NA,,1142,,NA,NA,,,Returned,,NA,,,,,
21,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G3-5,U,NA,NA,,1143,,NA,NA,,,Returned,,NA,,,,,
22,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G3-6,U,NA,NA,,1144,,NA,NA,,,Returned,,NA,,,,,
23,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G4-7,U,NA,NA,,1145,,NA,NA,,,Returned,,NA,,,,,
24,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G1-5,U,NA,NA,,1153,,NA,NA,,,Returned,,NA,,,,,
25,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G2-1,U,NA,NA,,1154,,NA,NA,,,Returned,,NA,,,,,
26,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G2-8,U,NA,NA,,1155,,NA,NA,,,Returned,,NA,,,,,
27,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G3-2,U,NA,NA,,1156,,NA,NA,,,Returned,,NA,,,,,
28,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G3-3,U,NA,NA,,1157,,NA,NA,,,Returned,,NA,,,,,
29,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G4-1,U,NA,NA,,1158,,NA,NA,,,Returned,,NA,,,,,
30,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G4-3,U,NA,NA,,1159,,NA,NA,,,Returned,,NA,,,,,
31,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G4-6,U,NA,NA,,1160,,NA,NA,,,Returned,,NA,,,,,
32,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G4-8,U,NA,NA,,1161,,NA,NA,,,Returned,,NA,,,,,
33,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G1-1,U,NA,NA,,1162,,NA,NA,,,Returned,,NA,,,,,
34,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G1-2,U,NA,NA,,1163,,NA,NA,,,Returned,,NA,,,,,
35,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G1-4,U,NA,NA,,1164,,NA,NA,,,Returned,,NA,,,,,
36,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G2-6,U,NA,NA,,1165,,NA,NA,,,Returned,,NA,,,,,
37,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G3-8,U,NA,NA,,1166,,NA,NA,,,Returned,,NA,,,,,
38,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G4-2,U,NA,NA,,1167,,NA,NA,,,Returned,,NA,,,,,
39,Ward.DevAnthro,Rattus,rattus,,DevAnthro,G4-4,U,NA,NA,,1168,,NA,NA,,,Returned,,NA,,,,,
40,MYSTERY,Anolis,etheridgei,NA,Mahler,MYSTERY,U,NA,NA,a0004,,,,,,,In Lab,,NA,First test scan. Specimen number not recorded.,,,,
41,MYSTERY,MYSTERY,MYSTERY,NA,MYSTERY,MYSTERY,U,NA,NA,7,,,NA,NA,,,NA,,NA,"Mystery scan. Need to check, but likely can't ID.",,,,
42,KU2019-10,Anolis,sheplani,,GLOR,9024,M,39.37,,789,,1206,,,,,Returned,,0.957441634,,,,,
43,KU2019-10,Anolis,sheplani,,GLOR,9098,F,39,,789,,1205,,,,,Returned,,0.918079096,,,,,
44,IW2017,Anolis,stratulus,,IW,2121,M,46.94,"Carite State Forest, Puerto Rico",253,,,,,,,In Lab,,0.933757708,,18.090256,-66.036435,,
45,IW2017,Anolis,stratulus,,IW,2122,M,45.33,"Carite State Forest, Puerto Rico",253,,,,,,,In Lab,,0.901730654,,18.09081,-66.036006,,
46,IW2017,Anolis,stratulus,,IW,2123,M,42.49,"Carite State Forest, Puerto Rico",253,,,,,,,In Lab,,0.845235727,,18.090904,-66.035897,,
47,IW2017,Anolis,stratulus,,IW,2124,M,44.96,"Carite State Forest, Puerto Rico",253,,,,,,,In Lab,,0.8943704,,18.090265,-66.036202,,
48,IW2017,Anolis,stratulus,,IW,2125,M,48.23,"Carite State Forest, Puerto Rico",254,,,,,,,In Lab,,0.959419137,,18.090724,-66.036025,,
49,IW2017,Anolis,stratulus,,IW,2126,F,39.31,"Carite State Forest, Puerto Rico",254,,,,,,,In Lab,,0.887158655,,18.090724,-66.036025,,
50,IW2017,Anolis,stratulus,,IW,2127,F,38.2,"Carite State Forest, Puerto Rico",254,,,,,,,In Lab,,0.862107876,,18.090835,-66.035943,,
51,IW2017,Anolis,stratulus,,IW,2128,F,38.12,"Carite State Forest, Puerto Rico",254,,,,,,,In Lab,,0.860302415,,18.091006,-66.036077,,
52,IW2017,Anolis,stratulus,,IW,2129,F,38.54,"Carite State Forest, Puerto Rico",255,,,,,,,In Lab,,0.869781088,,18.091263,-66.036118,,
53,IW2017,Anolis,stratulus,,IW,2130,F,40.23,"Carite State Forest, Puerto Rico",255,,,,,,,In Lab,,0.907921462,,18.090828,-66.036026,,
54,IW2017,Anolis,stratulus,,IW,2131,F,38.77,"Carite State Forest, Puerto Rico",255,,,,,,,In Lab,,0.87497179,,18.090734,-66.036018,,
55,IW2017,Anolis,cristatellus,,IW,2132,F,43.97,"Carite State Forest, Puerto Rico",258,,,,,,,In Lab,,0.849826053,,18.092778,-66.036861,,
56,IW2017,Anolis,cristatellus,,IW,2133,F,47.61,"Carite State Forest, Puerto Rico",258,,,,,,,In Lab,,0.920177812,,18.090959,-66.035469,,
57,IW2017,Anolis,cristatellus,,IW,2134,F,47.33,"Carite State Forest, Puerto Rico",259,,,,,,,In Lab,,0.914766138,,18.091028,-66.034722,,
58,IW2017,Anolis,cristatellus,,IW,2135,F,44.75,"Carite State Forest, Puerto Rico",259,,,,,,,In Lab,,0.86490143,,18.090806,-66.035694,,
59,IW2017,Anolis,cristatellus,,IW,2136,F,43.89,"Carite State Forest, Puerto Rico",259,,,,,,,In Lab,,0.848279861,,18.090967,-66.035817,,
60,IW2017,Anolis,cristatellus,,IW,2137,F,45.1,"Carite State Forest, Puerto Rico",259,,,,,,,In Lab,,0.871666022,,18.091279,-66.036064,,
61,IW2017,Anolis,cristatellus,,IW,2138,M,70.46,"Carite State Forest, Puerto Rico",260,,,,,,,In Lab,,0.935351122,,18.09,-66.035694,,
62,IW2017,Anolis,cristatellus,,IW,2140,M,70.22,"Carite State Forest, Puerto Rico",260,,,,,,,In Lab,,0.93216514,,18.092778,-66.036861,,
63,IW2017,Anolis,cristatellus,,IW,2141,M,69.41,"Carite State Forest, Puerto Rico",260,,,,,,,In Lab,,0.921412452,,18.090905,-66.03584,,
64,IW2017,Anolis,cristatellus,,IW,2142,M,73.83,"Carite State Forest, Puerto Rico",260,,,,,,,In Lab,,0.980087614,,18.090414,-66.036145,,
65,IW2017,Anolis,cristatellus,,IW,2143,M,65.83,"Carite State Forest, Puerto Rico",261,,,,,,,In Lab,,0.873888225,,18.091278,-66.036056,,
66,IW2017,Anolis,cristatellus,,IW,2144,M,68.82,"Carite State Forest, Puerto Rico",261,,,,,,,In Lab,,0.913580247,,18.090946,-66.036029,,
67,IW2017,Anolis,cristatellus,,IW,2145,M,62.31,"Carite State Forest, Puerto Rico",261,,,,,,,In Lab,,0.827160494,,18.09081,-66.036006,,
