"year","month","day","collection","specimen.number","ventral.image","dorsal.image","pixels.ventral","rotation.ventral","ant.post.ventral","pixels.dorsal","rotation.dorsal","ant.post.dorsal","known.length","area.per.point","flag..1.dmg..2.retake.","remarks","vertex.on.spines..0.no..1.yes.","ventral.measured","dorsal.measured","species","subspecies","sex","svl","percentile","svl.6perc","svl.1perc"
2021,11,15,"MCZ_R","42456","alutaceus-MCZ_R-42456-IMG_01655.JPG","alutaceus-MCZ_R-42456-IMG_01657.JPG",NA,NA,NA,NA,NA,NA,"30",0.13801225,"","dorsal scales extremely hard to outline",NA,"yes","no","alutaceus",NA,"M","37.15","0.99066666666666703",2.229,0.3715
2021,11,15,"MCZ_R","160659","anfiloquioi-MCZ_R-160659-IMG_01647.JPG","anfiloquioi-MCZ_R-160659-IMG_01649.JPG",4926.0914,0,NA,"4938.0911","0",NA,"30",0.171396,"","",NA,"","","anfiloquioi",NA,"M","41.4","0.95019508836355304",2.484,0.414
2021,11,15,"MCZ_R","173788","argillaceus-MCZ_R-173788-IMG_01666.JPG","argillaceus-MCZ_R-173788-IMG_01668.JPG",4938.1786,-2,NA,"4944.1784","16",NA,"30",0.20403289,"","",NA,"","","argillaceus",NA,"M","45.17","0.941041666666667",2.7102,0.4517
2021,11,15,"MCZ_R","49629","cristifer-MCZ_R-49629-IMG_01365.JPG","cristifer-MCZ_R-49629-IMG_01367.JPG",3630.1785,0,NA,"3630.0793","10",NA,"30",0.78535044,"","",NA,"","","cristifer",NA,"M","88.62","0.99305244285074001",5.3172,0.8862
2021,11,20,"MCZ_R","160653","cupeyalensis-MCZ_R-160653-IMG_01404.JPG","cupeyalensis-MCZ_R-160653-IMG_01406.JPG",4926.1315,6,NA,"4920.3658","11",NA,"30",0.09878449,"","",NA,"","","cupeyalensis",NA,"M","31.43","0.92441176470588204",1.8858,0.3143
2021,11,20,"MCZ_R","160647","fugitivus-MCZ_R-160647-IMG_01410.JPG","fugitivus-MCZ_R-160647-IMG_01414.JPG",4926.3654,-4,NA,"4920.2341","0",NA,"30",0.10407076,"","",NA,"","","fugitivus",NA,"M","32.26","0.89116022099447501",1.9356,0.3226
2021,11,20,"MCZ_R","73928","inexpectatus-MCZ_R-73928-IMG_01435.JPG","inexpectatus-MCZ_R-73928-IMG_01438.JPG",NA,NA,NA,NA,NA,NA,"30",0.114921,"2","dorsal image angled",NA,"yes","no","inexpectatus",NA,"M","33.9","0.91621621621621596",2.034,0.339
2021,11,20,"MCZ_R","73931","inexpectatus-MCZ_R-73931-IMG_01430.JPG","inexpectatus-MCZ_R-73931-IMG_01432.JPG",4931.8711,0,NA,"4920.3658","8",NA,"30",0.12173121,"","",NA,"","","inexpectatus",NA,"M","34.89","0.942972972972973",2.0934,0.3489
2021,11,20,"MCZ_R","125524","koopmani-MCZ_R-125524-IMG_01537.JPG","koopmani-MCZ_R-125524-IMG_01539.JPG",4896.2353,8,NA,"4896.2353","0",NA,"30",0.15816529,"","",NA,"","","koopmani",NA,"M","39.770000000000003","0.94690476190476203",2.3862,0.3977
2021,11,20,"MCZ_R","125529","koopmani-MCZ_R-125529-IMG_01541.JPG","koopmani-MCZ_R-125529-IMG_01543.JPG",4896.2353,0,NA,"4884.1806","4",NA,"30",0.169744,"","",NA,"","","koopmani",NA,"M","41.2","0.98095238095238102",2.472,0.412
