Row Labels,Count of species
acutus,12
aeneus,11
aequatorialis,1
agassizi,4
ahli,3
alayoni,1
aliniger,6
allisoni,3
allogus,4
altae,7
altavelensis,3
altitudinalis,1
alumina,3
alutaceus,4
amplisquamosus,3
anchicayae,4
anfiloquioi,1
angusticeps,4
anisolepis,1
antonii,5
apletolepis,1
apletophallus,4
apollinaris,1
aquaticus,9
aquaticus cf.,1
argenteolus,3
argillaceus,4
armouri,3
auratus,4
aurifer,5
bahorucoensis,14
baleatus,37
baracoae,2
barahonae,3
barbouri,3
barkeri,5
bartschi,3
benedikti,6
bicaorum,3
bimaculatus,10
binotatus,3
biporcatus,9
blanquillanus,3
bombiceps,3
bonairensis,9
boulengerianus,6
brasiliensis,1
bremeri,9
breslini,3
brevirostris,3
brunneus,4
caceresae,3
campbelli,1
capito,3
carlliebi,2
carolinensis,18
carpenteri,4
casildae,2
caudalis,8
centralis,1
chamaeleonides,3
charlesmyersi,4
chlorocyanus,50
christophei,8
chrysolepis,9
chrysops,5
clivicola,3
cobanensis,3
coelestinus,3
compressicauda,4
concolor,3
conspersus,3
cooki,3
crassulus,9
cristatellus,123
cristifer,4
cupeyalensis,1
cuscoensis,1
cusuco,2
cuvieri,3
cyanopleurus,5
cybotes,116
cybotes cf.,1
desechensis,3
desiradei,10
distichus,8
dolichocephalus,3
dollfusianus,4
dominicensis,5
doris,5
duellmani,2
dunni,8
eladioi,4
equestris,5
ernestwilliamsi,3
etheridgei,15
eugenegrahami,4
eulaemus,1
evermanni,3
extremus,16
fairchildi,2
fasciatus,1
ferreus,12
fitchi,1
forresti,6
fowleri,2
frenatus,3
fugitivus,1
fuscoauratus,2
gadovii,4
gaigei,2
garmani,7
gemmosus,1
gingivinus,10
gorgonae,2
gracilipes,1
grahami,19
griseus,5
guafe,1
guamuhaya,1
gundlachi,19
haguei,5
hendersoni,5
heterodermus,3
heteropholidotus,4
hobartsmithi,2
homolechis,5
huilae,3
humilis,8
ignigularis,15
imias,1
immaculogularis,6
incredulus cf.,1
inderenae,1
inexpectatus,4
insignis,3
insolitus,10
isolepis,1
jacare,2
johnmeyeri,2
juangundlachi,3
jubar,3
kahouannensis,2
koopmani,3
krugi,4
laeviventris,4
landestoyi,2
latifrons,6
leachii,11
leditzigorum,1
lemurinus,12
limifrons,7
lineatopus,29
lineatus,6
liogaster,5
lionotus,5
litoralis,5
lividus,9
longiceps,4
longitibialis,3
loveridgei,1
loysiana,5
luciae,9
lucius,3
luteogularis,3
luteosignifer,6
lyra,1
macrolepis,5
macrophallus,3
maculigula,4
maculiventris,1
marcanoi,3
mariarum,5
marmoratus,7
marron,3
marsupialis,3
matudai,9
maynardii,4
mccraniei,5
medemi,3
megapholidotus,2
meridionalis,4
mestrei,3
microlepidotus,2
milleri,3
monensis,9
monteverde,2
monticola,3
morazani,3
naufragus,1
nebuloides,8
nebulosus,6
nebulosus cf,1
nelsoni,3
nicefori,1
notopholis,3
nubilus,10
occultus,3
ocelloscapularis,4
oculatus,31
oligaspis,3
olssoni,6
omiltemanus,3
onca,7
opalinus,23
opalinus cf.,1
ophiolepis,5
orcesi,1
ortonii,1
oxylophus,9
pachypus,7
paternus,6
pecuarius,3
pentaprion,5
peraccae,2
petersii,10
pijolense,2
pinchoti,5
placidus,2
planiceps,10
poecilopus,3
pogus,6
polylepis,6
poncensis,3
porcatus,6
porcus,2
prasinorius,3
princeps,1
properus,5
pumilus,2
punctatus,1
purpurescens,2
purpurgularis,1
quadriocellifer,3
quaggulus,5
quercorum,3
quercorum cf.,1
ravitergum,6
reconditus,3
rejectus,4
richardii,6
ricordii,3
rimarum,3
rivalis,8
roatanensis,3
rodriguezii,5
roquet,14
rubiginosus,4
rubribarbaris,1
rubribarbus,5
ruibali,1
rupinae,3
sabanus,13
sagrei,11
salvini,4
savagei,1
saxatilis,5
schiedii,1
schwartzi,11
scriptus,5
scypheus,3
semilineatus,92
semilineatus cf.,1
sericeus,7
serranoi,3
sheplani,3
shrevei,3
smallwoodi,1
smaragdinus,6
sminthus,4
solitarius,5
sp.,1
sp. nov. boulengerianus cf.,4
spectrum,1
spilorhipis,4
squamulatus,4
stevepoei,4
strahmi,3
stratulus,70
subocularis,7
sulcifrons,1
taylori,3
terraealtae,4
terueli,2
tigrinus,1
tolimensis,2
townsendi,7
trachyderma,2
trinitatis,13
tropidogaster,8
tropidolepis,6
tropidonotus,5
uniformis,4
unilobatus,3
urraoi,4
ustus,2
valencienni,6
vanidicus,4
vanzolinii,1
vaupesianus,2
ventrimaculatus,2
vermiculatus,3
villai,4
vinosus,5
vittigerus,5
wattsii,9
websteri,3
wellbornae,6
wermuthi,5
wilsoni,4
woodi,9
yoroensis,4
zapotecorum,2
zeus,5
(blank),
Grand Total,1910
