ID_new,ID_Old,species,Longitude,Latitude,source
1,1,acutus,-64.753,17.754,Velasco etal16
2,2,aeneus,-61.137,13.287,Velasco etal16
3,3,aeneus,-61.103,16.179,Velasco etal16
4,4,aeneus,-61.62,12.137,Velasco etal16
5,5,aeneus,-61.778,12.012,Velasco etal16
6,6,aeneus,-61.77,12.02,Velasco etal16
7,3368,aeneus,-58.675,4.664,Velasco etal16
8,3369,aeneus,-59.787,4.697,Velasco etal16
9,3370,aeneus,-58,6.7,Velasco etal16
10,3371,aeneus,-57.983,6.733,Velasco etal16
11,3372,aeneus,-58.2,6.8,Velasco etal16
12,3373,aeneus,-58.167,6.8,Velasco etal16
13,3374,aeneus,-60.483,7.367,Velasco etal16
14,3375,aequatorialis,-78.76,-0.457,Velasco etal16
15,3376,aequatorialis,-78.76,-0.457,Velasco etal16
16,3377,aequatorialis,-78.76,-0.457,Velasco etal16
17,3378,aequatorialis,-78.76,-0.457,Velasco etal16
18,3379,aequatorialis,-78.761,-0.456,Velasco etal16
19,3380,aequatorialis,-78.761,-0.456,Velasco etal16
20,3381,aequatorialis,-78.967,-0.433,Velasco etal16
21,3382,aequatorialis,-78.967,-0.433,Velasco etal16
22,3383,aequatorialis,-78.788,-0.429,Velasco etal16
23,3384,aequatorialis,-78.788,-0.429,Velasco etal16
24,3385,aequatorialis,-78.785,-0.426,Velasco etal16
25,3386,aequatorialis,-78.801,-0.42,Velasco etal16
26,3387,aequatorialis,-78.801,-0.42,Velasco etal16
27,3388,aequatorialis,-79.003,-0.419,Velasco etal16
28,3389,aequatorialis,-79.002,-0.418,Velasco etal16
29,3390,aequatorialis,-78.799,-0.416,Velasco etal16
30,3391,aequatorialis,-78.847,-0.265,Velasco etal16
31,3392,aequatorialis,-78.847,-0.265,Velasco etal16
32,3393,aequatorialis,-78.849,-0.26,Velasco etal16
33,3394,aequatorialis,-78.849,-0.26,Velasco etal16
34,3395,aequatorialis,-78.849,-0.26,Velasco etal16
35,3396,aequatorialis,-78.818,-0.258,Velasco etal16
36,3397,aequatorialis,-78.818,-0.258,Velasco etal16
37,3398,aequatorialis,-78.83,-0.257,Velasco etal16
38,3399,aequatorialis,-78.83,-0.257,Velasco etal16
39,3400,aequatorialis,-78.847,-0.257,Velasco etal16
40,3401,aequatorialis,-78.848,-0.255,Velasco etal16
41,3402,aequatorialis,-78.848,-0.255,Velasco etal16
42,3403,aequatorialis,-78.846,-0.253,Velasco etal16
43,3404,aequatorialis,-78.846,-0.253,Velasco etal16
44,3405,aequatorialis,-79.15,-0.25,Velasco etal16
45,3406,aequatorialis,-79.15,-0.25,Velasco etal16
46,3407,aequatorialis,-78.801,-0.248,Velasco etal16
47,3408,aequatorialis,-78.801,-0.248,Velasco etal16
48,3409,aequatorialis,-78.794,-0.245,Velasco etal16
49,3410,aequatorialis,-78.794,-0.245,Velasco etal16
50,3411,aequatorialis,-78.81,-0.21,Velasco etal16
51,3412,aequatorialis,-78.783,-0.05,Velasco etal16
52,3413,aequatorialis,-78.783,-0.05,Velasco etal16
53,3414,aequatorialis,-78.767,-0.017,Velasco etal16
54,3415,aequatorialis,-78.767,-0.017,Velasco etal16
55,3416,aequatorialis,-78.7,0,Velasco etal16
56,3417,aequatorialis,-78.63,0.01,Velasco etal16
57,3418,aequatorialis,-78.667,0.017,Velasco etal16
58,3419,aequatorialis,-78.667,0.067,Velasco etal16
59,3420,aequatorialis,-78.75,0.15,Velasco etal16
60,3421,aequatorialis,-78.75,0.15,Velasco etal16
61,3422,aequatorialis,-78.967,0.2,Velasco etal16
62,3423,aequatorialis,-78.967,0.2,Velasco etal16
63,3424,aequatorialis,-78.45,0.867,Velasco etal16
64,3425,aequatorialis,-78.5,0.9,Velasco etal16
65,3426,aequatorialis,-78.233,1.033,Velasco etal16
66,3427,aequatorialis,-77.98,1.161,Velasco etal16
67,3428,aequatorialis,-78.25,1.25,Velasco etal16
68,3429,aequatorialis,-78.163,0.903,Velasco etal16
69,3430,aequatorialis,-78.11,0.914,Velasco etal16
70,3431,aequatorialis,-78.099,0.905,Velasco etal16
71,3432,aequatorialis,-78.1,0.897,Velasco etal16
72,3433,aequatorialis,-78.064,0.881,Velasco etal16
73,3434,aequatorialis,-78.049,0.865,Velasco etal16
74,3435,aequatorialis,-78.053,0.859,Velasco etal16
75,3436,aequatorialis,-78.031,0.855,Velasco etal16
76,3437,aequatorialis,-78.603,0.113,Velasco etal16
77,3438,aequatorialis,-78.727,0.023,Velasco etal16
78,3439,aequatorialis,-78.759,-0.029,Velasco etal16
79,3440,aequatorialis,-78.772,-0.05,Velasco etal16
80,3441,aequatorialis,-78.802,-0.069,Velasco etal16
81,3442,aequatorialis,-78.757,-0.072,Velasco etal16
82,3443,aequatorialis,-78.752,-0.081,Velasco etal16
83,3444,aequatorialis,-78.731,-0.078,Velasco etal16
84,3445,aequatorialis,-78.686,-0.106,Velasco etal16
85,3446,aequatorialis,-78.663,-0.004,Velasco etal16
86,3447,aequatorialis,-78.651,-0.02,Velasco etal16
87,3448,aequatorialis,-78.784,-0.213,Velasco etal16
88,3449,aequatorialis,-78.806,-0.229,Velasco etal16
89,3450,aequatorialis,-78.822,-0.227,Velasco etal16
90,3451,aequatorialis,-78.794,-0.244,Velasco etal16
91,3452,aequatorialis,-78.874,-0.304,Velasco etal16
92,3453,aequatorialis,-78.93,-0.388,Velasco etal16
93,3454,aequatorialis,-79.004,-0.42,Velasco etal16
94,3455,aequatorialis,-78.968,-0.423,Velasco etal16
95,3456,aequatorialis,-78.966,-0.433,Velasco etal16
96,3457,aequatorialis,-78.95,-0.434,Velasco etal16
97,3458,aequatorialis,-79.05,-0.463,Velasco etal16
98,3459,aequatorialis,-79.016,-0.678,Velasco etal16
99,3460,aequatorialis,-79.057,-0.928,Velasco etal16
100,3461,aequatorialis,-79.154,-1.658,Velasco etal16
101,3462,aequatorialis,-78.083,1.3,Velasco etal16
102,3463,aff.danieli,-75.143,6.969,Velasco etal16
103,3464,aff.danieli,-75.111,6.978,Velasco etal16
104,3465,aff.danieli,-75.135,6.983,Velasco etal16
105,3466,aff.danieli,-75.143,6.988,Velasco etal16
106,3467,aff.danieli,-75.146,7.005,Velasco etal16
107,23896,agassizi,-81.607424,4.002877,type locality
108,23897,agueroi,-77.615332,19.854407,type locality
109,23898,agueroi,-77.665742,19.840443,Cuba Checklist 2013
110,23899,agueroi,-76.634912,19.983312,Cuba Checklist 2013
111,7,ahli,-80.02,21.92,Velasco etal16
112,8,ahli,-80.02,21.912,Velasco etal16
113,9,ahli,-80.003,21.937,Velasco etal16
114,10,ahli,-80.17,22.07,Velasco etal16
115,11,alayoni,-75.337,20.17,Velasco etal16
116,12,alayoni,-74.828,20.154,Velasco etal16
117,13,alfaroi,-74.96,20.441,Velasco etal16
118,14,aliniger,-70.587,18.92,Velasco etal16
119,15,aliniger,-70.77,18.962,Velasco etal16
120,16,aliniger,-70.753,18.92,Velasco etal16
121,17,aliniger,-70.737,18.937,Velasco etal16
122,18,aliniger,-70.728,18.879,Velasco etal16
123,19,aliniger,-72.287,18.412,Velasco etal16
124,20,aliniger,-70.762,18.912,Velasco etal16
125,21,aliniger,-70.728,18.887,Velasco etal16
126,22,aliniger,-70.545,19.037,Velasco etal16
127,23,aliniger,-70.737,18.904,Velasco etal16
128,24,aliniger,-70.753,18.904,Velasco etal16
129,25,aliniger,-70.487,18.92,Velasco etal16
130,26,aliniger,-70.628,18.979,Velasco etal16
131,27,aliniger,-70.57,19.02,Velasco etal16
132,28,aliniger,-70.537,19.012,Velasco etal16
133,29,aliniger,-70.512,18.962,Velasco etal16
134,30,aliniger,-71.47,18.687,Velasco etal16
135,31,aliniger,-71.62,18.729,Velasco etal16
136,32,aliniger,-71.387,18.704,Velasco etal16
137,33,aliniger,-70.728,19.129,Velasco etal16
138,34,aliniger,-70.728,19.137,Velasco etal16
139,35,aliniger,-70.512,19.495,Velasco etal16
140,36,aliniger,-70.453,18.612,Velasco etal16
141,37,aliniger,-71.62,19.287,Velasco etal16
142,38,aliniger,-70.903,19.27,Velasco etal16
143,39,aliniger,-71.52,18.787,Velasco etal16
144,40,aliniger,-71.62,19.312,Velasco etal16
145,41,aliniger,-70.503,18.537,Velasco etal16
146,42,aliniger,-70.895,19.262,Velasco etal16
147,43,aliniger,-70.562,19.495,Velasco etal16
148,44,aliniger,-71.562,19.27,Velasco etal16
149,45,aliniger,-71.52,18.82,Velasco etal16
150,46,allisoni,-83.712,22.62,Velasco etal16
151,47,allisoni,-82.17,23.129,Velasco etal16
152,48,allisoni,-80.47,22.47,Velasco etal16
153,49,allisoni,-81.195,22.287,Velasco etal16
154,50,allisoni,-81.503,22.42,Velasco etal16
155,51,allisoni,-79.82,22.554,Velasco etal16
156,52,allisoni,-78.003,21.387,Velasco etal16
157,53,allisoni,-81.028,22.07,Velasco etal16
158,54,allisoni,-80.553,22.337,Velasco etal16
159,55,allisoni,-81.162,22.379,Velasco etal16
160,56,allisoni,-78.02,21.287,Velasco etal16
161,57,allisoni,-77.92,21.379,Velasco etal16
162,58,allisoni,-78.103,21.287,Velasco etal16
163,59,allisoni,-77.995,20.712,Velasco etal16
164,60,allisoni,-77.928,20.745,Velasco etal16
165,61,allisoni,-77.187,20.854,Velasco etal16
166,62,allisoni,-77.045,21.445,Velasco etal16
167,63,allisoni,-77.045,21.562,Velasco etal16
168,64,allisoni,-77.362,20.212,Velasco etal16
169,65,allisoni,-77.045,21.379,Velasco etal16
170,66,allogus,-76.837,19.987,Velasco etal16
171,67,allogus,-74.687,20.154,Velasco etal16
172,68,allogus,-75.153,20.287,Velasco etal16
173,69,allogus,-74.278,20.145,Velasco etal16
174,70,allogus,-83.02,22.804,Velasco etal16
175,71,allogus,-83.012,22.795,Velasco etal16
176,72,allogus,-74.57,20.354,Velasco etal16
177,73,allogus,-83.737,22.487,Velasco etal16
178,74,allogus,-83.712,22.62,Velasco etal16
179,75,allogus,-83.37,22.645,Velasco etal16
180,76,allogus,-83.928,22.437,Velasco etal16
181,77,allogus,-83.695,22.42,Velasco etal16
182,78,allogus,-84.095,22.445,Velasco etal16
183,79,allogus,-77.853,21.62,Velasco etal16
184,80,allogus,-83.403,22.304,Velasco etal16
185,81,allogus,-76.753,20.154,Velasco etal16
186,82,allogus,-78.02,21.287,Velasco etal16
187,83,allogus,-74.503,20.304,Velasco etal16
188,84,allogus,-77.912,21.679,Velasco etal16
189,85,allogus,-75.945,20.045,Velasco etal16
190,86,allogus,-76.77,20.237,Velasco etal16
191,87,allogus,-75.203,20.145,Velasco etal16
192,88,allogus,-77.945,20.762,Velasco etal16
193,89,allogus,-77.053,20.37,Velasco etal16
194,90,allogus,-74.937,20.654,Velasco etal16
195,4461,altae,-82.96,8.763,Velasco etal16
196,4462,altae,-82.933,8.783,Velasco etal16
197,4463,altae,-82.933,8.783,Velasco etal16
198,4464,altae,-82.933,8.783,Velasco etal16
199,4465,altae,-82.96,8.786,Velasco etal16
200,4466,altae,-82.95,8.8,Velasco etal16
201,4467,altae,-82.95,8.8,Velasco etal16
202,4468,altae,-82.959,8.816,Velasco etal16
203,4469,altae,-82.967,8.817,Velasco etal16
204,4470,altae,-82.967,8.817,Velasco etal16
205,4471,altae,-82.967,8.817,Velasco etal16
206,4472,altae,-82.733,8.95,Velasco etal16
207,4473,altae,-83.755,9.486,Velasco etal16
208,4474,altae,-83.702,9.541,Velasco etal16
209,4475,altae,-83.785,9.693,Velasco etal16
210,4476,altae,-84.3,9.7,Velasco etal16
