"","max_y","min_y","abs_lat"
"acutus",17.754,17.754,17.754
"aeneus",16.179,4.664,16.179
"aequatorialis",1.3,-1.658,1.658
"aff.danieli",7.005,6.969,7.005
"agassizi",4.002877,4.002877,4.002877
"agueroi",19.983312,19.840443,19.983312
"ahli",22.07,21.912,22.07
"alayoni",20.17,20.154,20.17
"alfaroi",20.441,20.441,20.441
"aliniger",19.495,18.412,19.495
"allisoni",23.129,20.212,23.129
"allogus",22.804,19.987,22.804
"altae",11.45,8.763,11.45
"altavelensis",17.467,17.467,17.467
"altitudinalis",19.987,19.9667,19.987
"alumina",18.237,17.787,18.237
"alutaceus",23.079,19.987,23.079
"alvarezdeltoroi",16.938,16.843,16.938
"amplisquamosus",15.51666646,15.51666646,15.51666646
"anatoloros",8.94,8.856,8.94
"anchicayae",6.22,3.62,6.22
"anfiloquiae",20.62,20.145,20.62
"angusticeps",23.137,19.937,23.137
"anisolepis",17.21,14.792,17.21
"annectens",10.77,8.58,10.77
"anoriensis",7.07,6.813,7.07
"antioquiae",7.069,4.748,7.069
"antonii",5.286,3.23,5.286
"apletophallus",9.583,7.525,9.583
"apollinaris",7.063,4.34,7.063
"aquaticus",10.431,8.64,10.431
"argenteolus",20.962,16.33,20.962
"argillaceus",23.079,19.987,23.079
"armouri",18.887,18.129,18.887
"auratus",13.23,-21.433,21.433
"aurifer",18.55881,18.225953,18.55881
"bahorucoensis",18.27,17.962,18.27
"baleatus",19.795,18.32,19.795
"baracoae",20.301,20.249,20.301
"barahonae",18.204,18.004,18.204
"barbatus",22.804,22.804,22.804
"barbouri",18.495,18.029,18.495
"barkeri",20.667,16.133,20.667
"bartschi",22.67,22.204,22.67
"beckeri",17.593,14.033,17.593
"benedikti",8.9887,8.8333,8.9887
"bicaorum",16.112,16.106,16.112
"bimaculatus",17.304,10.67,17.304
"binotatus",7.96,-3.511,7.96
"biporcatus",19.07,-0.585,19.07
"birama",20.627894,20.627894,20.627894
"biscutiger",9.307211,8.60427,9.307211
"bitectus",0.356,-3.413,3.413
"blanquillanus",11.85,11.85,11.85
"boettgeri",-10.567,-13.137,13.137
"bombiceps",-1.05,-11.9,11.9
"bonairensis",12.229,12.162,12.229
"boulengerianus",16.884414,15.995334,16.884414
"brasiliensis",-5.155427,-20.034184,20.034184
"bremeri",22.52,21.67,22.52
"breslini",19.804009,19.803852,19.804009
"brevirostris",19.154,17.57,19.154
"brunneus",22.593,22.593,22.593
"calimae",5.126,3.47,5.126
"campbelli",16.002,15.988,16.002
"capito",17.484,8.017,17.484
"carolinensis",36.16304,16.7,36.16304
"carpenteri",13.683,8.808,13.683
"casildae",9.16,8.496,9.16
"caudalis",18.945,18.57,18.945
"centralis",20.337,20.145,20.337
"chamaeleonides",23.129,20.029,23.129
"charlesmyeri",10.834,8.433,10.834
"chloris",7.674,-0.617,7.674
"chlorocyanus",20.045,17.987,20.045
"chocorum",10.08,-0.627,10.08
"christophei",19.77,18.404,19.77
"chrysops",15.865119,15.860387,15.865119
"clivicola",20.045,19.987,20.045
"cobanensis",17.211,15.062,17.211
"coelestinus",19.587,16.5,19.587
