"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",26.5083332061768,27.2999992370605,25.3833332061768,2075,286,74,38.8520050048828,753,259,603,358,5.48333263397217,70.2991485595703,83.4438629150391,30.3999996185303,22.6000003814697,7.79999923706055,26.4500007629395,25.75
"2",27.4750003814697,28.5499992370605,25.966667175293,1197,153,43,35.4049873352051,428,161,380,161,6.59999990463257,68.75,107.142646789551,32.2000007629395,22.6000003814697,9.60000038146973,28.25,25.966667175293
"3",27.0708332061768,27.7333335876465,26.0666675567627,1847,240,57,42.9889869689941,658,188,616,386,6.42500019073486,74.7093200683594,73.2820510864258,31.2999992370605,22.7000007629395,8.59999847412109,27.0166664123535,26.5
"4",27.2666664123535,27.9333343505859,26.2999992370605,1613,215,50,45.4656600952148,607,180,607,216,6.55000019073486,74.4318237304688,70.3023834228516,31.5,22.7000007629395,8.79999923706055,27.9333343505859,26.7000007629395
"5",27.1916675567627,27.8666667938232,26.216667175293,1705,233,50,44.0483932495117,630,180,630,223,6.56666660308838,75.4789352416992,70.8337707519531,31.3999996185303,22.7000007629395,8.69999885559082,27.8666667938232,26.6333332061768
"6",26.7250003814697,27.5166664123535,26.0499992370605,2175,360,62,56.9074783325195,978,219,219,422,8.38333320617676,79.8412704467773,58.1338577270508,32.2999992370605,21.7999992370605,10.5,26.5666656494141,27.5166664123535
"7",23.5041656494141,24.1499996185303,23.0833339691162,1898,359,57,63.2154579162598,901,197,337,239,8.67500019073486,81.8396224975586,46.6348686218262,29.1000003814697,18.5,10.6000003814697,23.2333335876465,23.1000003814697
"8",26.9208335876465,27.6000003814697,26.4166660308838,1832,240,50,37.5110969543457,629,262,359,456,6.75833368301392,79.5098037719727,49.7474594116211,31.7000007629395,23.2000007629395,8.5,26.6833343505859,26.7000007629395
"9",26.9874992370605,27.6499996185303,26.5,1756,289,40,50.9188232421875,720,241,269,430,6.70833349227905,78.9215698242188,48.4826698303223,31.7000007629395,23.2000007629395,8.5,26.7333335876465,26.7999992370605
"10",26.9458332061768,27.6166667938232,26.4500007629395,1956,304,68,52.6069869995117,806,224,224,544,6.25833320617676,76.3211288452148,48.8717422485352,31.5,23.2999992370605,8.20000076293945,26.7000007629395,27.6166667938232
"11",26.9916667938232,27.6666660308838,26.4833335876465,2000,335,95,43.784538269043,662,328,390,576,6.31666612625122,76.1044006347656,49.7189064025879,31.6000003814697,23.2999992370605,8.30000114440918,26.783332824707,27.6166667938232
"12",25.7916660308838,26.4499988555908,25.0666656494141,1739,303,80,44.9010772705078,711,260,418,295,8.56666660308838,80.8176040649414,56.4008979797363,31.3999996185303,20.7999992370605,10.6000003814697,25.7999992370605,25.0833320617676
