"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",15.3625001907349,16.9500007629395,13.4499998092651,2110,315,59,49.9770545959473,774,215,659,215,8.14166641235352,64.1076126098633,145.307266235352,21.2999992370605,8.60000038146973,12.6999988555908,16.75,13.4499998092651
"2",20.9291667938232,22.6000003814697,19.033332824707,1708,282,66,48.1062774658203,638,205,487,217,7.60833358764648,62.3633842468262,146.775314331055,26.6000003814697,14.3999996185303,12.2000007629395,22.283332824707,19.1666660308838
"3",22.3541660308838,24.0499992370605,20.4833335876465,1580,244,45,53.058952331543,606,152,489,152,7.95833349227905,63.6666679382324,147.532073974609,28.1000003814697,15.6000003814697,12.5,23.6833343505859,20.4833335876465
"4",22.6458339691162,24.3500003814697,20.716667175293,1579,253,68,38.8023109436035,557,239,381,314,7.32500028610229,62.0762672424316,149.825042724609,28.2000007629395,16.3999996185303,11.8000011444092,23.25,21.3999996185303
"5",23.3708324432373,25.8333320617676,20.466667175293,1596,218,70,43.9740447998047,593,221,574,223,8.54166698455811,58.504566192627,222.97021484375,30.5,15.8999996185303,14.6000003814697,25.7999992370605,20.6833343505859
"6",23.470832824707,25.9166660308838,20.5833339691162,1595,218,69,44.2454948425293,594,220,576,223,8.50833320617676,59.0856513977051,221.651412963867,30.5,16.1000003814697,14.3999996185303,25.8833332061768,20.8166675567627
"7",23.8875007629395,25.7000007629395,21.9166660308838,2103,297,98,33.9695129394531,753,326,480,504,6.94166707992554,59.8419532775879,157.77033996582,29.3999996185303,17.7999992370605,11.6000003814697,23.4500007629395,22.4833335876465
"8",24.0708332061768,26.3333339691162,21.25,1543,219,52,53.8460922241211,602,178,599,178,9.49166679382324,62.4451713562012,210.588562011719,31.1000003814697,15.8999996185303,15.2000007629395,26.2999992370605,21.25
"9",24.154167175293,26.5,21.283332824707,1526,211,53,51.5393142700195,588,183,588,183,9.64166641235352,62.608226776123,215.274230957031,31.2999992370605,15.8999996185303,15.3999996185303,26.5,21.283332824707
"10",24.4874992370605,26.8500003814697,21.6333332061768,1423,207,49,49.1403884887695,527,170,517,170,9.50833320617676,61.7424201965332,217.49739074707,31.7000007629395,16.2999992370605,15.4000015258789,26.4333343505859,21.6333332061768
"11",24.2916660308838,26.5499992370605,21.4833335876465,1552,229,47,56.293140411377,633,171,615,171,9.5,62.5000076293945,209.467193603516,31.3999996185303,16.2000007629395,15.1999988555908,26.4833335876465,21.4833335876465
"12",24.7625007629395,27.0166664123535,21.9333343505859,1466,219,40,55.3548202514648,566,158,564,158,10.158332824707,63.8888893127441,210.022994995117,32,16.1000003814697,15.8999996185303,26.6833343505859,21.9333343505859
"13",24.4791660308838,26.783332824707,21.6499996185303,1501,228,42,57.888298034668,621,152,594,152,9.54166698455811,62.3638305664062,211.245864868164,31.6000003814697,16.2999992370605,15.3000011444092,26.7000007629395,21.6499996185303
"14",24.841667175293,27.0833339691162,22.2333335876465,1406,205,33,59.9884719848633,546,107,473,107,9.03333282470703,62.2988510131836,196.165908813477,31.7999992370605,17.2999992370605,14.5,26.5666656494141,22.2333335876465
"15",25.0874996185303,27.3666667938232,22.2999992370605,1361,210,25,59.4838256835938,525,121,521,121,10.1750001907349,63.59375,208.458892822266,32.2999992370605,16.2999992370605,16,26.966667175293,22.2999992370605
"16",24.9500007629395,26.8666667938232,22.7666664123535,1319,204,27,60.6425170898438,533,88,479,88,8.55000019073486,62.8676452636719,164.219940185547,31.5,17.8999996185303,13.6000003814697,26.2000007629395,22.7666664123535
"17",25.1458339691162,27.216667175293,22.6166667938232,1466,228,24,66.7246627807617,615,91,560,91,10.0249996185303,65.0973968505859,185.110046386719,32.2000007629395,16.7999992370605,15.4000015258789,26.6666660308838,22.6166667938232
"18",25.2374992370605,27.0666656494141,23.2666664123535,2496,330,127,36.8892440795898,950,395,517,703,7.00833368301392,60.4166679382324,158.918579101562,30.7000007629395,19.1000003814697,11.6000003814697,24.7666664123535,23.8166656494141
