"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",27.9208335876465,28.9166679382324,27.283332824707,1904,412,3,91.277473449707,968,22,288,81,13.5583343505859,77.476188659668,68.7372970581055,36.4000015258789,18.8999996185303,17.5000019073486,27.7333335876465,27.283332824707
"2",27.7958335876465,28.8500003814697,27,2029,427,3,90.9395065307617,1028,24,295,24,13.125,76.7543869018555,75.029052734375,36.2000007629395,19.1000003814697,17.1000003814697,27.6499996185303,27
"3",23.7916660308838,24.5,23.033332824707,3156,559,26,76.9793014526367,1427,98,1032,98,12,81.6326599121094,58.536434173584,30.8999996185303,16.2000007629395,14.6999988555908,23.783332824707,23.033332824707
"4",20.3624992370605,20.8666667938232,19.75,3483,637,40,75.8585891723633,1565,136,1157,136,11.7416667938232,83.2742309570312,44.9810600280762,27,12.8999996185303,14.1000003814697,20.4166660308838,19.75
"5",20.0583324432373,20.6000003814697,19.3833332061768,3453,627,42,74.8608703613281,1546,145,1137,145,11.7333335876465,82.0512847900391,49.6273994445801,26.7999992370605,12.5,14.2999992370605,20.1166667938232,19.3833332061768
"6",20.5208339691162,21,19.9333324432373,3601,646,45,74.2288436889648,1618,146,1166,146,11.625,83.0357131958008,42.9300918579102,27.1000003814697,13.1000003814697,14,20.5499992370605,19.9333324432373
"7",17.0416660308838,17.783332824707,15.9666662216187,1903,365,22,80.622802734375,875,84,759,84,11.9499998092651,79.1390686035156,74.1262359619141,24,8.89999961853027,15.1000003814697,17.3666667938232,15.9666662216187
"8",19.8666667938232,20.3833332061768,19.1833343505859,3314,595,44,73.9429321289062,1488,147,1064,147,11.6166667938232,82.3877029418945,48.7261962890625,26.5,12.3999996185303,14.1000003814697,19.9333324432373,19.1833343505859
"9",19.8666667938232,20.3833332061768,19.1833343505859,3314,595,44,73.9429321289062,1488,147,1064,147,11.6166667938232,82.3877029418945,48.7261962890625,26.5,12.3999996185303,14.1000003814697,19.9333324432373,19.1833343505859
"10",19.8666667938232,20.3833332061768,19.1833343505859,3314,595,44,73.9429321289062,1488,147,1064,147,11.6166667938232,82.3877029418945,48.7261962890625,26.5,12.3999996185303,14.1000003814697,19.9333324432373,19.1833343505859
"11",19.033332824707,19.6166667938232,18.216667175293,2769,505,38,75.1478576660156,1249,131,881,131,11.6999998092651,80.6896591186523,57.2209968566895,25.7999992370605,11.3000001907349,14.4999990463257,19.2000007629395,18.216667175293
"12",17.9916667938232,18.6666660308838,17.0166664123535,2298,436,24,79.983283996582,1056,89,747,89,11.8999996185303,79.3333282470703,68.3850479125977,25,10,15,18.216667175293,17.0166664123535
"13",18.25,18.8999996185303,17.3333339691162,1838,363,11,86.7148590087891,876,48,754,48,11.7166662216187,80.2511367797852,63.5681495666504,25,10.3999996185303,14.6000003814697,18.5,17.3333339691162
"14",18.875,19.5,18.0166664123535,2143,416,14,84.6934585571289,1015,58,685,58,11.6333332061768,80.7870330810547,59.753288269043,25.6000003814697,11.1999998092651,14.4000005722046,19.0666675567627,18.0166664123535
"15",14.3416662216187,15.2666664123535,13.033332824707,1529,313,3,92.5158462524414,734,21,669,21,11.7666664123535,76.4069290161133,91.8455581665039,21.2999992370605,5.90000009536743,15.3999996185303,14.8166666030884,13.033332824707
"16",14.2583332061768,15.216667175293,12.9000005722046,1524,312,3,92.5365371704102,733,20,718,20,11.8000001907349,76.6233749389648,95.4375762939453,21.2000007629395,5.80000019073486,15.4000005722046,14.7666664123535,12.9000005722046
"17",14.5749998092651,15.5,13.25,1517,312,2,93.1139373779297,732,19,664,19,11.8333330154419,76.3440856933594,92.8708801269531,21.6000003814697,6.09999990463257,15.5,15.0666666030884,13.25
"18",14.6083335876465,15.5500001907349,13.2666664123535,1510,310,3,92.9606323242188,729,19,659,19,11.9166669845581,76.3888854980469,94.5042877197266,21.7000007629395,6.09999990463257,15.6000003814697,15.1000003814697,13.2666664123535
"19",14.6083335876465,15.5500001907349,13.2666664123535,1510,310,3,92.9606323242188,729,19,659,19,11.9166669845581,76.3888854980469,94.5042877197266,21.7000007629395,6.09999990463257,15.6000003814697,15.1000003814697,13.2666664123535
"20",16.1791667938232,17.0499992370605,14.9166669845581,1507,311,3,93.1616668701172,734,21,647,21,11.9250001907349,77.4350662231445,88.6376113891602,23.2999992370605,7.90000009536743,15.3999996185303,16.8666667938232,14.9166669845581
"21",13.6291666030884,14.6166667938232,12.216667175293,1511,308,3,92.6170501708984,723,20,666,20,11.9583330154419,75.6856536865234,99.0743026733398,20.7999992370605,5,15.7999992370605,14.1499996185303,12.216667175293
"22",13.6291666030884,14.6166667938232,12.216667175293,1511,308,3,92.6170501708984,723,20,666,20,11.9583330154419,75.6856536865234,99.0743026733398,20.7999992370605,5,15.7999992370605,14.1499996185303,12.216667175293
"23",15.2083330154419,16.0666656494141,13.9666662216187,1479,307,2,94.3409423828125,722,19,653,19,11.9499998092651,77.0967712402344,86.4405517578125,22.2000007629395,6.69999980926514,15.5000009536743,15.8833332061768,13.9666662216187
"24",15.2083330154419,16.0666656494141,13.9666662216187,1479,307,2,94.3409423828125,722,19,653,19,11.9499998092651,77.0967712402344,86.4405517578125,22.2000007629395,6.69999980926514,15.5000009536743,15.8833332061768,13.9666662216187
"25",17.6458339691162,18.3999996185303,16.6166667938232,1512,314,3,94.9737014770508,762,20,651,20,11.9750003814697,79.3046340942383,72.3142852783203,24.6000003814697,9.5,15.1000003814697,18.1499996185303,16.6166667938232
"26",17.6458339691162,18.3999996185303,16.6166667938232,1512,314,3,94.9737014770508,762,20,651,20,11.9750003814697,79.3046340942383,72.3142852783203,24.6000003814697,9.5,15.1000003814697,18.1499996185303,16.6166667938232
"27",17.6458339691162,18.3999996185303,16.6166667938232,1512,314,3,94.9737014770508,762,20,651,20,11.9750003814697,79.3046340942383,72.3142852783203,24.6000003814697,9.5,15.1000003814697,18.1499996185303,16.6166667938232
"28",16.1000003814697,16.9333343505859,14.9333333969116,1471,306,3,94.2949447631836,724,20,642,20,12,77.9220733642578,81.8535385131836,23.1000003814697,7.69999980926514,15.4000005722046,16.716667175293,14.9333333969116
"29",16.7875003814697,17.6166667938232,15.6499996185303,1459,305,3,95.4794692993164,730,18,636,18,12.0416669845581,78.1926422119141,80.0603485107422,23.8999996185303,8.5,15.3999996185303,17.3500003814697,15.6499996185303
"30",17.25,18.0166664123535,16.2000007629395,1468,307,2,95.7408294677734,739,17,640,17,12.0500001907349,78.758171081543,73.7625122070312,24.2999992370605,9,15.2999992370605,17.7666664123535,16.2000007629395
"31",19.2958335876465,20.0833339691162,18.3166656494141,2315,453,12,87.9878845214844,1137,45,738,45,11.7916669845581,78.6111145019531,72.1884689331055,26.3999996185303,11.3999996185303,15,19.6833343505859,18.3166656494141
"32",19.5083332061768,20.3333339691162,18.5499992370605,2213,436,9,89.4593811035156,1098,38,705,38,12.1000003814697,77.5641021728516,72.7959060668945,27,11.3999996185303,15.6000003814697,19.8333339691162,18.5499992370605
"33",14.4375,15.5166664123535,12.9499998092651,1438,296,4,93.8438034057617,697,19,497,19,12.6416664123535,73.9278793334961,106.879821777344,22.5,5.40000009536743,17.1000003814697,15.1499996185303,12.9499998092651
"34",26.716667175293,27.7666664123535,25.6000003814697,2320,485,4,96.8621826171875,1268,20,681,20,12.2166662216187,75.8799133300781,85.9528045654297,34.5,18.3999996185303,16.1000003814697,26.8333339691162,25.6000003814697
"35",23.5874996185303,24.5,22.6000003814697,2475,504,5,95.1754760742188,1341,25,728,25,11.9750003814697,78.7828979492188,73.9509735107422,30.8999996185303,15.6999998092651,15.1999998092651,23.8166656494141,22.6000003814697
"36",21.9874992370605,22.8500003814697,20.9833335876465,2499,503,7,93.9712905883789,1335,31,732,31,11.7583332061768,78.9149856567383,73.2407302856445,29.1000003814697,14.1999998092651,14.9000005722046,22.283332824707,20.9833335876465
"37",27.8125,28.9500007629395,26.8666667938232,2343,498,3,99.0138626098633,1308,19,267,19,12.875,74.8546524047852,84.0758666992188,36.2999992370605,19.1000003814697,17.1999988555908,27.716667175293,27.3666667938232
"38",16.1333332061768,17.2666664123535,14.5666666030884,1349,276,9,93.0707931518555,674,31,433,31,12.3000001907349,74.5454559326172,112.236221313477,23.7999992370605,7.30000019073486,16.5,16.8833332061768,14.5666666030884
"39",17.0458335876465,18.1666660308838,15.5,1443,303,6,96.8476943969727,760,23,634,23,12.125,75.78125,110.030136108398,24.2999992370605,8.30000019073486,15.9999990463257,17.8666667938232,15.5
"40",25.1083335876465,26.9500007629395,23.216667175293,1457,300,3,103.36499786377,830,13,413,13,12.966667175293,66.8384857177734,149.420623779297,34.9000015258789,15.5,19.4000015258789,25.4333343505859,23.216667175293
"41",19.220832824707,20.7000007629395,17.25,2586,432,47,71.5975952148438,1208,174,659,258,11.2083330154419,69.1872482299805,139.861267089844,27.2999992370605,11.1000003814697,16.1999988555908,20.2333335876465,18.9833335876465
"42",19.8333339691162,21.3833332061768,17.783332824707,2294,400,38,75.793342590332,1098,144,605,195,11.3166666030884,67.7644653320312,145.388717651367,28.2000007629395,11.5,16.7000007629395,20.8333339691162,19.6333332061768
"43",28.0583324432373,29.25,26.7333335876465,1529,370,0,110.326225280762,933,5,452,5,12.8666658401489,74.8062057495117,99.8597564697266,36.5999984741211,19.3999996185303,17.1999988555908,28.3666667938232,26.7333335876465
"44",21.7083339691162,23.3666667938232,19.4833335876465,2209,373,42,70.3988189697266,996,148,571,224,10.8500003814697,65.3614501953125,157.477737426758,30.2999992370605,13.6999998092651,16.5999984741211,22.8333320617676,21.3333339691162
"45",23.8291664123535,25.9500007629395,21.6000003814697,1287,266,11,89.6823577880859,653,40,398,48,13.5749998092651,66.2195129394531,174.27067565918,34,13.5,20.5,24.4166679382324,22.5499992370605
"46",15.095832824707,16.5499992370605,13,1067,221,7,88.4229354858398,525,28,485,28,13.3416662216187,70.5908279418945,150.475891113281,23.8999996185303,5,18.8999996185303,16.4333343505859,13
"47",14.6708335876465,16.1333332061768,12.5666666030884,1084,222,9,86.7490234375,529,34,489,34,13.0916662216187,70.7657623291016,151.108917236328,23.2000007629395,4.69999980926514,18.5,16.0166664123535,12.5666666030884
"48",14.1708335876465,15.6000003814697,12.1166667938232,1105,224,10,85.8167724609375,537,37,495,37,12.875,71.1325988769531,147.362548828125,22.5,4.40000009536743,18.1000003814697,15.4833335876465,12.1166667938232
"49",13.6541662216187,15.0833330154419,11.5833330154419,1125,226,12,84.7835388183594,544,41,502,41,12.5749998092651,71.448860168457,148.376953125,21.7000007629395,4.09999990463257,17.6000003814697,15,11.5833330154419
"50",14.2416667938232,15.6833333969116,12.1333332061768,1097,223,11,85.6962661743164,534,40,492,40,12.8333330154419,71.2962951660156,150.617431640625,22.5,4.5,18,15.6000003814697,12.1333332061768
"51",14.1625003814697,15.6333332061768,12.0166664123535,1101,223,11,85.5387268066406,536,38,493,38,12.7416667938232,71.1824951171875,153.417510986328,22.2999992370605,4.40000009536743,17.8999996185303,15.5500001907349,12.0166664123535
"52",14.6666669845581,16.1333332061768,12.5500001907349,1086,221,10,86.5686416625977,533,36,490,36,13.216667175293,71.0573425292969,151.317459106445,23.2000007629395,4.59999990463257,18.6000003814697,16.0166664123535,12.5500001907349
"53",14.6666669845581,16.1333332061768,12.5500001907349,1086,221,10,86.5686416625977,533,36,490,36,13.216667175293,71.0573425292969,151.317459106445,23.2000007629395,4.59999990463257,18.6000003814697,16.0166664123535,12.5500001907349
"54",14.4833335876465,15.9333333969116,12.3500003814697,1095,222,10,86.1301956176758,536,37,493,37,13.1833333969116,71.2612609863281,152.20100402832,23,4.5,18.5,15.8333330154419,12.3500003814697
"55",14.5416669845581,15.966667175293,12.466667175293,1092,222,10,86.4846420288086,536,37,492,37,13.25,71.2365570068359,148.352066040039,23.1000003814697,4.5,18.6000003814697,15.8666667938232,12.466667175293
"56",14.4958333969116,15.9333333969116,12.3833332061768,1093,222,10,86.3188018798828,536,37,492,37,13.2416667938232,71.1917572021484,150.566482543945,23.1000003814697,4.5,18.6000003814697,15.8333330154419,12.3833332061768
"57",14.4958333969116,15.9333333969116,12.3833332061768,1093,222,10,86.3188018798828,536,37,492,37,13.2416667938232,71.1917572021484,150.566482543945,23.1000003814697,4.5,18.6000003814697,15.8333330154419,12.3833332061768
"58",14.5416669845581,15.966667175293,12.466667175293,1092,222,10,86.4846420288086,536,37,492,37,13.25,71.2365570068359,148.352066040039,23.1000003814697,4.5,18.6000003814697,15.8666667938232,12.466667175293
"59",14.4958333969116,15.9333333969116,12.3833332061768,1093,222,10,86.3188018798828,536,37,492,37,13.2416667938232,71.1917572021484,150.566482543945,23.1000003814697,4.5,18.6000003814697,15.8333330154419,12.3833332061768
"60",14.0041666030884,15.4499998092651,11.9166669845581,1114,224,11,85.7584609985352,545,39,500,39,13.1750001907349,71.2162170410156,148.942611694336,22.5,4,18.5,15.3333330154419,11.9166669845581
"61",14.7375001907349,16.2000007629395,12.5833330154419,1080,221,9,87.3181762695312,533,33,489,33,13.3083333969116,71.1675567626953,152.927871704102,23.2999992370605,4.59999990463257,18.6999988555908,16.1000003814697,12.5833330154419
"62",14.5583333969116,16.0166664123535,12.4333333969116,1089,222,10,86.5970764160156,535,36,491,36,13.283332824707,71.415771484375,151.475067138672,23.1000003814697,4.5,18.6000003814697,15.9166669845581,12.4333333969116
"63",15.1708335876465,16.6333332061768,13,1069,220,9,87.937629699707,530,31,486,31,13.4916667938232,71.0087738037109,154.411758422852,23.8999996185303,4.90000009536743,19,16.533332824707,13
"64",16.625,18.1666660308838,14.3666667938232,1166,231,16,84.4957656860352,565,51,399,51,13.7333335876465,70.0680313110352,160.800537109375,25.7999992370605,6.19999980926514,19.5999984741211,17.9166660308838,14.3666667938232
"65",14.6458330154419,16.033332824707,12.6166667938232,1078,221,6,89.0510787963867,539,28,491,28,13.2416667938232,71.1917495727539,145.328140258789,23.2000007629395,4.59999990463257,18.6000003814697,15.9166669845581,12.6166667938232
"66",14.8833332061768,16.3333339691162,12.7833337783813,1073,220,7,88.8460693359375,536,29,486,29,13.2666664123535,70.9447402954102,150.594772338867,23.5,4.80000019073486,18.7000007629395,16.216667175293,12.7833337783813
"67",14.6208333969116,16.0666656494141,12.4499998092651,1130,224,14,83.2493286132812,544,47,499,47,13.7416667938232,70.8333358764648,153.703643798828,23.6000003814697,4.19999980926514,19.4000015258789,15.9166660308838,12.4499998092651
"68",14.8000001907349,16.1666660308838,12.8333330154419,1083,220,7,88.0032653808594,537,31,486,31,12.8000001907349,70.7182312011719,142.398284912109,23.2000007629395,5.09999990463257,18.1000003814697,16.0499992370605,12.8333330154419
"69",15.2583332061768,16.6999988555908,13.0833330154419,1081,221,9,87.4947280883789,535,33,489,33,13.8833332061768,71.9343719482422,153.309448242188,24.1000003814697,4.80000019073486,19.2999992370605,16.5833339691162,13.0833330154419
"70",15.845832824707,17.2999992370605,13.6333332061768,1080,220,9,87.3169174194336,532,33,485,33,14.1750001907349,71.9543151855469,156.47331237793,24.7999992370605,5.09999990463257,19.6999988555908,17.2000007629395,13.6333332061768
"71",15.845832824707,17.2999992370605,13.6333332061768,1080,220,9,87.3169174194336,532,33,485,33,14.1750001907349,71.9543151855469,156.47331237793,24.7999992370605,5.09999990463257,19.6999988555908,17.2000007629395,13.6333332061768
"72",14.3208332061768,15.7166662216187,12.3166666030884,1097,222,8,87.288703918457,543,33,492,33,12.8583335876465,71.0405120849609,144.134704589844,22.7000007629395,4.59999990463257,18.1000003814697,15.6000003814697,12.3166666030884
"73",14.3249998092651,15.7333335876465,12.2333335876465,1105,222,9,86.3627700805664,543,35,495,35,13.4666662216187,71.2522048950195,148.653045654297,23,4.09999990463257,18.8999996185303,15.6166667938232,12.2333335876465
"74",15.1541662216187,16.6166667938232,12.9833335876465,1087,220,9,87.0606307983398,538,34,488,34,13.8083333969116,70.8119659423828,154.367584228516,24.1000003814697,4.59999990463257,19.5,16.4833335876465,12.9833335876465
"75",14.3833332061768,15.7999992370605,12.25,1141,225,13,82.8953475952148,548,48,502,48,13.6999998092651,70.9844589233398,150.775756835938,23.2999992370605,4,19.2999992370605,15.6666660308838,12.25
"76",14.0833330154419,15.5,11.9666662216187,1159,226,15,81.7905426025391,553,51,506,51,13.6333341598511,71.0069427490234,150.126205444336,23,3.79999995231628,19.2000007629395,15.3333330154419,11.9666662216187
"77",24.5791664123535,26.3999996185303,22.0499992370605,2718,454,61,66.7175598144531,1226,202,617,303,10.8916664123535,65.2195587158203,179.233963012695,33.4000015258789,16.7000007629395,16.7000007629395,25.6833343505859,24.1833343505859
"78",21.4375,23.3833332061768,18.8833332061768,1869,344,47,67.8105316162109,836,151,494,175,11.7916669845581,65.147331237793,183.143325805664,30.5,12.3999996185303,18.1000003814697,22.5,19.7333335876465
"79",19.2416667938232,21.0166664123535,16.8666667938232,1397,268,19,85.2917022705078,719,66,396,83,12.6499996185303,67.6470642089844,169.716781616211,28.2999992370605,9.60000038146973,18.6999988555908,20.2666664123535,17.5833339691162
"80",19.2416667938232,21.0166664123535,16.8666667938232,1397,268,19,85.2917022705078,719,66,396,83,12.6499996185303,67.6470642089844,169.716781616211,28.2999992370605,9.60000038146973,18.6999988555908,20.2666664123535,17.5833339691162
"81",18.0375003814697,19.7333335876465,15.6499996185303,1479,264,30,72.6822357177734,696,107,392,136,11.8583335876465,66.9962310791016,170.508941650391,26.5,8.80000019073486,17.7000007629395,19.2000007629395,16.3333339691162
