"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",18.4958324432373,18.7666664123535,18.2333335876465,1753,298,62,44.4154930114746,619,264,460,619,9.14166641235352,87.0634841918945,22.6091613769531,23.7000007629395,13.1999998092651,10.5000009536743,18.2333335876465,18.4833335876465
"2",23.341667175293,23.8333339691162,22.8166656494141,2228,291,56,44.295467376709,766,308,379,761,9.76666641235352,86.4306869506836,40.3300743103027,29.2999992370605,18,11.2999992370605,23.3999996185303,23.7666664123535
"3",22.0249996185303,22.283332824707,21.6000003814697,2294,288,59,37.9517669677734,767,272,767,703,9.58333301544189,89.5638580322266,29.8100128173828,27.5,16.7999992370605,10.7000007629395,22.283332824707,22.1666660308838
"4",18,18.4333324432373,17.4833335876465,1706,236,87,38.2401008605957,577,279,577,369,8.83333396911621,87.4587554931641,37.8393745422363,22.7999992370605,12.6999998092651,10.0999994277954,18.4333324432373,17.6499996185303
"5",22.6875,23.1166667938232,22.216667175293,1923,280,26,49.4635734558105,708,195,636,546,9.40833282470703,88.7578582763672,36.6881713867188,28.1000003814697,17.5,10.6000003814697,22.3500003814697,22.4833335876465
"6",24.7041664123535,25.1000003814697,24.1166667938232,2165,295,60,39.9315032958984,735,301,523,616,9.67500019073486,86.3839263916016,39.9692153930664,30.7000007629395,19.5,11.2000007629395,24.3333339691162,24.533332824707
"7",18.5666675567627,18.8833332061768,18.2666664123535,2202,347,84,43.5941581726074,817,265,527,620,10.9166669845581,87.3333435058594,29.8734607696533,24.7999992370605,12.3000001907349,12.4999990463257,18.6833343505859,18.5
"8",23.4333324432373,23.7000007629395,23.0833339691162,1655,230,39,43.8446083068848,580,192,524,449,9.68333339691162,93.1089782714844,24.71044921875,28.6000003814697,18.2000007629395,10.3999996185303,23.6000003814697,23.3166656494141
"9",18,18.4333324432373,17.4833335876465,1706,236,87,38.2401008605957,577,279,577,369,8.83333396911621,87.4587554931641,37.8393745422363,22.7999992370605,12.6999998092651,10.0999994277954,18.4333324432373,17.6499996185303
"10",20.5,20.8666667938232,20.0166664123535,2058,338,67,46.7060127258301,775,290,611,447,9.21666622161865,88.6217880249023,35.0324630737305,25.6000003814697,15.1999998092651,10.4000005722046,20.25,20.2333335876465
