"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",15.3625001907349,16.9500007629395,13.4499998092651,2110,315,59,49.9770545959473,774,215,659,215,8.14166641235352,64.1076126098633,145.307266235352,21.2999992370605,8.60000038146973,12.6999988555908,16.75,13.4499998092651
"2",22.3541660308838,24.0499992370605,20.4833335876465,1580,244,45,53.058952331543,606,152,489,152,7.95833349227905,63.6666679382324,147.532073974609,28.1000003814697,15.6000003814697,12.5,23.6833343505859,20.4833335876465
"3",22.6458339691162,24.3500003814697,20.716667175293,1579,253,68,38.8023109436035,557,239,381,314,7.32500028610229,62.0762672424316,149.825042724609,28.2000007629395,16.3999996185303,11.8000011444092,23.25,21.3999996185303
"4",24.1666660308838,25.9500007629395,22.1666660308838,1388,209,34,55.2385292053223,532,120,430,120,7.80000019073486,62.4000015258789,154.071029663086,29.8999996185303,17.3999996185303,12.5,25.5499992370605,22.1666660308838
"5",25.2541675567627,27.6333332061768,22.4833335876465,1301,199,53,47.0098037719727,471,173,450,179,8.50833320617676,59.4988327026367,212.703994750977,32.2000007629395,17.8999996185303,14.3000011444092,27.5666656494141,22.6833343505859
"6",24.9249992370605,27.1166667938232,22.3500003814697,1410,203,33,58.1588745117188,542,116,467,116,9.46666622161865,63.5346755981445,192.548706054688,32,17.1000003814697,14.8999996185303,26.6166667938232,22.3500003814697
"7",25.2374992370605,27.0666656494141,23.2666664123535,2496,330,127,36.8892440795898,950,395,517,703,7.00833368301392,60.4166679382324,158.918579101562,30.7000007629395,19.1000003814697,11.6000003814697,24.7666664123535,23.8166656494141
"8",25.2916660308838,27.3500003814697,22.783332824707,1468,229,25,67.118408203125,614,92,563,92,10.1499996185303,65.4838714599609,183.536376953125,32.2999992370605,16.7999992370605,15.5,26.8166656494141,22.783332824707
"9",26.375,28.0833339691162,24.533332824707,1080,156,31,50.9668731689453,412,100,300,100,8.98333358764648,66.5432052612305,145.031341552734,32.5,19,13.5,27.6333332061768,24.533332824707
"10",25.966667175293,27.8999996185303,23.7999992370605,1110,189,22,61.6005973815918,445,68,359,68,9.13333320617676,64.3192520141602,165.066528320312,32.5999984741211,18.3999996185303,14.1999988555908,27.3166656494141,23.7999992370605
"11",25.9333324432373,27.8666667938232,23.8333320617676,1805,241,89,34.2353057861328,669,301,372,446,7.01666688919067,59.4632720947266,165.890625,31.6000003814697,19.7999992370605,11.8000011444092,25.4500007629395,24.5166664123535
"12",25.8583335876465,27.8333320617676,23.716667175293,1545,208,72,34.8600959777832,566,263,312,361,7.33333349227905,59.6205902099609,168.655548095703,31.7000007629395,19.3999996185303,12.3000011444092,25.3500003814697,24.4500007629395
"13",25.9458332061768,28.2666664123535,23.4166660308838,1083,173,28,53.5757369995117,410,106,308,116,8.60833358764648,60.1981391906738,198.236068725586,33.0999984741211,18.7999992370605,14.2999992370605,26.6833343505859,23.5499992370605
"14",26.2333335876465,28.1499996185303,24.1333332061768,1652,224,83,34.6827011108398,612,282,335,393,7.16666698455811,59.722225189209,165.231689453125,32,20,12,25.7333335876465,24.8333339691162
"15",25.8583335876465,27.8500003814697,23.4500007629395,1171,183,20,68.29638671875,489,69,471,69,9.08333301544189,63.0787124633789,175.497131347656,32.5999984741211,18.2000007629395,14.3999977111816,27.25,23.4500007629395
"16",26.0833339691162,28.3833332061768,23.5,1099,168,28,53.0373077392578,409,105,320,116,9.25,61.6666603088379,198.005187988281,33.4000015258789,18.3999996185303,15.0000019073486,26.783332824707,23.716667175293
