"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",12.9749994277954,14.3999996185303,11.2666664123535,1693,320,26,65.5287780761719,725,94,563,94,9.73333358764648,70.5314025878906,127.270294189453,19.2999992370605,5.5,13.7999992370605,14.25,11.2666664123535
"2",13.8708333969116,15.3166666030884,12.1166667938232,1649,310,29,64.1656188964844,702,101,544,101,10.0083332061768,70.4812240600586,129.903076171875,20.2999992370605,6.09999990463257,14.1999988555908,15.1499996185303,12.1166667938232
"3",15.2375001907349,16.6666660308838,13.5166664123535,1599,293,32,61.6039695739746,672,109,523,109,10.3416662216187,71.3218460083008,127.940414428711,21.7999992370605,7.30000019073486,14.4999990463257,16.5,13.5166664123535
"4",17.6458339691162,18.8833332061768,16.1000003814697,1305,203,29,60.0124549865723,552,93,462,93,10.3249998092651,74.2805709838867,114.086448669434,24.1000003814697,10.1999998092651,13.9000005722046,18.8166656494141,16.1000003814697
"5",17.8666667938232,19.0833339691162,16.3333339691162,1292,201,28,60.3704605102539,548,91,458,91,10.3500003814697,74.4604339599609,112.559753417969,24.2999992370605,10.3999996185303,13.8999996185303,19.0166664123535,16.3333339691162
"6",18.8624992370605,20.1000003814697,17.2999992370605,1236,188,27,59.6280708312988,522,90,438,90,10.5249996185303,74.1197204589844,114.13956451416,25.3999996185303,11.1999998092651,14.1999998092651,20.0166664123535,17.2999992370605
"7",19.158332824707,20.3833332061768,17.6333332061768,1190,178,27,60.5573272705078,506,85,428,85,10.4499998092651,74.6428527832031,111.860992431641,25.7000007629395,11.6999998092651,14.0000009536743,20.2999992370605,17.6333332061768
"8",19.2541675567627,20.5,17.6666660308838,1217,183,28,59.1106719970703,514,91,432,91,10.5250005722046,74.1197280883789,115.275520324707,25.7999992370605,11.6000003814697,14.1999988555908,20.4166660308838,17.6666660308838
"9",19.3374996185303,20.5833320617676,17.7666664123535,1215,182,29,58.8456192016602,512,92,430,92,10.5916662216187,74.5892028808594,114.517265319824,25.8999996185303,11.6999998092651,14.1999998092651,20.5,17.7666664123535
"10",19.6916675567627,21.033332824707,18.0833339691162,1422,232,28,60.1077079772949,597,94,482,94,11.0666666030884,73.7777786254883,119.10334777832,26.5,11.5,15,20.8500003814697,18.0833339691162
"11",19.8708324432373,21.1166667938232,18.283332824707,1184,176,28,58.6612739562988,500,92,420,92,10.625,74.3006973266602,114.64289855957,26.5,12.1999998092651,14.3000001907349,21.0166664123535,18.283332824707
"12",20.6208324432373,21.966667175293,19.0166664123535,1363,217,26,60.5506706237793,573,88,465,88,11.1416664123535,74.2777786254883,119.344017028809,27.5,12.5,15,21.7666664123535,19.0166664123535
"13",20.75,21.9833335876465,19.1666660308838,1138,169,27,59.148380279541,484,89,405,89,10.8500003814697,75.3472290039062,113.818031311035,27.3999996185303,13,14.3999996185303,21.8666667938232,19.1666660308838
"14",20.8624992370605,22.0499992370605,19.4166660308838,1119,163,31,56.0687065124512,467,103,393,103,10.5083332061768,75.0595245361328,107.304260253906,27.3999996185303,13.3999996185303,14,21.966667175293,19.4166660308838
"15",22.5458335876465,23.6666660308838,21.1666660308838,1041,164,20,63.5973663330078,460,68,384,68,10.8249998092651,77.3214263916016,100.892784118652,29,15,14,23.5499992370605,21.1666660308838
"16",21.6875,23.0499992370605,20.0833339691162,1284,200,23,60.9732131958008,540,82,437,82,11.2750005722046,74.6688766479492,119.698959350586,28.7000007629395,13.6000003814697,15.1000003814697,22.8166675567627,20.0833339691162
"17",22.591667175293,23.75,21.1833343505859,992,153,22,62.1667175292969,429,68,357,68,10.6999998092651,76.9784164428711,102.576652526855,29.1000003814697,15.1999998092651,13.9000005722046,23.6166667938232,21.1833343505859
"18",23.029167175293,24.2000007629395,21.5666675567627,969,150,19,63.205509185791,421,62,349,62,10.875,77.1276626586914,105.236923217773,29.6000003814697,15.5,14.1000003814697,24.0499992370605,21.5666675567627
"19",23.7708339691162,24.966667175293,22.283332824707,936,146,20,63.3831329345703,408,62,333,62,10.8916664123535,76.7018814086914,106.54615020752,30.3999996185303,16.2000007629395,14.1999988555908,24.783332824707,22.283332824707
"20",24.3333339691162,25.783332824707,22.783332824707,941,144,21,59.1692504882812,398,73,314,73,11.1499996185303,74.8322143554688,120.573120117188,31.5,16.6000003814697,14.8999996185303,25.4500007629395,22.783332824707
"21",24.7583332061768,26.216667175293,23.1833343505859,906,142,20,59.9405403137207,383,69,293,69,11.4333333969116,74.7276763916016,121.334121704102,32.0999984741211,16.7999992370605,15.2999992370605,25.8666667938232,23.1833343505859
"22",24.4833335876465,25.9333324432373,22.8666667938232,959,149,21,58.9150505065918,400,75,307,75,11.4333333969116,74.7276763916016,122.573417663574,31.7999992370605,16.5,15.2999992370605,25.6000003814697,22.8666667938232
"23",25.0416660308838,26.5,23.4333324432373,865,136,21,59.157054901123,364,70,275,70,11.5,74.6753158569336,122.378593444824,32.4000015258789,17,15.4000015258789,26.1499996185303,23.4333324432373
