"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",26.533332824707,27.4500007629395,25.8999996185303,2634,459,10,67.3985900878906,1097,80,175,869,9.35000038146973,73.6220474243164,64.924201965332,33.5,20.7999992370605,12.7000007629395,26,26.9833335876465
"2",26.8999996185303,27.7999992370605,26.283332824707,2677,484,11,74.7591705322266,1287,66,370,892,9.13333320617676,74.2547454833984,64.2438278198242,33.5999984741211,21.2999992370605,12.2999992370605,26.3833332061768,27.3166656494141
"3",26.9166660308838,27.8333339691162,26.2666664123535,2721,516,11,73.2838439941406,1209,61,112,953,9.29999923706055,73.2283401489258,66.0004425048828,33.9000015258789,21.2000007629395,12.7000007629395,26.3999996185303,27.3500003814697
"4",26.9416675567627,27.8666667938232,26.283332824707,2663,434,13,70.5140075683594,1162,83,106,865,9.35000038146973,73.6220397949219,66.7707595825195,33.9000015258789,21.2000007629395,12.7000007629395,26.3166675567627,27.3666667938232
"5",26.6083335876465,27.5833320617676,25.966667175293,3150,490,20,69.0469818115234,1407,101,553,965,9.25,72.8346557617188,66.5661849975586,33.5999984741211,20.8999996185303,12.6999988555908,26.1333332061768,26.966667175293
"6",26.2999992370605,27.25,25.6666679382324,2867,469,26,67.1047439575195,1261,88,472,916,9.08333301544189,74.4535446166992,64.5614624023438,33,20.7999992370605,12.2000007629395,25.8500003814697,26.6499996185303
"7",26.5249996185303,27.5,25.783332824707,3059,520,34,65.4906539916992,1298,131,531,946,8.35000038146973,73.8938140869141,68.6724853515625,32.5999984741211,21.2999992370605,11.2999992370605,26.0833339691162,26.8666667938232
"8",26.6208343505859,27.6000003814697,25.8999996185303,2841,527,16,66.8126373291016,1253,136,464,1009,8.47500038146973,73.0603332519531,69.1329040527344,32.9000015258789,21.2999992370605,11.6000022888184,25.9833335876465,27.0166664123535
"9",19.8958339691162,20.5666675567627,19.3333339691162,2684,428,21,71.6450881958008,1213,97,508,350,8.75833320617676,78.1994018554688,49.6560134887695,25.6000003814697,14.3999996185303,11.2000007629395,19.783332824707,19.7333335876465
"10",26.2041664123535,27.1833343505859,25.4833335876465,3277,425,58,53.1835403442383,1220,220,670,1011,8.72500038146973,73.9406814575195,68.7372589111328,32.5999984741211,20.7999992370605,11.7999992370605,25.5833339691162,26.5833320617676
"11",26.2041664123535,27.1833343505859,25.4833335876465,3277,425,58,53.1835403442383,1220,220,670,1011,8.72500038146973,73.9406814575195,68.7372589111328,32.5999984741211,20.7999992370605,11.7999992370605,25.5833339691162,26.5833320617676
"12",26.0416660308838,27.0499992370605,25.3333320617676,3319,551,53,56.8101806640625,1312,214,640,1104,8.74999904632568,73.529411315918,69.3093490600586,32.5,20.6000003814697,11.8999996185303,25.4166660308838,26.4166660308838
"13",21.6000003814697,22.216667175293,21.1499996185303,2826,424,40,46.0266876220703,1061,275,411,671,8.28333282470703,81.2091598510742,44.1073150634766,26.7999992370605,16.6000003814697,10.1999988555908,21.4833335876465,21.8666667938232
"14",21.4750003814697,22.0833339691162,21.0166664123535,3425,445,69,41.3896484375,1178,348,561,998,8.25,80.0970764160156,44.7975425720215,26.7000007629395,16.3999996185303,10.3000011444092,21.1499996185303,21.716667175293
"15",22.5208339691162,23.1333332061768,22.033332824707,3552,417,52,40.8527793884277,1197,330,555,1059,8.15833377838135,79.9836578369141,45.9475364685059,27.7000007629395,17.5,10.2000007629395,22.466667175293,22.75
"16",22.8666667938232,23.466667175293,22.3833332061768,3406,414,50,39.261302947998,1188,357,549,891,8.10000038146973,80.1980209350586,44.8397827148438,28,17.8999996185303,10.1000003814697,22.5499992370605,23.0833320617676
"17",21.9375,22.5499992370605,21.466667175293,3402,425,47,41.9074440002441,1204,328,538,796,8.10833358764648,80.2805328369141,44.216667175293,27.1000003814697,17,10.1000003814697,21.6166667938232,22.1833343505859
"18",24.0791664123535,24.9333324432373,23.5499992370605,2382,351,5,68.6743392944336,991,34,436,754,7.60833358764648,80.9397201538086,56.9871597290039,29.1000003814697,19.7000007629395,9.39999961853027,23.5833339691162,24.2333335876465
"19",26.033332824707,27.1499996185303,25.2000007629395,2969,415,18,56.710132598877,1192,158,584,886,10.1500005722046,77.4809036254883,77.2049789428711,32.9000015258789,19.7999992370605,13.1000022888184,25.6666660308838,26.1666660308838
"20",26.033332824707,27.1499996185303,25.2000007629395,2969,415,18,56.710132598877,1192,158,584,886,10.1500005722046,77.4809036254883,77.2049789428711,32.9000015258789,19.7999992370605,13.1000022888184,25.6666660308838,26.1666660308838
"21",25.783332824707,26.8833332061768,24.966667175293,3510,651,24,65.1403656005859,1594,141,589,1314,10.3000001907349,76.8656692504883,75.9584808349609,32.7999992370605,19.3999996185303,13.3999996185303,25.1166667938232,25.9333324432373
"22",25.783332824707,26.8833332061768,24.966667175293,3510,651,24,65.1403656005859,1594,141,589,1314,10.3000001907349,76.8656692504883,75.9584808349609,32.7999992370605,19.3999996185303,13.3999996185303,25.1166667938232,25.9333324432373
"23",25.9166660308838,26.966667175293,25.1000003814697,3089,559,48,64.8717727661133,1378,207,574,977,9.76666641235352,78.1333236694336,74.355842590332,32.4000015258789,19.8999996185303,12.5000019073486,25.5499992370605,26
"24",25.9166660308838,26.966667175293,25.1000003814697,3089,559,48,64.8717727661133,1378,207,574,977,9.76666641235352,78.1333236694336,74.355842590332,32.4000015258789,19.8999996185303,12.5000019073486,25.5499992370605,26
"25",25.533332824707,26.6166667938232,24.7333335876465,2906,403,62,46.9138259887695,1059,242,523,974,10.283332824707,77.3182983398438,74.8128890991211,32.5,19.2000007629395,13.2999992370605,25.1666660308838,25.6499996185303
"26",25.533332824707,26.6166667938232,24.7333335876465,2906,403,62,46.9138259887695,1059,242,523,974,10.283332824707,77.3182983398438,74.8128890991211,32.5,19.2000007629395,13.2999992370605,25.1666660308838,25.6499996185303
"27",25.5666656494141,26.6499996185303,24.7666664123535,3303,653,40,64.9415664672852,1435,131,575,1197,10.3333330154419,77.1144409179688,74.5999526977539,32.5999984741211,19.2000007629395,13.3999977111816,25.1666660308838,25.716667175293
"28",26.2250003814697,26.966667175293,25.716667175293,2349,386,13,64.001091003418,961,112,387,854,6.96666669845581,79.1666717529297,52.6350898742676,30.7999992370605,22,8.79999923706055,25.7666664123535,26.8833332061768
"29",20.0166664123535,20.8166656494141,19.283332824707,3645,540,102,39.9354095458984,1304,474,585,1005,8.81666660308838,78.7202377319336,62.0605583190918,25.7000007629395,14.5,11.2000007629395,19.6333332061768,20.3833332061768
"30",20.3624992370605,21.2999992370605,19.6000003814697,2616,472,23,67.0030212402344,1138,164,479,411,9.42500019073486,77.8925552368164,67.5252532958984,26.7000007629395,14.6000003814697,12.1000003814697,20.1166667938232,20.2999992370605
