"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",19.0625,20.25,17.5833339691162,1243,189,32,58.0709991455078,525,103,441,103,10.3916664123535,74.7601928710938,109.547096252441,25.5,11.6000003814697,13.8999996185303,20.1833324432373,17.5833339691162
"2",19.7083339691162,20.9333343505859,18.1833343505859,1191,176,31,57.090648651123,498,100,419,100,10.5166664123535,74.5862884521484,111.698318481445,26.2999992370605,12.1999998092651,14.0999994277954,20.8333339691162,18.1833343505859
"3",20.2708339691162,21.4833335876465,18.6833324432373,1184,171,36,47.668384552002,436,124,399,132,10.591667175293,75.1182098388672,114.046600341797,26.7999992370605,12.6999998092651,14.0999994277954,21.3666667938232,18.8833332061768
"4",20.5458335876465,21.7666664123535,19.0666656494141,1564,245,27,60.7762641906738,643,94,541,94,11.1750001907349,75.0000076293945,108.637397766113,27.5,12.6000003814697,14.8999996185303,21.6000003814697,19.0666656494141
"5",21.6916675567627,22.8999996185303,20.2000007629395,1080,158,30,54.6786766052246,447,106,373,106,10.6833333969116,75.7683258056641,108.895980834961,28.2999992370605,14.1999998092651,14.0999994277954,22.7999992370605,20.3500003814697
"6",21.8125,23.0499992370605,20.25,1047,158,21,61.7615699768066,450,69,376,69,10.7749996185303,75.8802871704102,112.13069152832,28.5,14.3000001907349,14.1999998092651,22.8999996185303,20.25
"7",21.5249996185303,22.8166656494141,19.9166679382324,1253,207,14,64.6370010375977,518,59,447,59,11.7333335876465,74.7346115112305,116.062271118164,28.7999992370605,13.1000003814697,15.6999988555908,22.5666656494141,19.9166679382324
"8",21.7541656494141,23,20.1666660308838,1057,158,25,59.4331283569336,448,79,374,79,10.7416667938232,75.6455383300781,113.946907043457,28.3999996185303,14.1999998092651,14.1999998092651,22.8666667938232,20.1666660308838
"9",22.5458335876465,23.6666660308838,21.1666660308838,1041,164,20,63.5973663330078,460,68,384,68,10.8249998092651,77.3214263916016,100.892784118652,29,15,14,23.5499992370605,21.1666660308838
"10",22.3916664123535,23.5499992370605,20.9500007629395,1054,162,23,61.8603324890137,458,72,381,72,11.1666669845581,77.0114974975586,104.74715423584,29.1000003814697,14.6000003814697,14.5,23.4166660308838,20.9500007629395
"11",22.1791667938232,23.3999996185303,20.6333332061768,1027,156,20,62.1640625,442,67,369,67,10.7583332061768,76.3002395629883,111.446250915527,28.7999992370605,14.6999998092651,14.0999994277954,23.25,20.6333332061768
