"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",16.9375,18.3833332061768,15.0500001907349,1286,199,41,45.4072494506836,450,142,396,169,10.375,71.5517272949219,137.181442260742,23.6000003814697,9.10000038146973,14.5,18.2666664123535,15.2666664123535
"2",18.529167175293,19.783332824707,16.9166660308838,1224,185,38,47.8592529296875,447,130,405,144,10.6083335876465,74.7065658569336,117.617622375488,25.1000003814697,10.8999996185303,14.2000007629395,19.716667175293,17.0833339691162
"3",19.158332824707,20.3833332061768,17.6333332061768,1190,178,27,60.5573272705078,506,85,428,85,10.4499998092651,74.6428527832031,111.860992431641,25.7000007629395,11.6999998092651,14.0000009536743,20.2999992370605,17.6333332061768
"4",18.8708324432373,20.1333332061768,17.3166656494141,1054,171,19,58.5775718688965,416,78,371,78,11.1083335876465,74.5525665283203,113.687347412109,25.6000003814697,10.6999998092651,14.9000005722046,19.966667175293,17.3166656494141
"5",20.5833339691162,21.783332824707,18.9833335876465,1618,228,39,55.0102920532227,612,132,540,132,9.21666717529297,72.0052108764648,114.044105529785,26.6000003814697,13.8000001907349,12.8000001907349,21.6166667938232,18.9833335876465
"6",20.75,21.9833335876465,19.1666660308838,1138,169,27,59.148380279541,484,89,405,89,10.8500003814697,75.3472290039062,113.818031311035,27.3999996185303,13,14.3999996185303,21.8666667938232,19.1666660308838
"7",20.341667175293,21.7000007629395,18.6000003814697,1348,219,15,64.5805816650391,564,63,483,63,11.4000005722046,73.0769195556641,125.09693145752,27.6000003814697,12,15.6000003814697,21.4333343505859,18.6000003814697
"8",20.7749996185303,21.966667175293,19.2000007629395,1597,253,20,63.7719306945801,665,78,567,78,10.716667175293,74.4212951660156,111.793251037598,27.6000003814697,13.1999998092651,14.4000005722046,21.7666664123535,19.2000007629395
"9",22,23.25,20.3833332061768,1401,186,55,40.656623840332,490,174,458,189,10,74.6268692016602,116.696968078613,28.3999996185303,15,13.3999996185303,23.1333332061768,20.5666656494141
"10",22.0083332061768,23.25,20.3833332061768,1410,187,54,40.4239349365234,492,177,460,190,10,74.6268692016602,117.218399047852,28.3999996185303,15,13.3999996185303,23.1333332061768,20.5666656494141
"11",22.0416660308838,23.25,20.4333343505859,1521,212,41,52.2041282653809,585,135,453,135,10.9166669845581,74.7716979980469,115.970855712891,28.8999996185303,14.3000001907349,14.5999994277954,23.0166664123535,20.4333343505859
"12",22.7000007629395,24.1666679382324,20.783332824707,1371,200,63,33.2222785949707,438,208,348,230,10.9333333969116,73.3780746459961,139.283889770508,29.7999992370605,14.8999996185303,14.8999996185303,23.2666664123535,21.1000003814697
