"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",18.1333332061768,19.3666667938232,16.5833339691162,1273,197,27,60.6245346069336,541,89,453,89,10.4166660308838,74.4047622680664,113.78475189209,24.6000003814697,10.6000003814697,14,19.2999992370605,16.5833339691162
"2",18.0874996185303,19.3666667938232,16.6333332061768,1687,333,25,67.7460174560547,729,86,551,86,10.9250001907349,73.8175659179688,111.337417602539,24.7000007629395,9.89999961853027,14.8000011444092,19.1666660308838,16.6333332061768
"3",18.7958335876465,20.0166664123535,17.2333335876465,1246,191,26,60.0999794006348,528,88,442,88,10.4916667938232,74.9404830932617,113.42716217041,25.2999992370605,11.3000001907349,13.9999990463257,19.9166660308838,17.2333335876465
"4",19.158332824707,20.3833332061768,17.6333332061768,1190,178,27,60.5573272705078,506,85,428,85,10.4499998092651,74.6428527832031,111.860992431641,25.7000007629395,11.6999998092651,14.0000009536743,20.2999992370605,17.6333332061768
"5",18.9583339691162,20.25,17.466667175293,1656,313,22,67.015739440918,712,81,549,81,10.966667175293,73.6017837524414,113.494758605957,25.6000003814697,10.6999998092651,14.9000005722046,20.0499992370605,17.466667175293
"6",19.2541675567627,20.5,17.6666660308838,1217,183,28,59.1106719970703,514,91,432,91,10.5250005722046,74.1197280883789,115.275520324707,25.7999992370605,11.6000003814697,14.1999988555908,20.4166660308838,17.6666660308838
"7",19.7083339691162,20.9333343505859,18.1833343505859,1191,176,31,57.090648651123,498,100,419,100,10.5166664123535,74.5862884521484,111.698318481445,26.2999992370605,12.1999998092651,14.0999994277954,20.8333339691162,18.1833343505859
"8",19.6833343505859,20.9333343505859,18.1000003814697,1191,179,26,59.5794143676758,504,87,423,87,10.6333332061768,74.3589782714844,114.976943969727,26.2999992370605,12,14.2999992370605,20.8333339691162,18.1000003814697
"9",19.8708324432373,21.1166667938232,18.283332824707,1184,176,28,58.6612739562988,500,92,420,92,10.625,74.3006973266602,114.64289855957,26.5,12.1999998092651,14.3000001907349,21.0166664123535,18.283332824707
"10",19.9500007629395,21.4166679382324,18.2000007629395,1580,263,34,58.0311508178711,645,118,511,118,11.1000003814697,72.0779266357422,130.244537353516,26.8999996185303,11.5,15.3999996185303,21.1499996185303,18.2000007629395
"11",20.3041667938232,21.5499992370605,18.716667175293,1158,171,29,58.1482620239258,486,91,408,91,10.7416667938232,74.5949096679688,114.959632873535,27,12.6000003814697,14.3999996185303,21.4500007629395,18.716667175293
"12",19.5833339691162,21.2666664123535,17.6166667938232,2155,426,61,60.74755859375,873,200,599,200,9.18333339691162,67.031623840332,146.742416381836,26.1000003814697,12.3999996185303,13.7000007629395,20.8666667938232,17.6166667938232
"13",20.75,21.9833335876465,19.1666660308838,1138,169,27,59.148380279541,484,89,405,89,10.8500003814697,75.3472290039062,113.818031311035,27.3999996185303,13,14.3999996185303,21.8666667938232,19.1666660308838
