"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",19.6958332061768,21.1499996185303,17.9833335876465,1897,276,64,49.462329864502,773,197,625,197,8.82499980926514,71.1693572998047,134.391860961914,25.5,13.1000003814697,12.3999996185303,21.033332824707,17.9833335876465
"2",19.8708324432373,21.3333339691162,18.1166667938232,1895,274,67,48.3466796875,764,202,614,202,8.80833339691162,71.0349426269531,136.506057739258,25.7000007629395,13.3000001907349,12.4000005722046,21.216667175293,18.1166667938232
"3",19.9458332061768,21.3166656494141,18.3666667938232,2002,230,90,28.7695083618164,655,315,570,315,6.125,64.4736862182617,124.196655273438,24.6000003814697,15.1000003814697,9.5,21.2999992370605,18.3666667938232
"4",20.7458324432373,22.2333335876465,18.9833335876465,2153,311,74,46.5171585083008,859,243,690,243,9.75833320617676,72.8233871459961,138.538757324219,27,13.6000003814697,13.3999996185303,22.0833339691162,18.9833335876465
"5",21.5750007629395,22.9833335876465,19.8833332061768,2277,318,76,44.9125823974609,895,265,744,265,10.5,74.4680862426758,132.003799438477,28.2000007629395,14.1000003814697,14.1000003814697,22.8666667938232,19.8833332061768
"6",20.7916660308838,22.216667175293,19.1166667938232,2013,226,92,27.3727684020996,649,324,575,324,6.69999980926514,65.6862716674805,129.892150878906,25.7000007629395,15.5,10.2000007629395,22.1333332061768,19.1166667938232
"7",20.8875007629395,22.3166656494141,19.216667175293,2042,224,94,26.3176898956299,649,335,572,339,6.62499952316284,65.5940628051758,130.9775390625,25.7999992370605,15.6999998092651,10.0999994277954,21.8333320617676,19.5499992370605
"8",20.9624996185303,22.4166660308838,19.25,1968,226,87,29.1791591644287,652,301,580,301,6.95833349227905,66.2698440551758,132.821212768555,26,15.5,10.5,22.3333339691162,19.25
"9",20.970832824707,22.4333343505859,19.2999992370605,2032,225,94,26.4470386505127,646,334,574,334,6.74166679382324,65.4530715942383,131.89973449707,26,15.6999998092651,10.3000001907349,22.3500003814697,19.2999992370605
"10",21.3666667938232,22.7666664123535,19.7333335876465,2205,321,65,50.3862228393555,913,223,776,223,10.3999996185303,74.2857131958008,129.585586547852,27.8999996185303,13.8999996185303,14,22.6166667938232,19.7333335876465
"11",20.8541660308838,22.3166656494141,19.1166667938232,1886,234,80,33.4691696166992,667,270,576,270,7.80833339691162,68.4941558837891,134.999298095703,26.2999992370605,14.8999996185303,11.3999996185303,22.2000007629395,19.1166667938232
"12",21.0499992370605,22.5499992370605,19.25,2110,291,83,40.2898254394531,796,281,639,281,9.55000019073486,71.8045196533203,139.967529296875,27.2999992370605,14,13.2999992370605,22.3999996185303,19.25
"13",21.0499992370605,22.5166664123535,19.3500003814697,1960,269,77,40.6706237792969,743,256,606,256,9.28333282470703,72.5260391235352,133.909759521484,27,14.1999998092651,12.8000001907349,22.3500003814697,19.3500003814697
"14",21.9249992370605,23.283332824707,20.3333339691162,2198,309,69,47.4325256347656,878,238,631,243,10.6999998092651,75.3521041870117,126.032104492188,28.6000003814697,14.3999996185303,14.2000007629395,23.1333332061768,20.4333343505859
"15",21.8166656494141,23.216667175293,20.1833343505859,2201,309,69,47.5145072937012,876,235,632,240,10.6166667938232,74.7652587890625,129.445190429688,28.5,14.3000001907349,14.1999998092651,23.033332824707,20.283332824707
"16",21.3208332061768,22.8166656494141,19.533332824707,1854,228,79,33.048656463623,654,265,573,265,8.15833282470703,69.1384201049805,137.946929931641,26.8999996185303,15.1000003814697,11.7999992370605,22.6666660308838,19.533332824707
"17",21.5375003814697,23.0666675567627,19.716667175293,1959,252,83,34.7280693054199,702,278,588,278,9.35833358764648,71.4376602172852,141.808532714844,27.7000007629395,14.6000003814697,13.1000003814697,22.9166679382324,19.716667175293
"18",21.6625003814697,23.1333332061768,19.9166660308838,2203,304,79,42.0354118347168,846,277,695,277,10.3916664123535,73.6997680664062,136.417236328125,28.2999992370605,14.1999998092651,14.0999994277954,22.9833335876465,19.9166660308838
"19",21.6375007629395,23.1000003814697,19.8999996185303,1840,223,78,32.1720008850098,644,272,572,272,7.95833301544189,69.2028961181641,135.044204711914,27.1000003814697,15.6000003814697,11.5,22.9500007629395,19.8999996185303
"20",22.3999996185303,23.75,20.783332824707,2192,316,66,49.0184936523438,890,222,635,236,11.4499998092651,75.8278121948242,126.347290039062,29.5,14.3999996185303,15.1000003814697,23.6000003814697,20.8999996185303
"21",21.6416664123535,23.1666660308838,19.8500003814697,1803,223,76,33.7586135864258,643,256,569,256,8.23333358764648,69.1876754760742,139.297485351562,27.2999992370605,15.3999996185303,11.8999996185303,23,19.8500003814697
"22",21.3791675567627,22.8999996185303,19.5833339691162,1859,226,79,32.3186874389648,650,269,572,269,8.14166641235352,68.9971771240234,139.731201171875,27,15.1999998092651,11.8000001907349,22.75,19.5833339691162
"23",22.5750007629395,24.0499992370605,20.8500003814697,2138,224,99,25.0398654937744,661,344,598,366,7.23333311080933,66.9753112792969,134.612228393555,27.7999992370605,17,10.7999992370605,23.4333324432373,21.2333335876465
"24",22.3291664123535,23.8333339691162,20.5666656494141,2033,225,86,28.095552444458,658,310,604,310,7.67499971389771,67.9203491210938,137.037811279297,27.7000007629395,16.3999996185303,11.3000011444092,23.6666679382324,20.5666656494141
"25",22.658332824707,24.1333332061768,20.8833332061768,2029,226,85,28.4879608154297,661,307,609,307,7.94999980926514,69.1304321289062,136.578887939453,28.1000003814697,16.6000003814697,11.5,23.9833335876465,20.8833332061768
"26",22.6375007629395,24.1499996185303,20.8666667938232,2055,226,88,27.7011909484863,660,316,607,316,7.77500009536743,68.2017593383789,138.319885253906,28.1000003814697,16.7000007629395,11.3999996185303,24,20.8666667938232
"27",23.2291660308838,24.716667175293,21.466667175293,2102,229,88,27.8170261383057,671,321,622,321,7.95833301544189,69.2028961181641,137.319458007812,28.7000007629395,17.2000007629395,11.5,24.5666675567627,21.466667175293
"28",22.25,23.75,20.4500007629395,2198,316,67,47.3754196166992,892,239,774,239,11.6000003814697,74.3589706420898,140.356689453125,29.6000003814697,14,15.6000003814697,23.6000003814697,20.4500007629395
"29",22.1916675567627,23.6499996185303,20.4166660308838,2150,291,73,42.4543914794922,827,262,702,262,10.9666662216187,74.6031723022461,137.953109741211,29.1000003814697,14.3999996185303,14.7000007629395,23.5,20.4166660308838
"30",22.6833324432373,24.2000007629395,20.8500003814697,1789,212,80,29.1575527191162,602,272,536,272,9.33333301544189,71.7948760986328,141.907974243164,28.7999992370605,15.8000001907349,12.9999990463257,24.033332824707,20.8500003814697
"31",22.9541664123535,24.4333324432373,21.1833324432373,2049,231,85,29.7633895874023,678,302,629,302,8.22500038146973,69.7033920288086,137.3525390625,28.5,16.7000007629395,11.7999992370605,24.2666664123535,21.1833324432373
"32",22.5625,24.0166664123535,20.8166675567627,2055,298,64,47.7890281677246,846,225,726,225,11.3083333969116,74.8896255493164,135.128295898438,29.7000007629395,14.6000003814697,15.1000003814697,23.8500003814697,20.8166675567627
"33",22.970832824707,24.4833335876465,21.1833324432373,2070,233,85,29.8393955230713,684,306,635,306,8.10833358764648,69.3019943237305,138.981002807617,28.5,16.7999992370605,11.7000007629395,24.283332824707,21.1833324432373
"34",23.1375007629395,24.5499992370605,21.5,1768,261,61,46.3859519958496,722,203,604,203,11.0416660308838,75.1133804321289,128.489929199219,30,15.3000001907349,14.6999998092651,24.3500003814697,21.5
"35",23.1625003814697,24.6499996185303,21.4333343505859,2185,233,95,26.518383026123,684,341,631,356,7.52500009536743,67.7927932739258,135.413909912109,28.5,17.3999996185303,11.1000003814697,24,21.8166675567627
"36",23.0416660308838,24.5833339691162,21.1666660308838,1721,207,75,31.5959739685059,595,253,543,253,9.45000076293945,71.5909042358398,144.926849365234,29.2000007629395,16,13.2000007629395,24.3999996185303,21.1666660308838
"37",23.2666664123535,24.6333332061768,21.6333332061768,2070,296,65,46.453067779541,823,229,592,236,12.0166664123535,77.0299072265625,127.659599304199,30.6000003814697,15,15.6000003814697,24.466667175293,21.7333335876465
"38",23.0458335876465,24.5499992370605,21.2333335876465,1867,228,80,30.8119945526123,636,276,550,276,10.0583333969116,73.4184875488281,140.881286621094,29.5,15.8000001907349,13.6999998092651,24.3833332061768,21.2333335876465
"39",22.9791660308838,24.4333324432373,21.2333335876465,2309,315,72,43.7120246887207,878,263,768,274,12.125,76.2578659057617,135.486633300781,30.5,14.6000003814697,15.8999996185303,24.283332824707,21.3333339691162
"40",23.3875007629395,24.8333339691162,21.6499996185303,2074,274,69,42.0338706970215,778,247,673,247,12.0083332061768,76.0021133422852,135.849594116211,30.8999996185303,15.1000003814697,15.7999992370605,24.7000007629395,21.6499996185303
"41",23.1833324432373,24.6166667938232,21.466667175293,2029,288,60,47.6527137756348,803,206,707,219,11.8166666030884,75.7478637695312,134.203598022461,30.6000003814697,15,15.6000003814697,24.4500007629395,21.533332824707
"42",23.1041660308838,24.6499996185303,21.25,1609,203,61,36.2078628540039,583,216,532,216,9.49166679382324,71.9065704345703,144.008483886719,29.2999992370605,16.1000003814697,13.1999988555908,24.4333324432373,21.25
"43",23.4166660308838,24.9166660308838,21.6499996185303,1971,239,72,33.8173675537109,691,277,637,277,8.39999961853027,70,137.911926269531,29.1000003814697,17.1000003814697,12,24.716667175293,21.6499996185303
"44",23.1333332061768,24.7000007629395,21.2666664123535,1715,218,74,32.8359985351562,605,244,527,244,9.89999961853027,72.2627639770508,145.513717651367,29.6000003814697,15.8999996185303,13.7000007629395,24.4833335876465,21.2666664123535
"45",23.2749996185303,24.7999992370605,21.4166660308838,1787,213,74,30.6645374298096,609,264,515,264,9.39999961853027,71.7557220458984,143.819641113281,29.3999996185303,16.2999992370605,13.1000003814697,24.6166667938232,21.4166660308838
"46",23.2041664123535,24.6166667938232,21.4833335876465,2276,307,72,43.4658355712891,856,256,751,273,12.3249998092651,76.5527954101562,133.288116455078,30.7999992370605,14.6999998092651,16.0999984741211,24.466667175293,21.5666675567627
