"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",27.4458332061768,28.3166656494141,26.5,1989,426,3,94.8450927734375,1014,15,262,78,10.5249996185303,76.2681198120117,73.8690185546875,34.0999984741211,20.2999992370605,13.7999992370605,27.4499988555908,26.533332824707
"2",26.0249996185303,26.716667175293,25.2333335876465,2834,602,8,91.089714050293,1380,47,428,136,10.2333326339722,76.9423599243164,61.699405670166,32.2999992370605,19,13.2999992370605,26.033332824707,25.25
"3",23.3166675567627,24.033332824707,22.3833332061768,2764,587,10,90.7315521240234,1332,51,925,51,9.89999961853027,77.3437576293945,71.0100250244141,29.2999992370605,16.5,12.7999992370605,23.4333343505859,22.3833332061768
"4",26.1000003814697,26.9333324432373,25.283332824707,2567,484,9,86.8281784057617,1245,42,383,152,11.25,78.1250152587891,68.0574417114258,33.0999984741211,18.7000007629395,14.3999977111816,25.966667175293,25.3500003814697
"5",25.9833335876465,26.7999992370605,25.2000007629395,2712,521,9,86.4383697509766,1293,41,420,154,11.283332824707,77.8160934448242,65.9315643310547,33,18.5,14.5,25.8333339691162,25.283332824707
"6",20.4125003814697,20.8666667938232,19.8500003814697,3137,655,25,84.8562240600586,1460,114,1008,188,11.2749996185303,84.7744445800781,44.6259689331055,26.7999992370605,13.5,13.2999992370605,20.3666667938232,19.8999996185303
"7",27.7416667938232,28.4499988555908,26.8500003814697,1413,318,2,95.3160400390625,721,12,457,12,12.6666660308838,80.6794052124023,63.6693382263184,35.0999984741211,19.3999996185303,15.6999988555908,27.8833332061768,26.8500003814697
"8",27.7416667938232,28.4499988555908,26.8500003814697,1413,318,2,95.3160400390625,721,12,457,12,12.6666660308838,80.6794052124023,63.6693382263184,35.0999984741211,19.3999996185303,15.6999988555908,27.8833332061768,26.8500003814697
"9",23.4291667938232,24,22.7666664123535,3893,655,29,78.6258544921875,1795,121,620,121,11.1916666030884,81.0990371704102,52.112548828125,30,16.2000007629395,13.7999992370605,23.4500007629395,22.7666664123535
"10",22.3833332061768,22.9500007629395,21.6666679382324,4094,694,35,77.6229248046875,1879,147,1248,147,11.3166666030884,82.6034088134766,54.3278388977051,28.8999996185303,15.1999998092651,13.6999998092651,22.4833335876465,21.6666679382324
"11",24.3374996185303,24.966667175293,23.7666664123535,3567,614,28,76.2440872192383,1603,108,697,108,11.7583332061768,82.2261123657227,49.5032196044922,31.2999992370605,17,14.2999992370605,24.2333335876465,23.7666664123535
"12",27.4416675567627,28.4833335876465,26.3833332061768,2181,449,3,92.5747985839844,1122,21,656,21,12.5166673660278,75.8585891723633,83.6614761352539,35.5,19,16.5,27.4833335876465,26.3833332061768
"13",27.1291656494141,28.2000007629395,26.0833339691162,2272,479,3,96.8984222412109,1237,18,281,18,12.4749994277954,75.6060562133789,84.6237335205078,35.2000007629395,18.7000007629395,16.5,27.1666660308838,26.0833339691162
"14",26.4958324432373,27.533332824707,25.4500007629395,2369,492,4,96.124755859375,1287,22,702,22,12.2916669845581,76.3457641601562,82.6948928833008,34.2999992370605,18.2000007629395,16.0999984741211,26.5833339691162,25.4500007629395
