"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",19.6958332061768,21.1499996185303,17.9833335876465,1897,276,64,49.462329864502,773,197,625,197,8.82499980926514,71.1693572998047,134.391860961914,25.5,13.1000003814697,12.3999996185303,21.033332824707,17.9833335876465
"2",19.9458332061768,21.3166656494141,18.3666667938232,2002,230,90,28.7695083618164,655,315,570,315,6.125,64.4736862182617,124.196655273438,24.6000003814697,15.1000003814697,9.5,21.2999992370605,18.3666667938232
"3",21.4583339691162,22.8333339691162,19.8833332061768,2175,304,68,47.8246269226074,870,235,622,236,10.0166664123535,74.1975402832031,126.164283752441,27.7999992370605,14.3000001907349,13.4999990463257,22.6666660308838,19.966667175293
"4",20.8875007629395,22.3166656494141,19.216667175293,2042,224,94,26.3176898956299,649,335,572,339,6.62499952316284,65.5940628051758,130.9775390625,25.7999992370605,15.6999998092651,10.0999994277954,21.8333320617676,19.5499992370605
"5",20.970832824707,22.4333343505859,19.2999992370605,2032,225,94,26.4470386505127,646,334,574,334,6.74166679382324,65.4530715942383,131.89973449707,26,15.6999998092651,10.3000001907349,22.3500003814697,19.2999992370605
"6",21.7916660308838,23.1833324432373,20.1333332061768,2239,318,69,48.6234588623047,908,237,645,240,10.8666667938232,74.9425277709961,130.154312133789,28.6000003814697,14.1000003814697,14.5,23.033332824707,20.25
"7",21.9249992370605,23.283332824707,20.3333339691162,2198,309,69,47.4325256347656,878,238,631,243,10.6999998092651,75.3521041870117,126.032104492188,28.6000003814697,14.3999996185303,14.2000007629395,23.1333332061768,20.4333343505859
"8",21.533332824707,23.0166664123535,19.7999992370605,1856,246,76,37.1747627258301,687,253,578,253,9.19999980926514,71.875,135.249481201172,27.5,14.6999998092651,12.8000001907349,22.8500003814697,19.7999992370605
"9",22.1458339691162,23.5499992370605,20.4833335876465,2197,310,68,47.5819435119629,872,228,632,240,11.0416660308838,75.1133728027344,130.896530151367,29.1000003814697,14.3999996185303,14.7000007629395,23.3833332061768,20.5666656494141
"10",22.5750007629395,24.0499992370605,20.8500003814697,2138,224,99,25.0398654937744,661,344,598,366,7.23333311080933,66.9753112792969,134.612228393555,27.7999992370605,17,10.7999992370605,23.4333324432373,21.2333335876465
"11",22.3291664123535,23.8333339691162,20.5666656494141,2033,225,86,28.095552444458,658,310,604,310,7.67499971389771,67.9203491210938,137.037811279297,27.7000007629395,16.3999996185303,11.3000011444092,23.6666679382324,20.5666656494141
"12",22.1333332061768,23.6833343505859,20.2999992370605,1801,214,76,31.4130954742432,622,261,564,261,8.53333377838135,69.9453582763672,142.706527709961,27.8999996185303,15.6999998092651,12.1999998092651,23.5,20.2999992370605
"13",22.25,23.75,20.4500007629395,2198,316,67,47.3754196166992,892,239,774,239,11.6000003814697,74.3589706420898,140.356689453125,29.6000003814697,14,15.6000003814697,23.6000003814697,20.4500007629395
"14",22.970832824707,24.4833335876465,21.1833324432373,2070,233,85,29.8393955230713,684,306,635,306,8.10833358764648,69.3019943237305,138.981002807617,28.5,16.7999992370605,11.7000007629395,24.283332824707,21.1833324432373
"15",23.2666664123535,24.6333332061768,21.6333332061768,2070,296,65,46.453067779541,823,229,592,236,12.0166664123535,77.0299072265625,127.659599304199,30.6000003814697,15,15.6000003814697,24.466667175293,21.7333335876465
"16",22.9791660308838,24.4333324432373,21.2333335876465,2309,315,72,43.7120246887207,878,263,768,274,12.125,76.2578659057617,135.486633300781,30.5,14.6000003814697,15.8999996185303,24.283332824707,21.3333339691162
"17",23.2041664123535,24.716667175293,21.4500007629395,2123,229,89,27.4008502960205,672,328,623,328,7.89166641235352,68.6231842041016,137.48486328125,28.7000007629395,17.2000007629395,11.5,24.5500011444092,21.4500007629395
"18",23.2041664123535,24.6166667938232,21.4833335876465,2276,307,72,43.4658355712891,856,256,751,273,12.3249998092651,76.5527954101562,133.288116455078,30.7999992370605,14.6999998092651,16.0999984741211,24.466667175293,21.5666675567627
"19",24.4291667938232,25.9333343505859,22.6833343505859,2187,244,92,27.9256343841553,685,333,635,333,8.05833339691162,69.468391418457,137.946914672852,30,18.3999996185303,11.6000003814697,25.7666664123535,22.6833343505859
"20",24.5375003814697,26,22.8333339691162,2198,245,93,27.8066062927246,689,339,628,339,7.92499971389771,69.5175476074219,133.877899169922,30,18.6000003814697,11.3999996185303,25.2999992370605,22.8333339691162
"21",24.5,26.0166664123535,22.6833343505859,1822,253,70,39.3157424926758,669,243,443,243,11.0166664123535,74.9433059692383,141.870620727539,31.5,16.7999992370605,14.7000007629395,25.8166656494141,22.6833343505859
"22",24.9750003814697,26.4833335876465,23.2000007629395,2047,233,84,29.9559574127197,655,296,601,296,8.38333320617676,69.8611068725586,138.736190795898,30.7000007629395,18.7000007629395,12,26.3000011444092,23.2000007629395
"23",26.3250007629395,27.6666679382324,24.6666660308838,1663,186,76,26.9905738830566,510,263,450,263,10.0833330154419,75.8145370483398,128.690963745117,32.5,19.2000007629395,13.2999992370605,27.0499992370605,24.6666660308838
"24",25.8166675567627,27.2666664123535,24.1333332061768,1707,201,68,32.4125900268555,561,236,488,236,8.11666679382324,70.5797119140625,132.464965820312,31.2999992370605,19.7999992370605,11.5,26.533332824707,24.1333332061768
"25",25.4416656494141,26.9166660308838,23.7333335876465,1865,264,68,40.714672088623,709,234,610,243,8.41666698455811,71.3276748657227,133.737106323242,31.1000003814697,19.2999992370605,11.8000011444092,26.7000007629395,24.1333332061768
