"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",16.7625007629395,17.3666667938232,16.0499992370605,2897,537,14,75.1054611206055,1352,58,864,147,8.79166698455811,77.1198883056641,52.8344345092773,22.3999996185303,11,11.3999996185303,16.783332824707,16.4166660308838
"2",16.7625007629395,17.3666667938232,16.0499992370605,2897,537,14,75.1054611206055,1352,58,864,147,8.79166698455811,77.1198883056641,52.8344345092773,22.3999996185303,11,11.3999996185303,16.783332824707,16.4166660308838
"3",15.6833333969116,16.283332824707,14.8833332061768,2925,493,35,63.1342315673828,1240,194,850,276,8.80000019073486,77.876106262207,55.1993560791016,21.1000003814697,9.80000019073486,11.3000001907349,15.8000001907349,15.2000007629395
"4",17.3041667938232,17.8999996185303,16.6333332061768,2911,466,34,62.4390640258789,1225,131,803,274,8.92500019073486,77.6086959838867,51.0106163024902,23,11.5,11.5,17.283332824707,17
"5",17.3041667938232,17.8999996185303,16.6333332061768,2911,466,34,62.4390640258789,1225,131,803,274,8.92500019073486,77.6086959838867,51.0106163024902,23,11.5,11.5,17.283332824707,17
"6",17.5541667938232,18.1499996185303,16.8666667938232,2983,468,62,54.9254951477051,1158,215,526,356,8.90833377838135,77.4637603759766,51.981559753418,23.2000007629395,11.6999998092651,11.5000009536743,17.5499992370605,17.216667175293
"7",17.5541667938232,18.1499996185303,16.8666667938232,2983,468,62,54.9254951477051,1158,215,526,356,8.90833377838135,77.4637603759766,51.981559753418,23.2000007629395,11.6999998092651,11.5000009536743,17.5499992370605,17.216667175293
"8",17.3041667938232,17.8999996185303,16.6333332061768,2911,466,34,62.4390640258789,1225,131,803,274,8.92500019073486,77.6086959838867,51.0106163024902,23,11.5,11.5,17.283332824707,17
"9",17.5541667938232,18.1499996185303,16.8666667938232,2983,468,62,54.9254951477051,1158,215,526,356,8.90833377838135,77.4637603759766,51.981559753418,23.2000007629395,11.6999998092651,11.5000009536743,17.5499992370605,17.216667175293
"10",17.3041667938232,17.8999996185303,16.6333332061768,2911,466,34,62.4390640258789,1225,131,803,274,8.92500019073486,77.6086959838867,51.0106163024902,23,11.5,11.5,17.283332824707,17
"11",17.6666660308838,18.2666664123535,17,3099,486,66,56.2271499633789,1286,222,805,360,8.85000038146973,78.3185806274414,50.7817611694336,23.2000007629395,11.8999996185303,11.3000011444092,17.6666660308838,17.3166675567627
"12",16.7625007629395,17.3666667938232,16.0499992370605,2897,537,14,75.1054611206055,1352,58,864,147,8.79166698455811,77.1198883056641,52.8344345092773,22.3999996185303,11,11.3999996185303,16.783332824707,16.4166660308838
"13",16.7625007629395,17.3666667938232,16.0499992370605,2897,537,14,75.1054611206055,1352,58,864,147,8.79166698455811,77.1198883056641,52.8344345092773,22.3999996185303,11,11.3999996185303,16.783332824707,16.4166660308838
"14",15.6833333969116,16.283332824707,14.8833332061768,2925,493,35,63.1342315673828,1240,194,850,276,8.80000019073486,77.876106262207,55.1993560791016,21.1000003814697,9.80000019073486,11.3000001907349,15.8000001907349,15.2000007629395
"15",17.3041667938232,17.8999996185303,16.6333332061768,2911,466,34,62.4390640258789,1225,131,803,274,8.92500019073486,77.6086959838867,51.0106163024902,23,11.5,11.5,17.283332824707,17
"16",17.3041667938232,17.8999996185303,16.6333332061768,2911,466,34,62.4390640258789,1225,131,803,274,8.92500019073486,77.6086959838867,51.0106163024902,23,11.5,11.5,17.283332824707,17
"17",17.5541667938232,18.1499996185303,16.8666667938232,2983,468,62,54.9254951477051,1158,215,526,356,8.90833377838135,77.4637603759766,51.981559753418,23.2000007629395,11.6999998092651,11.5000009536743,17.5499992370605,17.216667175293
"18",17.5541667938232,18.1499996185303,16.8666667938232,2983,468,62,54.9254951477051,1158,215,526,356,8.90833377838135,77.4637603759766,51.981559753418,23.2000007629395,11.6999998092651,11.5000009536743,17.5499992370605,17.216667175293
"19",17.3041667938232,17.8999996185303,16.6333332061768,2911,466,34,62.4390640258789,1225,131,803,274,8.92500019073486,77.6086959838867,51.0106163024902,23,11.5,11.5,17.283332824707,17
"20",17.5541667938232,18.1499996185303,16.8666667938232,2983,468,62,54.9254951477051,1158,215,526,356,8.90833377838135,77.4637603759766,51.981559753418,23.2000007629395,11.6999998092651,11.5000009536743,17.5499992370605,17.216667175293
"21",17.3041667938232,17.8999996185303,16.6333332061768,2911,466,34,62.4390640258789,1225,131,803,274,8.92500019073486,77.6086959838867,51.0106163024902,23,11.5,11.5,17.283332824707,17
"22",17.6666660308838,18.2666664123535,17,3099,486,66,56.2271499633789,1286,222,805,360,8.85000038146973,78.3185806274414,50.7817611694336,23.2000007629395,11.8999996185303,11.3000011444092,17.6666660308838,17.3166675567627
