"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",22.3541660308838,23.4166660308838,21.0666675567627,1781,307,56,50.0245208740234,682,209,468,246,8.69166660308838,73.6581954956055,97.1282577514648,28,16.2000007629395,11.7999992370605,22.9333324432373,21.1000003814697
"2",23.8333339691162,24.9166660308838,22.6000003814697,1628,256,60,44.0809364318848,643,214,428,269,8.33333301544189,74.4047546386719,96.1847839355469,29.2000007629395,18,11.2000007629395,24.2999992370605,23
"3",23.966667175293,25.1499996185303,22.5666656494141,1595,220,79,31.139684677124,550,272,358,282,8.51666641235352,72.7920150756836,106.628776550293,29.7000007629395,18,11.7000007629395,24.5499992370605,23.0166664123535
"4",25.5,26.7333335876465,24.0833339691162,1306,184,61,35.1464157104492,490,233,252,258,8.14999961853027,71.4912185668945,109.378410339355,31.2000007629395,19.7999992370605,11.4000015258789,25.3666667938232,24.5166664123535
"5",25.7458324432373,27,24.3666667938232,1409,231,60,47.8175010681152,599,216,216,306,7.80833339691162,70.9848480224609,108.950729370117,31.2999992370605,20.2999992370605,11,24.8500003814697,26.9166660308838
"6",25.6791667938232,26.9833335876465,24.2333335876465,2312,312,87,37.2289657592773,858,298,579,534,6.90833282470703,67.0711975097656,112.643005371094,31,20.7000007629395,10.2999992370605,25.3333339691162,24.8166656494141
"7",26.6041660308838,27.7000007629395,25.3999996185303,1127,162,47,44.8865966796875,465,150,260,157,8.40833282470703,74.4100341796875,94.278564453125,31.8999996185303,20.6000003814697,11.2999992370605,27,25.7666664123535
"8",28.283332824707,29.6000003814697,26.8999996185303,1391,192,41,49.8159561157227,513,140,511,150,8.36666679382324,72.1264419555664,110.006881713867,34.0999984741211,22.5,11.5999984741211,29.3333339691162,27.0499992370605
"9",27.8666667938232,29.0666656494141,26.5166664123535,1543,218,51,46.197437286377,563,172,517,178,9.16666698455811,74.5257415771484,103.952209472656,33.7000007629395,21.3999996185303,12.3000011444092,28.6833343505859,26.6666660308838
"10",27.8041667938232,29.033332824707,26.4333343505859,1530,214,55,45.4939880371094,555,173,508,182,8.97500038146973,74.1735610961914,106.097259521484,33.5999984741211,21.5,12.0999984741211,28.6666679382324,26.5833339691162
