"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",15.3625001907349,16.9500007629395,13.4499998092651,2110,315,59,49.9770545959473,774,215,659,215,8.14166641235352,64.1076126098633,145.307266235352,21.2999992370605,8.60000038146973,12.6999988555908,16.75,13.4499998092651
"2",20.0375003814697,22.2999992370605,17.2999992370605,1584,238,17,68.027458190918,653,85,622,85,8.65833377838135,59.712646484375,207.223251342773,26.7999992370605,12.3000001907349,14.4999990463257,21.7999992370605,17.2999992370605
"3",21.4750003814697,23.2666664123535,19.4500007629395,1675,261,60,49.0699234008789,629,185,500,192,7.69999980926514,61.5999946594238,156.909057617188,27.2000007629395,14.6999998092651,12.5000009536743,22.8999996185303,19.5666675567627
"4",20.6916675567627,22.9166660308838,17.966667175293,1575,237,23,66.1568756103516,645,100,610,100,8.61666679382324,60.2564125061035,205.225296020508,27.3999996185303,13.1000003814697,14.2999992370605,22.4500007629395,17.966667175293
"5",21.1208324432373,23.2999992370605,18.466667175293,1510,231,16,68.8310928344727,622,78,599,78,8.84166622161865,61.400463104248,200.753784179688,27.7999992370605,13.3999996185303,14.3999996185303,22.8166656494141,18.466667175293
"6",22.3541660308838,24.0499992370605,20.4833335876465,1580,244,45,53.058952331543,606,152,489,152,7.95833349227905,63.6666679382324,147.532073974609,28.1000003814697,15.6000003814697,12.5,23.6833343505859,20.4833335876465
"7",20.9791660308838,23.25,18.2000007629395,1563,236,25,65.7971725463867,640,102,603,102,8.65833282470703,59.712646484375,209.517379760742,27.7999992370605,13.3000001907349,14.4999990463257,22.783332824707,18.2000007629395
"8",23.1041660308838,24.8999996185303,21.0666675567627,1522,239,46,51.714599609375,581,152,465,152,7.74166679382324,61.9333343505859,157.645416259766,28.7999992370605,16.2999992370605,12.5,24.5166664123535,21.0666675567627
"9",23.2583332061768,25.5666656494141,20.3999996185303,1588,220,57,51.6162643432617,620,190,614,190,9.58333396911621,62.2294387817383,214.484924316406,30.3999996185303,15,15.3999996185303,25.533332824707,20.3999996185303
"10",23.3708324432373,25.8333320617676,20.466667175293,1596,218,70,43.9740447998047,593,221,574,223,8.54166698455811,58.504566192627,222.97021484375,30.5,15.8999996185303,14.6000003814697,25.7999992370605,20.6833343505859
