"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",11.5708332061768,12.8999996185303,9.91666698455811,1680,259,35,56.7859230041504,663,128,561,128,10.125,72.8417282104492,123.646461486816,17.7999992370605,3.90000009536743,13.8999996185303,12.8333330154419,9.91666698455811
"2",12.0375003814697,13.3999996185303,10.3166666030884,1645,253,35,55.6966590881348,641,130,541,130,10.0416669845581,72.2422103881836,127.102760314941,18.2999992370605,4.40000009536743,13.8999996185303,13.3166666030884,10.3166666030884
"3",12.7166662216187,14.0833339691162,10.9833335876465,1568,243,31,56.4449119567871,614,119,521,119,10.1833333969116,72.2222213745117,127.213752746582,19.1000003814697,5,14.1000003814697,13.9833335876465,10.9833335876465
"4",13.4791669845581,14.8666667938232,11.7166662216187,1521,235,35,54.3803443908691,587,130,500,130,10.2083330154419,72.399528503418,129.306854248047,19.8999996185303,5.80000019073486,14.0999994277954,14.7666664123535,11.7166662216187
"5",13.9416666030884,15.3500003814697,12.1666660308838,1479,230,32,54.6197242736816,571,126,489,126,10.3166666030884,72.6525802612305,130.049530029297,20.3999996185303,6.19999980926514,14.1999998092651,15.2333335876465,12.1666660308838
"6",14.2666664123535,15.6666669845581,12.4499998092651,1451,226,33,53.8435821533203,556,129,477,129,10.2666664123535,72.3004684448242,131.725158691406,20.7000007629395,6.5,14.2000007629395,15.5500001907349,12.4499998092651
"7",14.2916669845581,15.6833333969116,12.5500001907349,1471,222,45,50.2852592468262,555,151,481,154,10.1333332061768,72.3809509277344,128.484756469727,20.7000007629395,6.69999980926514,14.0000009536743,15.5833339691162,12.716667175293
"8",15.6208333969116,17,13.8500003814697,1422,216,47,46.3517570495605,511,152,446,176,10.2749996185303,72.8723373413086,130.217620849609,22.1000003814697,8,14.1000003814697,16.9333343505859,14.0333337783813
"9",15.1833333969116,16.6000003814697,13.3333330154419,1371,216,31,54.1235008239746,525,122,455,122,10.5833330154419,72.4885864257812,133.677597045898,21.7999992370605,7.19999980926514,14.5999994277954,16.4833335876465,13.5833330154419
"10",14.5541667938232,15.966667175293,12.7833337783813,1404,216,37,53.3574142456055,541,129,471,129,10.0083332061768,72.0024032592773,130.060440063477,20.8999996185303,7,13.8999996185303,15.8333330154419,12.7833337783813
"11",15.3249998092651,16.7333335876465,13.4833335876465,1347,213,29,54.3812637329102,516,118,448,119,10.4499998092651,72.5694427490234,133.459228515625,21.8999996185303,7.5,14.3999996185303,16.6166667938232,13.7166662216187
"12",15.4958333969116,16.9166660308838,13.6500005722046,1338,212,30,54.1174697875977,511,118,445,121,10.7083330154419,72.3535995483398,133.917510986328,22.2000007629395,7.40000009536743,14.8000011444092,16.783332824707,13.8666667938232
"13",16.6708335876465,17.8166656494141,15.1999998092651,1567,233,38,53.1186752319336,603,138,493,138,10.2583332061768,74.3357543945312,107.607398986816,22.8999996185303,9.10000038146973,13.7999992370605,17.75,15.1999998092651
"14",16.5166664123535,17.9166660308838,14.6666669845581,1256,201,31,53.3892021179199,474,113,417,120,10.9666662216187,73.1111145019531,132.464981079102,23.2999992370605,8.30000019073486,14.9999990463257,17.783332824707,14.9333333969116
"15",16.9375,18.3833332061768,15.0500001907349,1286,199,41,45.4072494506836,450,142,396,169,10.375,71.5517272949219,137.181442260742,23.6000003814697,9.10000038146973,14.5,18.2666664123535,15.2666664123535
"16",17.5666675567627,18.8999996185303,15.8333330154419,1293,193,47,42.4242820739746,444,154,399,185,10.0666666030884,72.9468612670898,126.730453491211,24,10.1999998092651,13.8000001907349,18.8166656494141,16.0166664123535
"17",17.4916667938232,18.8666667938232,15.75,1357,203,50,40.667179107666,454,167,403,203,10.1000003814697,72.6618728637695,129.418869018555,24,10.1000003814697,13.8999996185303,18.7999992370605,15.9166669845581
"18",18.2875003814697,19.716667175293,16.3999996185303,1142,183,36,47.6624031066895,401,121,359,144,10.9416666030884,72.4613647460938,135.665451049805,25.2000007629395,10.1000003814697,15.1000003814697,19.6000003814697,16.6666660308838
"19",18.6208324432373,20.0833320617676,16.716667175293,1283,193,49,39.6549911499023,419,162,376,198,10.375,72.0486145019531,138.882858276367,25.2999992370605,10.8999996185303,14.3999996185303,19.966667175293,16.966667175293
"20",18.9333343505859,20.3666667938232,17.033332824707,1162,182,40,44.5433158874512,396,132,356,156,11.0333337783813,72.5877227783203,136.886352539062,25.8999996185303,10.6999998092651,15.1999998092651,20.25,17.3000011444092
"21",19.158332824707,20.6166667938232,17.25,1242,189,46,40.7416915893555,409,154,368,181,10.75,72.6351318359375,138.594116210938,26,11.1999998092651,14.8000001907349,20.4833335876465,17.5166664123535
"22",20.2291660308838,21.6499996185303,18.3833332061768,1333,190,55,34.8390998840332,419,185,383,217,10.3916664123535,72.1643524169922,134.729675292969,27,12.6000003814697,14.3999996185303,21.533332824707,18.6499996185303
"23",20.5791664123535,21.966667175293,18.75,1288,179,47,37.994930267334,429,165,399,182,10.625,73.2758636474609,131.675537109375,27.2999992370605,12.8000001907349,14.4999990463257,21.8166656494141,19.0166664123535
