"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",20.9291667938232,22.6000003814697,19.033332824707,1708,282,66,48.1062774658203,638,205,487,217,7.60833358764648,62.3633842468262,146.775314331055,26.6000003814697,14.3999996185303,12.2000007629395,22.283332824707,19.1666660308838
"2",20.8208332061768,22.6000003814697,18.7666664123535,1678,254,53,51.6885070800781,638,171,518,171,7.625,61.4919357299805,158.307220458984,26.5,14.1000003814697,12.3999996185303,22.25,18.7666664123535
"3",22.8083324432373,24.7000007629395,20.6333332061768,1535,231,46,52.603385925293,560,149,497,149,7.78333330154419,61.2860946655273,167.112274169922,28.7999992370605,16.1000003814697,12.6999988555908,24.2999992370605,20.6333332061768
"4",22.6458339691162,24.3500003814697,20.716667175293,1579,253,68,38.8023109436035,557,239,381,314,7.32500028610229,62.0762672424316,149.825042724609,28.2000007629395,16.3999996185303,11.8000011444092,23.25,21.3999996185303
"5",22.4541664123535,24.3666667938232,20.2666664123535,1498,239,38,57.1139259338379,586,116,513,116,8.32499980926514,62.1268653869629,167.243133544922,28.8999996185303,15.5,13.3999996185303,23.783332824707,20.2666664123535
"6",25.0666656494141,26.7666664123535,23.1666660308838,1238,211,23,62.7044868469238,506,81,365,81,8.35000038146973,65.2343826293945,147.268035888672,31,18.2000007629395,12.7999992370605,26.3500003814697,23.1666660308838
"7",25.4375,27.1499996185303,23.5666656494141,1526,238,61,40.9831695556641,533,204,392,231,8.49166679382324,65.3205108642578,147.665542602539,31.2999992370605,18.2999992370605,13,25.966667175293,23.6999988555908
"8",25.1458339691162,27.216667175293,22.6166667938232,1466,228,24,66.7246627807617,615,91,560,91,10.0249996185303,65.0973968505859,185.110046386719,32.2000007629395,16.7999992370605,15.4000015258789,26.6666660308838,22.6166667938232
"9",24.8708324432373,27.1166667938232,22.2333335876465,1422,204,34,59.2070693969727,553,119,477,119,8.94166660308838,62.0949096679688,197.282196044922,31.7999992370605,17.3999996185303,14.3999996185303,26.6000003814697,22.2333335876465
"10",26.2749996185303,28.0833339691162,24.0166664123535,1233,188,20,67.7859878540039,534,68,490,68,9.33333301544189,65.26806640625,163.616790771484,32.7999992370605,18.5,14.2999992370605,27.6000003814697,24.0166664123535
