"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",28.0125007629395,29.3333339691162,27.033332824707,1589,331,3,96.7982940673828,827,12,255,360,10.5083332061768,74.5271835327148,94.0291290283203,35.5,21.3999996185303,14.1000003814697,27.4500007629395,28.2999992370605
"2",28.0125007629395,29.3333339691162,27.033332824707,1589,331,3,96.7982940673828,827,12,255,360,10.5083332061768,74.5271835327148,94.0291290283203,35.5,21.3999996185303,14.1000003814697,27.4500007629395,28.2999992370605
"3",28.0125007629395,29.3333339691162,27.033332824707,1589,331,3,96.7982940673828,827,12,255,360,10.5083332061768,74.5271835327148,94.0291290283203,35.5,21.3999996185303,14.1000003814697,27.4500007629395,28.2999992370605
"4",23.1375007629395,24.1166667938232,22.0166664123535,1500,316,7,90.9754333496094,736,33,269,79,10.8416662216187,72.7628631591797,83.3155364990234,30.8999996185303,16,14.8999996185303,23.216667175293,22.2000007629395
"5",22.591667175293,23.5499992370605,21.4166679382324,1506,326,6,92.8567047119141,739,25,275,71,10.7666664123535,72.7477493286133,85.7807235717773,30.2999992370605,15.5,14.7999992370605,22.75,21.5666675567627
"6",21.529167175293,23.3833332061768,19.3166656494141,1212,196,21,63.3879737854004,496,84,361,163,10.6916666030884,66.8229217529297,165.864929199219,29.7999992370605,13.8000001907349,15.9999990463257,22.0166664123535,20.3166656494141
"7",21.529167175293,23.3833332061768,19.3166656494141,1212,196,21,63.3879737854004,496,84,361,163,10.6916666030884,66.8229217529297,165.864929199219,29.7999992370605,13.8000001907349,15.9999990463257,22.0166664123535,20.3166656494141
"8",21.3166675567627,23.2000007629395,19.1333332061768,1221,195,21,61.9407043457031,496,87,361,175,10.8333330154419,66.4621734619141,163.961364746094,29.7999992370605,13.5,16.2999992370605,21.7333335876465,20.1499996185303
"9",22.0833339691162,23.7666664123535,20,1187,167,27,48.5124588012695,440,107,293,183,9.78333377838135,68.4149169921875,155.582977294922,29.5,15.1999998092651,14.3000001907349,22.6499996185303,22.1000003814697
"10",23.7916660308838,25.5,21.5166664123535,1238,158,41,40.153076171875,461,143,258,258,9.14999961853027,65.8273315429688,166.061782836914,30.7000007629395,16.7999992370605,13.9000015258789,23.6666660308838,23.6000003814697
"11",20.5666675567627,22.3500003814697,18.283332824707,1328,177,30,47.0443153381348,501,115,324,214,9,64.7481994628906,167.146255493164,27.5,13.6000003814697,13.8999996185303,20.3999996185303,20.4833335876465
"12",20.5666675567627,22.3500003814697,18.283332824707,1328,177,30,47.0443153381348,501,115,324,214,9,64.7481994628906,167.146255493164,27.5,13.6000003814697,13.8999996185303,20.3999996185303,20.4833335876465
"13",22.2541675567627,23.9333343505859,20.0666675567627,1258,168,38,43.258358001709,477,132,288,220,8.72500038146973,65.6015090942383,159.423080444336,28.8999996185303,15.6000003814697,13.2999992370605,22.1166667938232,22.1333332061768
