"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",15.3625001907349,16.9500007629395,13.4499998092651,2110,315,59,49.9770545959473,774,215,659,215,8.14166641235352,64.1076126098633,145.307266235352,21.2999992370605,8.60000038146973,12.6999988555908,16.75,13.4499998092651
"2",20.9791660308838,23.25,18.2000007629395,1563,236,25,65.7971725463867,640,102,603,102,8.65833282470703,59.712646484375,209.517379760742,27.7999992370605,13.3000001907349,14.4999990463257,22.783332824707,18.2000007629395
"3",23.3708324432373,25.8333320617676,20.466667175293,1596,218,70,43.9740447998047,593,221,574,223,8.54166698455811,58.504566192627,222.97021484375,30.5,15.8999996185303,14.6000003814697,25.7999992370605,20.6833343505859
"4",24.1666660308838,25.9500007629395,22.1666660308838,1388,209,34,55.2385292053223,532,120,430,120,7.80000019073486,62.4000015258789,154.071029663086,29.8999996185303,17.3999996185303,12.5,25.5499992370605,22.1666660308838
"5",24.4874992370605,26.8500003814697,21.6333332061768,1423,207,49,49.1403884887695,527,170,517,170,9.50833320617676,61.7424201965332,217.49739074707,31.7000007629395,16.2999992370605,15.4000015258789,26.4333343505859,21.6333332061768
"6",25.1458339691162,27.216667175293,22.6166667938232,1466,228,24,66.7246627807617,615,91,560,91,10.0249996185303,65.0973968505859,185.110046386719,32.2000007629395,16.7999992370605,15.4000015258789,26.6666660308838,22.6166667938232
"7",25.6749992370605,27.6333332061768,23.4833335876465,1192,199,22,61.2543525695801,492,75,414,75,9.53333282470703,64.414421081543,165.742126464844,32.5999984741211,17.7999992370605,14.7999992370605,26.966667175293,23.4833335876465
"8",25.8708343505859,27.9333343505859,23.3166656494141,1237,197,18,69.7846145629883,516,66,474,66,10.0416660308838,65.2056198120117,185.930816650391,32.9000015258789,17.5,15.4000015258789,27.3833332061768,23.3166656494141
"9",25.8583335876465,27.9166660308838,23.283332824707,1233,197,17,70.0904006958008,513,67,471,67,10.2333335876465,65.1804656982422,186.7890625,33,17.2999992370605,15.7000007629395,27.3999996185303,23.283332824707
"10",24.8083324432373,27.0833320617676,21.9500007629395,1473,217,41,55.4432792663574,568,157,568,157,10.1166667938232,64.029541015625,211.647567749023,32,16.2000007629395,15.7999992370605,27.0833320617676,21.9500007629395
"11",24.841667175293,27.0833320617676,22.0166664123535,1459,219,38,55.8793601989746,564,155,562,155,10.1833333969116,64.4514770507812,209.27180480957,32,16.2000007629395,15.7999992370605,26.75,22.0166664123535
"12",24.8041667938232,27.0666656494141,21.9333343505859,1449,218,36,56.5702056884766,563,149,560,149,10.1416664123535,63.784065246582,211.514633178711,32,16.1000003814697,15.8999996185303,26.716667175293,21.9333343505859
