"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",24.7708339691162,25.6833324432373,23.8999996185303,2289,481,18,97.7592315673828,1339,74,1339,74,8.57499980926514,79.3981552124023,74.9987258911133,30.5,19.7000007629395,10.7999992370605,25.6833324432373,23.8999996185303
"2",24.2749996185303,25.25,23.4333324432373,2612,518,35,89.0504913330078,1456,124,1456,124,8.31666660308838,77.7258529663086,77.092041015625,30,19.2999992370605,10.7000007629395,25.25,23.4333324432373
"3",24.2416667938232,25.216667175293,23.4166660308838,2620,515,38,88.1790237426758,1451,130,1451,130,8.25,77.8301849365234,76.4803466796875,29.8999996185303,19.2999992370605,10.6000003814697,25.216667175293,23.4166660308838
"4",19.3250007629395,19.7999992370605,19.0166664123535,2399,404,49,71.0803680419922,1157,179,1018,378,8.56666660308838,90.1754379272461,32.0156135559082,24.1000003814697,14.6000003814697,9.5,19.6833343505859,19.2000007629395
"5",21.654167175293,22.4500007629395,21.1499996185303,2685,481,45,80.0575485229492,1385,165,1205,220,8.0583324432373,82.2278900146484,54.9569282531738,26.7999992370605,17,9.79999923706055,22.3500003814697,21.2333335876465
"6",22.3291664123535,23.1666660308838,21.7666664123535,2671,484,52,79.1258163452148,1405,191,1209,216,8.25833320617676,80.9640502929688,60.6576881408691,27.7000007629395,17.5,10.2000007629395,23.1166667938232,21.8166675567627
"7",24.6166667938232,25.3333339691162,23.9333343505859,2573,487,51,76.2424697875977,1300,181,1159,195,7.96666622161865,80.4713821411133,64.2202453613281,29.7999992370605,19.8999996185303,9.89999961853027,25.3333320617676,23.9833335876465
"8",26.0125007629395,26.3666667938232,25.6666660308838,5913,740,284,31.0654182434082,2073,1017,1422,1862,7.375,91.0493774414062,28.5342864990234,30.2000007629395,22.1000003814697,8.10000038146973,25.7000007629395,26.2333335876465
"9",26.1708335876465,26.533332824707,25.9166660308838,5129,630,290,19.7657032012939,1553,1055,1337,1232,7.64166688919067,88.8565826416016,25.267520904541,30.7000007629395,22.1000003814697,8.60000038146973,26.1666679382324,26.5166664123535
"10",25.720832824707,26.1666660308838,25.4333324432373,2497,313,87,39.7326736450195,919,340,890,457,8.07499980926514,88.7362594604492,32.1543502807617,30.5,21.3999996185303,9.10000038146973,26.0166664123535,25.4333324432373
"11",25.7041664123535,26.1499996185303,25.4166660308838,2530,318,103,35.0638465881348,899,378,886,499,8.22500038146973,88.4408493041992,31.4395809173584,30.6000003814697,21.2999992370605,9.30000114440918,25.966667175293,25.4500007629395
"12",25.3250007629395,25.7666664123535,25.0499992370605,2467,291,121,29.5799007415771,828,400,825,507,8.36666679382324,89.0070953369141,31.2976875305176,30.2999992370605,20.8999996185303,9.39999961853027,25.5833339691162,25.1166667938232
"13",24.720832824707,25.1499996185303,24.466667175293,2528,297,129,27.758638381958,836,430,832,518,8.57500076293945,88.4020767211914,30.4106903076172,29.7999992370605,20.1000003814697,9.69999885559082,24.9833335876465,24.5166664123535
"14",23.779167175293,24.2333335876465,23.5166664123535,2604,312,144,26.5320663452148,845,463,839,517,8.85833358764648,87.7062683105469,31.2946605682373,29,18.8999996185303,10.1000003814697,24.1000003814697,23.5166664123535
"15",22.6958332061768,23.1499996185303,22.3999996185303,2420,286,138,29.2769870758057,799,430,799,461,8.70833301544189,88.8605499267578,32.2249374389648,27.7999992370605,18,9.79999923706055,23.1499996185303,22.3999996185303
"16",22.3541660308838,22.716667175293,22.0666656494141,2085,232,79,26.3098850250244,659,358,659,475,8.50833320617676,91.4874496459961,27.2578964233398,27.1000003814697,17.7999992370605,9.30000114440918,22.716667175293,22.283332824707
"17",22.095832824707,22.466667175293,21.8166656494141,2031,225,74,27.6264781951904,641,324,641,490,8.59166622161865,91.4007110595703,26.3247585296631,26.8999996185303,17.5,9.39999961853027,22.466667175293,22.0166664123535
"18",25.841667175293,26.2333335876465,25.5833320617676,1921,267,48,49.6915626525879,750,210,735,312,7.44999980926514,88.6904754638672,27.2057476043701,30.1000003814697,21.7000007629395,8.39999961853027,26.1833343505859,25.6166667938232
"19",25.3041667938232,26.0833339691162,24.6333332061768,1641,250,41,65.0904693603516,745,155,728,167,7.35833311080933,79.1218643188477,59.827709197998,30,20.7000007629395,9.29999923706055,25.8666667938232,24.6666679382324
"20",23.720832824707,24.4333343505859,23.1499996185303,1858,335,37,76.8363876342773,937,126,803,128,7.69166660308838,80.9649124145508,53.1916885375977,28.6000003814697,19.1000003814697,9.5,24.0833339691162,23.2000007629395
"21",24.1666660308838,24.9500007629395,23.4833335876465,2783,536,41,85.9597702026367,1506,150,1506,156,8.05000019073486,79.7029647827148,66.6515045166016,29.5,19.3999996185303,10.1000003814697,24.9500007629395,23.5499992370605
"22",23.7416667938232,24.4833335876465,23.1333332061768,2540,472,47,78.0052490234375,1299,173,1162,178,7.91666698455811,80.7823257446289,60.295970916748,28.8999996185303,19.1000003814697,9.79999923706055,24.4499988555908,23.1666660308838
"23",24.7083339691162,25.4333324432373,24.033332824707,2571,483,52,75.7307281494141,1299,186,1299,199,7.98333311080933,80.6397323608398,64.3086700439453,29.8999996185303,20,9.89999961853027,25.4333324432373,24.0833339691162
"24",22.2916660308838,22.8500003814697,21.9166660308838,1469,248,26,66.8646545410156,677,115,641,181,8.13333415985107,87.455192565918,38.837272644043,27.2000007629395,17.8999996185303,9.30000114440918,22.75,22.0166664123535
"25",20.3250007629395,20.8833332061768,19.9833335876465,2156,388,33,80.0253982543945,1111,126,952,309,8.48333358764648,86.5646286010742,38.2277755737305,25.2999992370605,15.5,9.79999923706055,20.783332824707,20.1166667938232
"26",20.7666664123535,21.3666667938232,20.3999996185303,2174,402,27,83.1499404907227,1146,114,974,176,8.4333324432373,86.0544204711914,41.028434753418,25.7999992370605,16,9.79999923706055,21.283332824707,20.5
