"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",22.7000007629395,23.2666664123535,22.0833339691162,3663,624,36,74.1464538574219,1610,134,720,134,11.6499996185303,82.6241149902344,48.5704727172852,29.5,15.3999996185303,14.1000003814697,22.7000007629395,22.0833339691162
"2",20.5208339691162,21,19.9333324432373,3601,646,45,74.2288436889648,1618,146,1166,146,11.625,83.0357131958008,42.9300918579102,27.1000003814697,13.1000003814697,14,20.5499992370605,19.9333324432373
"3",17.7625007629395,18.4333343505859,16.7666664123535,2099,402,20,81.0013961791992,968,82,841,82,11.875,79.6979827880859,68.7593078613281,24.7000007629395,9.80000019073486,14.9000005722046,18.0499992370605,16.7666664123535
"4",20.5208339691162,21,19.9333324432373,3601,646,45,74.2288436889648,1618,146,1166,146,11.625,83.0357131958008,42.9300918579102,27.1000003814697,13.1000003814697,14,20.5499992370605,19.9333324432373
"5",19.8666667938232,20.3833332061768,19.1833343505859,3314,595,44,73.9429321289062,1488,147,1064,147,11.6166667938232,82.3877029418945,48.7261962890625,26.5,12.3999996185303,14.1000003814697,19.9333324432373,19.1833343505859
"6",19.8666667938232,20.3833332061768,19.1833343505859,3314,595,44,73.9429321289062,1488,147,1064,147,11.6166667938232,82.3877029418945,48.7261962890625,26.5,12.3999996185303,14.1000003814697,19.9333324432373,19.1833343505859
"7",19.8666667938232,20.3833332061768,19.1833343505859,3314,595,44,73.9429321289062,1488,147,1064,147,11.6166667938232,82.3877029418945,48.7261962890625,26.5,12.3999996185303,14.1000003814697,19.9333324432373,19.1833343505859
"8",16.3250007629395,17.1333332061768,15.1666669845581,1778,346,17,82.9473419189453,826,70,722,70,12,78.4313735961914,80.2411117553711,23.2999992370605,8,15.2999992370605,16.716667175293,15.1666669845581
"9",19.8666667938232,20.3833332061768,19.1833343505859,3314,595,44,73.9429321289062,1488,147,1064,147,11.6166667938232,82.3877029418945,48.7261962890625,26.5,12.3999996185303,14.1000003814697,19.9333324432373,19.1833343505859
"10",19.033332824707,19.6166667938232,18.216667175293,2769,505,38,75.1478576660156,1249,131,881,131,11.6999998092651,80.6896591186523,57.2209968566895,25.7999992370605,11.3000001907349,14.4999990463257,19.2000007629395,18.216667175293
"11",18.5125007629395,19.1666660308838,17.6166667938232,1963,386,10,86.4900054931641,934,49,629,49,11.6750001907349,80.5172500610352,63.3936004638672,25.2999992370605,10.8000001907349,14.4999990463257,18.7333335876465,17.6166667938232
"12",25.2083339691162,26.1666679382324,24.2000007629395,2460,506,5,92.4795761108398,1296,32,763,32,12.1499996185303,77.8846206665039,77.2785263061523,32.7999992370605,17.2000007629395,15.5999984741211,25.3500003814697,24.2000007629395
"13",25.0625,25.9833335876465,24.1166667938232,2422,502,5,93.0119857788086,1281,30,757,30,12.158332824707,78.4408721923828,73.6121139526367,32.5999984741211,17.1000003814697,15.4999980926514,25.1666660308838,24.1166667938232
"14",25.0625,25.9833335876465,24.1166667938232,2422,502,5,93.0119857788086,1281,30,757,30,12.158332824707,78.4408721923828,73.6121139526367,32.5999984741211,17.1000003814697,15.4999980926514,25.1666660308838,24.1166667938232
"15",26.7583332061768,27.7666664123535,25.7999992370605,2363,491,4,95.8467178344727,1279,22,308,22,12.5500001907349,76.5243911743164,79.0808868408203,34.7999992370605,18.3999996185303,16.3999996185303,26.7666664123535,25.7999992370605
"16",26.716667175293,27.7666664123535,25.6000003814697,2320,485,4,96.8621826171875,1268,20,681,20,12.2166662216187,75.8799133300781,85.9528045654297,34.5,18.3999996185303,16.1000003814697,26.8333339691162,25.6000003814697
"17",22.4333343505859,23.3166675567627,21.4333343505859,2480,493,8,92.2824935913086,1303,34,738,34,11.8333330154419,78.8888854980469,74.0495300292969,29.7000007629395,14.6999998092651,15.0000009536743,22.7000007629395,21.4333343505859
"18",23.5874996185303,24.5,22.6000003814697,2475,504,5,95.1754760742188,1341,25,728,25,11.9750003814697,78.7828979492188,73.9509735107422,30.8999996185303,15.6999998092651,15.1999998092651,23.8166656494141,22.6000003814697
"19",21.9874992370605,22.8500003814697,20.9833335876465,2499,503,7,93.9712905883789,1335,31,732,31,11.7583332061768,78.9149856567383,73.2407302856445,29.1000003814697,14.1999998092651,14.9000005722046,22.283332824707,20.9833335876465
"20",20.5125007629395,21.25,19.6499996185303,2050,424,4,96.3965225219727,1097,20,618,20,11.7583332061768,79.9886627197266,62.8173789978027,27.5,12.8000001907349,14.6999998092651,20.7999992370605,19.6499996185303
"21",21.4375,22.2666664123535,20.4833335876465,2385,485,6,95.0362548828125,1278,27,700,27,11.7583332061768,79.4481964111328,69.8740844726562,28.5,13.6999998092651,14.8000001907349,21.75,20.4833335876465
"22",22.6041660308838,23.5666656494141,21.4833335876465,2540,513,6,95.6455230712891,1385,28,726,28,11.9416666030884,78.0501098632812,81.5881652832031,29.8999996185303,14.6000003814697,15.2999992370605,22.9333343505859,21.4833335876465
"23",18.3291664123535,19.533332824707,16.7666664123535,1700,342,13,91.7688293457031,873,44,503,47,12.2250003814697,74.0909118652344,113.346992492676,26.1000003814697,9.60000038146973,16.5,18.9833335876465,17.3500003814697
"24",23.8708343505859,24.966667175293,22.6333332061768,2575,530,2,100.036865234375,1467,14,727,14,12.1083335876465,76.1530380249023,90.6907424926758,31.5,15.6000003814697,15.8999996185303,24.1833343505859,22.6333332061768
"25",18.6291675567627,19.966667175293,17.1166667938232,1446,292,11,92.4941940307617,730,36,436,85,12.8083333969116,71.9569320678711,116.139770507812,27.3999996185303,9.60000038146973,17.7999992370605,19.3333339691162,17.8166675567627
"26",25.0166664123535,26.1666660308838,23.6666679382324,2494,516,1,100.933128356934,1433,11,726,11,12.0833339691162,75.0517578125,97.8480453491211,32.7000007629395,16.6000003814697,16.1000003814697,25.3666667938232,23.6666679382324
"27",19.0541667938232,20.3500003814697,17.3333339691162,1826,379,10,96.1841506958008,983,35,530,36,12.2416667938232,72.8670654296875,123.572906494141,26.8999996185303,10.1000003814697,16.7999992370605,19.783332824707,17.9333343505859
"28",20,21.3666667938232,18.2333335876465,2153,443,12,96.1221542358398,1176,41,597,41,12.2333335876465,72.386589050293,127.600227355957,27.8999996185303,11,16.8999996185303,20.716667175293,18.8833332061768
"29",19.6208324432373,20.9166660308838,17.8833332061768,1919,399,9,96.4353256225586,1042,35,543,38,12.1083335876465,72.9417724609375,123.55451965332,27.3999996185303,10.8000001907349,16.5999984741211,20.3666667938232,18.466667175293
"30",16.033332824707,17.1333332061768,14.5333337783813,1311,272,6,95.6288681030273,673,22,587,22,11.8833332061768,75.6900177001953,108.110488891602,23.2000007629395,7.5,15.7000007629395,16.8333339691162,14.5333337783813
