"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",24.091667175293,25.6666679382324,22.1000003814697,1459,356,3,111.898094177246,915,13,364,14,13.8166666030884,70.8546981811523,142.379699707031,33.2000007629395,13.6999998092651,19.5,24.8166675567627,22.7000007629395
"2",24.091667175293,25.6666679382324,22.1000003814697,1459,356,3,111.898094177246,915,13,364,14,13.8166666030884,70.8546981811523,142.379699707031,33.2000007629395,13.6999998092651,19.5,24.8166675567627,22.7000007629395
"3",23.9500007629395,25.533332824707,21.7999992370605,1422,345,3,111.485664367676,887,13,359,14,13.8833332061768,71.1965713500977,151.192230224609,32.9000015258789,13.3999996185303,19.5000019073486,24.8166656494141,22.4333324432373
"4",18.0666675567627,19.6000003814697,16.1166667938232,867,179,6,95.8748931884766,493,21,298,21,14.9000005722046,71.6346130371094,139.077056884766,28.1000003814697,7.30000019073486,20.7999992370605,18.9166660308838,16.1166667938232
"5",18.0541667938232,19.5833339691162,16.1166667938232,858,177,6,95.7846832275391,488,21,294,21,14.9083337783813,71.6746826171875,138.407485961914,28.1000003814697,7.30000019073486,20.7999992370605,18.8833332061768,16.1166667938232
"6",22.9375,24.6000003814697,21.0166664123535,1032,233,2,109.56819152832,658,12,238,23,12.6916666030884,72.523811340332,143.370529174805,31.5,14,17.5,23.5,23.1166667938232
"7",15.8416662216187,17.3666667938232,14.0500001907349,727,158,4,95.0388565063477,406,16,272,23,14.8166666030884,72.2764205932617,133.940856933594,25.7000007629395,5.19999980926514,20.5,16.6000003814697,14.0666666030884
"8",17.375,18.8666667938232,15.8000001907349,1321,260,7,101.660202026367,773,34,375,37,13.4833335876465,72.1033935546875,122.409523010254,26.8999996185303,8.19999980926514,18.7000007629395,17.716667175293,16.533332824707
"9",17.345832824707,18.8500003814697,15.716667175293,1310,258,7,102.17113494873,769,34,375,36,13.4750003814697,72.0588302612305,125.380477905273,26.7999992370605,8.10000038146973,18.6999988555908,17.716667175293,16.4833335876465
"10",22.8374996185303,24.8666667938232,20.6166667938232,885,199,2,109.632423400879,565,12,213,33,13.7083330154419,69.9404754638672,170.735397338867,32.5,12.8999996185303,19.6000003814697,23.3999996185303,23.1833343505859
"11",23.3541660308838,25.5166664123535,21.4500007629395,915,202,3,105.212066650391,560,16,263,19,14.7416667938232,69.2097015380859,160.417892456055,34.2000007629395,12.8999996185303,21.3000011444092,23.8999996185303,21.5666656494141
"12",20.25,22.1166667938232,18.1166667938232,1082,230,3,103.93920135498,668,20,264,25,12.8833332061768,69.2652282714844,159.872116088867,29.5,10.8999996185303,18.6000003814697,20.783332824707,20.6166667938232
"13",23.0666675567627,25.0333347320557,20.9333324432373,793,179,2,106.996391296387,498,12,190,16,13.9833335876465,70.6228942871094,163.392105102539,32.9000015258789,13.1000003814697,19.8000011444092,23.5499992370605,23.4166679382324
"14",23.0666675567627,25.0333347320557,20.9333324432373,793,179,2,106.996391296387,498,12,190,16,13.9833335876465,70.6228942871094,163.392105102539,32.9000015258789,13.1000003814697,19.8000011444092,23.5499992370605,23.4166679382324
"15",22.2875003814697,24,20.5,1224,254,5,108.252922058105,754,20,321,21,14.2250003814697,71.4824142456055,138.582504272461,32.2999992370605,12.3999996185303,19.8999996185303,22.6166667938232,21.3166656494141
"16",22.6833343505859,24.4333343505859,21.0166664123535,983,215,2,105.477607727051,618,15,240,41,14.1000003814697,70.8542709350586,136.853164672852,32.9000015258789,13,19.9000015258789,22.8666667938232,21.8500003814697
"17",22.529167175293,25.1333332061768,19.716667175293,1003,190,13,90.1902236938477,547,41,287,41,14.6916666030884,65.0073776245117,217.134826660156,33.5999984741211,11,22.5999984741211,23.7666664123535,19.716667175293
"18",21.6833324432373,23.466667175293,19.8500003814697,1107,231,3,103.44458770752,679,20,274,24,14.0166664123535,70.4355087280273,143.72216796875,31.7999992370605,11.8999996185303,19.8999996185303,22,20.716667175293
"19",24.8875007629395,27.8166656494141,21.8666667938232,575,116,5,95.1358642578125,326,18,175,18,14.4583330154419,63.1368255615234,236.711608886719,36.5,13.6000003814697,22.8999996185303,26.1333332061768,21.8666667938232
"20",22.9125003814697,24.6166667938232,21.25,977,212,3,105.689094543457,603,17,258,19,14.5583333969116,72.4295196533203,133.809982299805,33.2999992370605,13.1999998092651,20.0999984741211,23.1000003814697,22.0499992370605
"21",22.8500003814697,24.75,21.1499996185303,994,215,2,107.926467895508,620,16,303,17,14.3666667938232,71.8333282470703,144.348052978516,33.2000007629395,13.1999998092651,20,23.25,21.2333335876465
"22",22.9750003814697,24.9166679382324,21.2333335876465,978,212,2,107.918403625488,610,16,298,16,14.4333333969116,71.4521408081055,147.363204956055,33.4000015258789,13.1999998092651,20.2000007629395,23.3833332061768,21.2333335876465
"23",20.7958335876465,22.5833339691162,18.9833335876465,1079,227,4,103.499252319336,653,20,270,27,12.8916664123535,69.3100357055664,143.344131469727,30.3999996185303,11.8000001907349,18.5999984741211,21.0666675567627,21.283332824707
"24",21.1875,22.8833332061768,19.6166667938232,1096,230,3,103.793884277344,663,21,285,25,13.2916669845581,70.3262786865234,129.722183227539,31.1000003814697,12.1999998092651,18.9000015258789,21.283332824707,20.3833332061768
"25",21.1875,22.8833332061768,19.6166667938232,1096,230,3,103.793884277344,663,21,285,25,13.2916669845581,70.3262786865234,129.722183227539,31.1000003814697,12.1999998092651,18.9000015258789,21.283332824707,20.3833332061768
"26",26.9916667938232,28.1333332061768,25.716667175293,1046,287,1,118.44108581543,710,5,587,22,12.5833330154419,78.6458206176758,97.2539825439453,34.4000015258789,18.3999996185303,16.0000019073486,27.8166656494141,26.0166664123535
"27",27.029167175293,28.1333332061768,25.783332824707,1035,282,1,117.79093170166,698,5,579,23,12.6416664123535,78.0349807739258,94.7594604492188,34.5999984741211,18.3999996185303,16.1999988555908,27.8166656494141,26.0833339691162
"28",27.0083332061768,28.1333332061768,25.75,1038,284,1,117.671913146973,700,6,579,24,12.6499996185303,78.5714263916016,96.2438507080078,34.5,18.3999996185303,16.1000003814697,27.8166656494141,26.0833339691162
"29",26.875,28.0499992370605,25.5666656494141,1048,283,1,117.786636352539,711,5,590,23,12.6500005722046,78.0864181518555,100.690803527832,34.4000015258789,18.2000007629395,16.2000007629395,27.7333335876465,25.9333324432373
"30",24.4583339691162,26.6666660308838,22.8833332061768,1096,258,2,116.806343078613,742,8,217,26,14.4333333969116,68.7301559448242,149.405380249023,35.4000015258789,14.3999996185303,21.0000019073486,24.1666660308838,24.8333320617676
"31",27.5041656494141,28.8333320617676,26.3499984741211,658,168,2,116.338562011719,442,8,134,23,14.6083335876465,76.085075378418,97.4786224365234,37.0999984741211,17.8999996185303,19.1999988555908,27.4333324432373,27.2999992370605
"32",19.9916667938232,22.0166664123535,18.2666664123535,1160,243,3,106.698631286621,694,15,329,36,12.8000001907349,65.9793853759766,152.96809387207,30.2999992370605,10.8999996185303,19.3999996185303,20.3500003814697,19.1666660308838
