"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",18.9458332061768,19.5833339691162,18.3833332061768,2619,429,20,66.7189254760742,1130,130,447,418,8.875,77.8508758544922,49.1962013244629,24.7000007629395,13.3000001907349,11.4000005722046,18.8500003814697,18.75
"2",17.3041667938232,17.8999996185303,16.6333332061768,2911,466,34,62.4390640258789,1225,131,803,274,8.92500019073486,77.6086959838867,51.0106163024902,23,11.5,11.5,17.283332824707,17
"3",17.5541667938232,18.1499996185303,16.8666667938232,2983,468,62,54.9254951477051,1158,215,526,356,8.90833377838135,77.4637603759766,51.981559753418,23.2000007629395,11.6999998092651,11.5000009536743,17.5499992370605,17.216667175293
"4",17.5541667938232,18.1499996185303,16.8666667938232,2983,468,62,54.9254951477051,1158,215,526,356,8.90833377838135,77.4637603759766,51.981559753418,23.2000007629395,11.6999998092651,11.5000009536743,17.5499992370605,17.216667175293
"5",17.5541667938232,18.1499996185303,16.8666667938232,2983,468,62,54.9254951477051,1158,215,526,356,8.90833377838135,77.4637603759766,51.981559753418,23.2000007629395,11.6999998092651,11.5000009536743,17.5499992370605,17.216667175293
"6",17.2999992370605,17.9333343505859,16.5499992370605,2917,491,30,61.3377227783203,1262,189,730,337,8.98333358764648,77.4425277709961,58.1924781799316,23,11.3999996185303,11.6000003814697,17.283332824707,16.9500007629395
"7",17.2999992370605,17.9333343505859,16.5499992370605,2917,491,30,61.3377227783203,1262,189,730,337,8.98333358764648,77.4425277709961,58.1924781799316,23,11.3999996185303,11.6000003814697,17.283332824707,16.9500007629395
"8",20.3624992370605,21.2999992370605,19.6000003814697,2616,472,23,67.0030212402344,1138,164,479,411,9.42500019073486,77.8925552368164,67.5252532958984,26.7000007629395,14.6000003814697,12.1000003814697,20.1166667938232,20.2999992370605
"9",20.3624992370605,21.2999992370605,19.6000003814697,2616,472,23,67.0030212402344,1138,164,479,411,9.42500019073486,77.8925552368164,67.5252532958984,26.7000007629395,14.6000003814697,12.1000003814697,20.1166667938232,20.2999992370605
"10",15.5500001907349,16.1333332061768,14.716667175293,2673,551,31,69.4072036743164,1165,173,760,272,9.31666660308838,78.2913208007812,57.9968605041504,21.2999992370605,9.39999961853027,11.8999996185303,15.6666669845581,15.1000003814697
"11",16.095832824707,16.716667175293,15.216667175293,2566,450,64,56.8377304077148,1068,207,658,307,9.32499980926514,78.3613510131836,61.5134239196777,21.7999992370605,9.89999961853027,11.8999996185303,16.216667175293,15.6166667938232
"12",13.8666667938232,14.4833335876465,13.0333337783813,4040,555,110,43.1103591918945,1384,460,941,937,9.36666679382324,80.0569763183594,61.766918182373,19.6000003814697,7.90000009536743,11.7000007629395,14.4000005722046,13.9833335876465
"13",13.8666667938232,14.4833335876465,13.0333337783813,4040,555,110,43.1103591918945,1384,460,941,937,9.36666679382324,80.0569763183594,61.766918182373,19.6000003814697,7.90000009536743,11.7000007629395,14.4000005722046,13.9833335876465
"14",20.6208324432373,21.4333343505859,20.033332824707,2541,451,19,74.5436401367188,1177,71,387,751,10.1083335876465,81.5188217163086,55.8186340332031,27.2999992370605,14.8999996185303,12.3999996185303,20.3166656494141,20.716667175293
"15",19.1875,19.9333343505859,18.4166660308838,2646,461,21,66.3693161010742,1133,148,437,410,10.2583332061768,81.4153442382812,61.869556427002,25.7999992370605,13.1999998092651,12.5999994277954,19.1833324432373,19.5166664123535
"16",20.9624996185303,21.783332824707,20.2999992370605,3287,473,67,47.862865447998,1293,298,569,650,11.0083332061768,82.7694244384766,59.0502510070801,28.1000003814697,14.8000001907349,13.3000001907349,20.783332824707,20.8833332061768
"17",18.6208324432373,19.3500003814697,17.8166656494141,3467,453,154,31.1801872253418,1197,557,605,1114,9.60833358764648,81.4265441894531,62.6845741271973,24.7000007629395,12.8999996185303,11.8000011444092,18,18.8999996185303
"18",18.3875007629395,19.1000003814697,17.5833339691162,3592,470,98,36.223747253418,1182,445,685,1058,9.49166679382324,81.125358581543,62.8535423278809,24.3999996185303,12.6999998092651,11.6999998092651,18.7333335876465,18.6333332061768
