"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",26.1208324432373,26.3999996185303,25.8166656494141,4520,633,200,36.6057434082031,1553,804,1173,1553,8.40833377838135,93.4259262084961,22.9087543487549,30.7000007629395,21.7000007629395,9,25.8166656494141,26.283332824707
"2",24.3041667938232,24.5666675567627,23.9166660308838,3653,475,223,25.7707862854004,1172,714,884,1088,8.77499961853027,93.3510665893555,26.2382736206055,29.1000003814697,19.7000007629395,9.39999961853027,24.1499996185303,24.4833335876465
"3",26.1791667938232,26.466667175293,25.8999996185303,4797,666,232,31.8345108032227,1622,806,1104,1481,8.375,93.0555572509766,23.4964771270752,30.7999992370605,21.7999992370605,9,25.9833335876465,26.3500003814697
"4",26.1791667938232,26.466667175293,25.8999996185303,4797,666,232,31.8345108032227,1622,806,1104,1481,8.375,93.0555572509766,23.4964771270752,30.7999992370605,21.7999992370605,9,25.9833335876465,26.3500003814697
"5",26.25,26.5166664123535,25.9166660308838,5596,699,235,31.446704864502,1948,832,1313,1685,8.25,92.6966323852539,23.9317398071289,30.7999992370605,21.8999996185303,8.89999961853027,26,26.3833332061768
"6",26.1499996185303,26.5166664123535,25.7666664123535,6103,735,263,31.1610908508301,2062,1082,1424,1775,7.21666717529297,91.3501968383789,28.8412685394287,30.2000007629395,22.2999992370605,7.90000152587891,25.9333343505859,26.3333339691162
"7",26.2083339691162,26.533332824707,25.8166675567627,6068,668,369,16.5975914001465,1811,1242,1504,1734,8.06666660308838,92.7202987670898,27.5378475189209,30.6000003814697,21.8999996185303,8.70000076293945,26.0833339691162,26.3666667938232
"8",26.5791664123535,26.8500003814697,26.2333335876465,6810,656,499,8.2424955368042,1802,1518,1772,1739,8.44166660308838,92.7655868530273,25.6247653961182,31.2999992370605,22.2000007629395,9.09999847412109,26.3333339691162,26.4166660308838
"9",25.6875,26.0666675567627,25.3500003814697,5222,695,89,50.837459564209,1997,396,396,1917,7.85833311080933,88.2958831787109,29.3973484039307,30.3999996185303,21.5,8.89999961853027,25.3666667938232,26.0666675567627
"10",26.1333332061768,26.4833335876465,25.8166675567627,5721,741,85,46.1740989685059,2077,464,564,1922,8.21666717529297,89.3115921020508,27.9880847930908,31,21.7999992370605,9.20000076293945,25.9500007629395,26.4166679382324
"11",26,26.3666667938232,25.6666660308838,5650,716,98,43.0295829772949,1974,548,606,1778,8.25,89.6739273071289,29.4649429321289,30.8999996185303,21.7000007629395,9.19999885559082,25.8166656494141,26.2999992370605
"12",24.7124996185303,25.0666675567627,24.4166660308838,4371,560,157,41.2882118225098,1618,607,1006,1345,8.625,88.9175338745117,26.978536605835,29.8999996185303,20.2000007629395,9.69999885559082,24.4166660308838,24.6666660308838
"13",25.6833324432373,26.1333332061768,25.3500003814697,4608,567,71,45.1508140563965,1659,430,430,1594,8.76666641235352,87.6666641235352,31.9326877593994,31.1000003814697,21.1000003814697,10,25.3666667938232,26.1333332061768
"14",26.6333332061768,26.9333343505859,26.283332824707,5438,561,260,18.060131072998,1524,1091,1091,1524,9.01666736602783,90.1666717529297,26.2274360656738,31.8999996185303,21.8999996185303,10,26.283332824707,26.9333343505859
"15",24.9500007629395,25.2000007629395,24.5999984741211,2590,383,85,49.2977828979492,1110,332,644,1110,9.01666736602783,93.9236297607422,23.8365783691406,29.7999992370605,20.2000007629395,9.59999847412109,24.5999984741211,25.0166664123535
"16",25.6833324432373,26.1333332061768,25.3500003814697,4608,567,71,45.1508140563965,1659,430,430,1594,8.76666641235352,87.6666641235352,31.9326877593994,31.1000003814697,21.1000003814697,10,25.3666667938232,26.1333332061768
