"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",20.9833335876465,22.3666667938232,19.2666664123535,1238,261,4,105.451400756836,768,21,299,26,12.4499998092651,73.6686325073242,122.906707763672,29.2000007629395,12.3000001907349,16.9000015258789,21.533332824707,19.8833332061768
"2",20.529167175293,21.8833332061768,18.8166675567627,1192,246,4,100.847145080566,720,24,279,36,12.408332824707,73.8591232299805,121.980964660645,28.7000007629395,11.8999996185303,16.8000011444092,21.1000003814697,20.5666675567627
"3",20.529167175293,21.8833332061768,18.8166675567627,1192,246,4,100.847145080566,720,24,279,36,12.408332824707,73.8591232299805,121.980964660645,28.7000007629395,11.8999996185303,16.8000011444092,21.1000003814697,20.5666675567627
"4",23.875,25.466667175293,21.9833335876465,1331,299,4,110.336204528809,844,19,306,27,12.7333326339722,73.6030807495117,138.801696777344,32.2999992370605,15,17.2999992370605,24.4333343505859,23.966667175293
"5",23.875,25.466667175293,21.9833335876465,1331,299,4,110.336204528809,844,19,306,27,12.7333326339722,73.6030807495117,138.801696777344,32.2999992370605,15,17.2999992370605,24.4333343505859,23.966667175293
"6",23.875,25.466667175293,21.9833335876465,1331,299,4,110.336204528809,844,19,306,27,12.7333326339722,73.6030807495117,138.801696777344,32.2999992370605,15,17.2999992370605,24.4333343505859,23.966667175293
"7",22.5666656494141,24.216667175293,20.8333339691162,1037,227,3,107.709457397461,659,16,247,19,13.283332824707,72.1920318603516,133.473419189453,31.7999992370605,13.3999996185303,18.3999996185303,22.9333324432373,21.5833339691162
"8",22.5666656494141,24.216667175293,20.8333339691162,1037,227,3,107.709457397461,659,16,247,19,13.283332824707,72.1920318603516,133.473419189453,31.7999992370605,13.3999996185303,18.3999996185303,22.9333324432373,21.5833339691162
"9",23.9291667938232,25.5666675567627,22.4500007629395,1085,242,3,110.647399902344,687,17,264,19,13.3916664123535,72.7807922363281,123.01993560791,33.2000007629395,14.8000001907349,18.4000015258789,24.0499992370605,23.1000003814697
"10",18.6291675567627,19.8833332061768,17.0833339691162,1322,268,5,102.023597717285,793,31,338,39,12.0583333969116,74.4341506958008,110.33952331543,26.6000003814697,10.3999996185303,16.2000007629395,19.0833339691162,17.6666660308838
