"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",15.3625001907349,16.9500007629395,13.4499998092651,2110,315,59,49.9770545959473,774,215,659,215,8.14166641235352,64.1076126098633,145.307266235352,21.2999992370605,8.60000038146973,12.6999988555908,16.75,13.4499998092651
"2",22.9125003814697,25.2333335876465,20.0666656494141,1616,224,60,51.4842910766602,637,195,627,196,9.09166717529297,61.0178985595703,214.318435668945,29.8999996185303,15,14.8999996185303,25.2000007629395,20.3833332061768
"3",24.3041667938232,26.6666679382324,21.4500007629395,1433,208,47,49.5917167663574,532,166,524,166,9.375,61.6776313781738,217.134841918945,31.5,16.2999992370605,15.2000007629395,26.216667175293,21.4500007629395
"4",24.4833335876465,26.6666660308838,21.7333335876465,1436,228,34,60.2353935241699,579,130,545,130,9.80000019073486,64.0522842407227,203.23893737793,31.6000003814697,16.2999992370605,15.3000011444092,26.1166667938232,21.7333335876465
"5",24.2083339691162,26.4833335876465,21.3999996185303,1504,230,41,58.2830657958984,622,150,593,150,9.60000038146973,62.7451019287109,209.553985595703,31.2999992370605,16,15.2999992370605,26.3999996185303,21.3999996185303
"6",24.4874992370605,26.8500003814697,21.6333332061768,1423,207,49,49.1403884887695,527,170,517,170,9.50833320617676,61.7424201965332,217.49739074707,31.7000007629395,16.2999992370605,15.4000015258789,26.4333343505859,21.6333332061768
"7",25.1333332061768,26.8500003814697,23.2999992370605,1230,204,28,57.7208786010742,493,97,366,97,8.45000076293945,65,146.416793823242,31.1000003814697,18.1000003814697,13,26.4166660308838,23.2999992370605
"8",24.7625007629395,27.0166664123535,21.9333343505859,1466,219,40,55.3548202514648,566,158,564,158,10.158332824707,63.8888893127441,210.022994995117,32,16.1000003814697,15.8999996185303,26.6833343505859,21.9333343505859
"9",25.0166664123535,27.2333335876465,22.3833332061768,1498,236,24,68.5556030273438,631,98,618,98,10.3833332061768,64.8958282470703,200.593826293945,32.2000007629395,16.2000007629395,16,27.2000007629395,22.3833332061768
"10",25.5666656494141,27.9499988555908,22.8500003814697,1265,196,51,44.0931739807129,438,177,408,194,7.91666650772095,58.2107925415039,210.813690185547,32.2999992370605,18.7000007629395,13.5999984741211,27.8499984741211,23.8166675567627
"11",25.1291675567627,27.2000007629395,22.6000003814697,1436,224,23,65.8602447509766,592,91,537,91,10.0749998092651,65.4220733642578,185.306381225586,32.2000007629395,16.7999992370605,15.4000015258789,26.6666660308838,22.6000003814697
"12",25.1625003814697,27.216667175293,22.6333332061768,1440,225,24,66.0941009521484,595,92,540,92,10.1083335876465,65.6385192871094,185.388137817383,32.2000007629395,16.7999992370605,15.4000015258789,26.716667175293,22.6333332061768
"13",25.1333332061768,27.25,22.5833339691162,1428,220,26,64.8278579711914,578,97,525,97,9.91666603088379,64.814811706543,188.490814208984,32.2000007629395,16.8999996185303,15.3000011444092,26.716667175293,22.5833339691162
"14",25.0833339691162,27.3166656494141,22.466667175293,1400,205,33,60.4582557678223,546,107,473,107,9.11666679382324,62.442928314209,195.823806762695,32.0999984741211,17.5,14.5999984741211,26.8166656494141,22.466667175293
"15",25.3583335876465,27.4500007629395,22.783332824707,1347,209,28,60.4302558898926,548,134,532,134,8.93333339691162,62.0370407104492,192.753189086914,32,17.6000003814697,14.3999996185303,26.966667175293,22.783332824707
"16",25.4458332061768,27.5499992370605,22.8666667938232,1344,208,28,60.0467109680176,545,135,530,135,8.99166679382324,62.442138671875,192.642578125,32.0999984741211,17.7000007629395,14.3999977111816,27.033332824707,22.8666667938232
"17",24.9166660308838,27.2999992370605,22.033332824707,1494,207,51,52.7567520141602,595,177,588,177,9,60.4026870727539,217.896270751953,32,17.1000003814697,14.8999996185303,27.25,22.033332824707
"18",24.9333324432373,27.2000007629395,22.25,1415,204,34,60.2191772460938,556,117,477,117,8.98333358764648,61.5296783447266,200.537170410156,31.8999996185303,17.2999992370605,14.6000003814697,26.6833343505859,22.25
"19",25.5416660308838,27.6333332061768,22.9500007629395,1369,208,26,58.2551727294922,534,140,531,140,8.73333358764648,61.9385375976562,193.071228027344,32.0999984741211,18,14.0999984741211,27.1666660308838,22.9500007629395
"20",25.5416660308838,27.6333332061768,22.9500007629395,1368,208,25,58.4016952514648,534,139,531,139,8.73333358764648,61.9385375976562,193.071228027344,32.0999984741211,18,14.0999984741211,27.1666660308838,22.9500007629395
"21",26.375,28.0833339691162,24.533332824707,1080,156,31,50.9668731689453,412,100,300,100,8.98333358764648,66.5432052612305,145.031341552734,32.5,19,13.5,27.6333332061768,24.533332824707
"22",25.841667175293,27.8500003814697,23.4166660308838,1173,185,17,68.1355209350586,484,65,468,65,9.43333339691162,63.7387351989746,177.582672119141,32.7000007629395,17.8999996185303,14.8000011444092,27.283332824707,23.4166660308838
