"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",16.033332824707,16.2666664123535,15.6166667938232,1489,163,83,21.7116451263428,455,269,378,436,8.88333320617676,87.0915069580078,27.080114364624,21,10.8000001907349,10.1999998092651,15.8166666030884,16.1000003814697
"2",18.375,18.5833339691162,18.0166664123535,2403,272,122,24.4018115997314,778,422,457,709,9.73333358764648,90.1234664916992,23.2085380554199,23.7999992370605,13,10.7999992370605,18.3333339691162,18.5
"3",18.2708339691162,18.5,17.8999996185303,2471,284,123,25.088996887207,805,428,457,735,9.875,89.7727203369141,23.7848606109619,23.7000007629395,12.6999998092651,11.0000009536743,18.2333335876465,18.4333343505859
"4",18.5458335876465,18.7666664123535,18.1666660308838,2681,301,139,24.4637222290039,870,469,506,792,10.0249996185303,91.136360168457,24.1640453338623,24,13,11,18.5,18.7000007629395
"5",17.3541660308838,17.6000003814697,16.8999996185303,2138,238,113,23.810848236084,694,387,409,619,10.2416667938232,90.6342239379883,28.8773574829102,22.8999996185303,11.6000003814697,11.2999992370605,17.3166656494141,17.5166664123535
"6",17.3541660308838,17.6000003814697,16.8999996185303,2138,238,113,23.810848236084,694,387,409,619,10.2416667938232,90.6342239379883,28.8773574829102,22.8999996185303,11.6000003814697,11.2999992370605,17.3166656494141,17.5166664123535
"7",17.0666675567627,17.3166675567627,16.5833339691162,2182,250,113,25.4056720733643,713,382,413,655,10.216667175293,90.4129791259766,30.6989345550537,22.6000003814697,11.3000001907349,11.3000001907349,17.0500011444092,17.216667175293
"8",16.2000007629395,16.4833335876465,15.6333332061768,1413,198,68,35.0555763244629,511,213,380,511,9.26666641235352,85.0152969360352,38.0788459777832,21.8999996185303,11,10.8999996185303,15.9333333969116,16.2333335876465
"9",16.466667175293,16.7666664123535,15.8999996185303,1498,209,73,34.9863128662109,543,228,269,543,9.30000019073486,85.3210983276367,37.8593978881836,22.2000007629395,11.3000001907349,10.9000005722046,15.8999996185303,16.533332824707
"10",17.4125003814697,17.7000007629395,16.8500003814697,1991,261,113,28.0520648956299,678,349,362,653,9.30833339691162,86.1882705688477,37.0579986572266,23,12.1999998092651,10.8000001907349,17.0833339691162,17.5833339691162
"11",17.9833335876465,18.2666664123535,17.3999996185303,2367,296,138,24.1699028015137,779,442,442,721,9.40000057220459,86.238525390625,37.9193649291992,23.6000003814697,12.6999998092651,10.9000005722046,18,18.2666664123535
"12",18.1625003814697,18.4333343505859,17.5833320617676,2517,312,149,23.3246746063232,823,476,476,757,9.39166641235352,86.9598693847656,37.4848594665527,23.7000007629395,12.8999996185303,10.8000011444092,18.1833324432373,18.4333343505859
"13",16.8875007629395,17.1833343505859,16.2999992370605,1560,209,83,31.777271270752,542,253,271,541,9.42500019073486,85.6818161010742,38.7957992553711,22.6000003814697,11.6000003814697,11,16.5666675567627,17.0833339691162
