"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",20.3624992370605,21.2999992370605,19.6000003814697,2616,472,23,67.0030212402344,1138,164,479,411,9.42500019073486,77.8925552368164,67.5252532958984,26.7000007629395,14.6000003814697,12.1000003814697,20.1166667938232,20.2999992370605
"2",18.2999992370605,19.1166667938232,17.5500011444092,2746,483,4,70.6613998413086,1232,62,461,485,9.46666717529297,78.2369155883789,63.7466354370117,24.5,12.3999996185303,12.1000003814697,17.8833332061768,18.1499996185303
"3",14.5833330154419,15.1333332061768,13.8833332061768,2938,503,16,72.7172927856445,1336,84,979,164,9.26666641235352,77.8711471557617,51.2273635864258,20.3999996185303,8.5,11.8999996185303,14.6166667938232,14.2666664123535
"4",14.9541664123535,15.5166664123535,14.2333335876465,2907,464,16,71.5874099731445,1272,96,972,184,9.375,78.1250076293945,53.0633697509766,20.7999992370605,8.80000019073486,11.9999990463257,14.9833335876465,14.6333332061768
"5",15.2541666030884,15.8333330154419,14.5333337783813,2937,480,27,72.8487091064453,1315,101,974,172,9.47500038146973,77.663932800293,54.3330726623535,21.2000007629395,9,12.2000007629395,15.283332824707,14.9499998092651
"6",15.2541666030884,15.8333330154419,14.5333337783813,2937,480,27,72.8487091064453,1315,101,974,172,9.47500038146973,77.663932800293,54.3330726623535,21.2000007629395,9,12.2000007629395,15.283332824707,14.9499998092651
"7",16.2666664123535,16.8999996185303,15.533332824707,2818,462,20,71.7973556518555,1250,96,580,148,9.63333320617676,77.0666656494141,58.4003982543945,22.5,10,12.5,16.2333335876465,16.0166664123535
"8",17.8041667938232,18.6000003814697,17.0666675567627,2569,479,31,67.8298263549805,1056,142,444,427,9.42500019073486,78.5416641235352,63.7273178100586,23.8999996185303,11.8999996185303,12,17.6666660308838,17.6000003814697
"9",13.2624998092651,13.8166666030884,12.5500001907349,2704,458,24,72.4720687866211,1256,88,827,172,9.30833339691162,78.2212829589844,51.1737213134766,19.1000003814697,7.19999980926514,11.9000005722046,13.3333339691162,12.9333333969116
"10",17.1000003814697,17.9500007629395,16.3833332061768,2634,490,4,70.6352233886719,1083,69,549,369,9.96666717529297,77.8645782470703,64.7021102905273,23.7000007629395,10.8999996185303,12.8000011444092,16.6166667938232,17
"11",16.9249992370605,17.75,16.1833343505859,2600,514,22,76.3137893676758,1222,91,485,394,9.94999980926514,77.734375,64.1199111938477,23.5,10.6999998092651,12.8000001907349,16.5,16.25
"12",16.7666664123535,17.4166660308838,15.8833332061768,3828,468,120,32.4945373535156,1260,531,962,847,9.16666698455811,78.3475799560547,63.3652267456055,22.3999996185303,10.6999998092651,11.6999998092651,16.2666664123535,16.8333339691162
"13",14.5749998092651,15.1999998092651,13.7666664123535,2216,329,33,54.4072074890137,869,151,618,281,9.61666679382324,78.1842803955078,58.0947456359863,20.6000003814697,8.30000019073486,12.3000001907349,14.6499996185303,14.1833333969116
"14",15.6000003814697,16.216667175293,14.7833337783813,2288,378,32,61.3067512512207,965,121,624,235,9.80000019073486,77.7777786254883,59.5818748474121,21.7999992370605,9.19999980926514,12.5999994277954,15.6499996185303,15.2333335876465
"15",15.4750003814697,16.0833339691162,14.6000003814697,2565,495,56,62.8260383605957,1100,189,675,272,9.28333282470703,78.6723098754883,60.5092010498047,21.1000003814697,9.30000019073486,11.8000001907349,15.3666667938232,14.9833335876465
"16",16.095832824707,16.716667175293,15.216667175293,2566,450,64,56.8377304077148,1068,207,658,307,9.32499980926514,78.3613510131836,61.5134239196777,21.7999992370605,9.89999961853027,11.8999996185303,16.216667175293,15.6166667938232
"17",16.091667175293,16.716667175293,15.3000001907349,2348,353,30,58.0841102600098,957,166,617,257,9.85000038146973,78.1746063232422,58.691535949707,22.2999992370605,9.69999980926514,12.5999994277954,15.8833332061768,15.7333335876465
"18",18.5750007629395,19.4500007629395,17.8500003814697,3165,602,20,73.9949798583984,1477,88,594,414,9.93333339691162,77.6041641235352,65.1745834350586,25.2000007629395,12.3999996185303,12.8000011444092,18.3166675567627,18.533332824707
"19",18.1833324432373,19.033332824707,17.466667175293,3239,600,25,70.2142486572266,1440,115,611,448,9.93333339691162,77.6041717529297,63.8653945922852,24.7999992370605,12,12.7999992370605,17.9500007629395,18.1333332061768
"20",16.720832824707,17.3833332061768,15.8500003814697,3779,490,139,33.3678894042969,1257,543,997,859,9.17500019073486,78.4188079833984,64.1892852783203,22.3999996185303,10.6999998092651,11.6999998092651,16.2000007629395,16.8333339691162
"21",14.7333335876465,15.3833332061768,13.8500003814697,2660,466,47,57.1675262451172,1075,207,709,388,9.80000019073486,78.4000015258789,61.5457344055176,20.7999992370605,8.30000019073486,12.4999990463257,14.6166667938232,14.7333335876465
"22",14.6875,15.25,13.966667175293,2597,473,20,71.6060638427734,1141,97,759,196,9.39166641235352,78.9215698242188,52.3156890869141,20.5,8.60000038146973,11.8999996185303,14.533332824707,14.3333339691162
"23",14.6875,15.25,13.966667175293,2597,473,20,71.6060638427734,1141,97,759,196,9.39166641235352,78.9215698242188,52.3156890869141,20.5,8.60000038146973,11.8999996185303,14.533332824707,14.3333339691162
"24",13.1999998092651,13.8000001907349,12.3500003814697,3208,458,67,51.0274124145508,1213,263,858,428,9.35000038146973,79.2372894287109,57.6036491394043,18.8999996185303,7.09999990463257,11.7999992370605,13.3500003814697,12.6999998092651
"25",16.5708332061768,17.2000007629395,15.8833332061768,2538,487,33,67.0708694458008,1137,130,418,201,9.65833377838135,78.5230331420898,56.2647247314453,22.7000007629395,10.3999996185303,12.3000011444092,16.283332824707,16.3166675567627
"26",15.2458333969116,15.8166666030884,14.5,2486,482,11,74.656623840332,1164,84,676,106,9.44166660308838,78.6805572509766,53.9973983764648,21.1000003814697,9.10000038146973,12,15.0833330154419,14.8833332061768
"27",16.158332824707,16.75,15.4333333969116,2556,513,32,70.9483413696289,1218,125,616,196,9.56666660308838,78.4152984619141,55.5891342163086,22.2000007629395,10,12.2000007629395,16.1499996185303,15.8666667938232
"28",15.2458333969116,15.8166666030884,14.5,2486,482,11,74.656623840332,1164,84,676,106,9.44166660308838,78.6805572509766,53.9973983764648,21.1000003814697,9.10000038146973,12,15.0833330154419,14.8833332061768
"29",13.2083330154419,13.7666664123535,12.4666662216187,3266,459,73,50.3644752502441,1286,292,844,427,9.23333358764648,79.5977020263672,51.9542465209961,18.7999992370605,7.19999980926514,11.5999994277954,13.3166666030884,12.7666664123535
"30",15.2458333969116,15.8166666030884,14.5,2486,482,11,74.656623840332,1164,84,676,106,9.44166660308838,78.6805572509766,53.9973983764648,21.1000003814697,9.10000038146973,12,15.0833330154419,14.8833332061768
