"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",27.5208339691162,28.4833335876465,26.8333339691162,1652,503,1,101.140884399414,908,24,154,752,9.30833339691162,80.9420318603516,67.2329177856445,33.7000007629395,22.2000007629395,11.5,27.0166664123535,27.966667175293
"2",26.6499996185303,27.4166660308838,26.0666675567627,2187,366,11,65.3540115356445,905,100,461,664,6.80000019073486,80.9523849487305,54.6476097106934,31,22.6000003814697,8.39999961853027,26.3166656494141,26.8500003814697
"3",24.9500007629395,25.8833332061768,24.2666664123535,2796,473,15,67.9490814208984,1210,78,468,953,8.8166675567627,73.4722290039062,65.6436614990234,31.6000003814697,19.6000003814697,12,24.5,25.3166675567627
"4",25.6124992370605,26.7333335876465,24.8166656494141,3720,690,55,66.1435089111328,1617,230,728,1174,10.1416664123535,76.8308029174805,76.1614837646484,32.5,19.2999992370605,13.2000007629395,25.1833343505859,25.75
"5",25.6124992370605,26.7333335876465,24.8166656494141,3720,690,55,66.1435089111328,1617,230,728,1174,10.1416664123535,76.8308029174805,76.1614837646484,32.5,19.2999992370605,13.2000007629395,25.1833343505859,25.75
"6",25.6124992370605,26.7333335876465,24.8166656494141,3720,690,55,66.1435089111328,1617,230,728,1174,10.1416664123535,76.8308029174805,76.1614837646484,32.5,19.2999992370605,13.2000007629395,25.1833343505859,25.75
"7",27.3374996185303,28.1166667938232,26.8833332061768,1878,331,11,70.025993347168,744,44,366,703,7.125,78.2967147827148,56.8140678405762,32.0999984741211,23,9.09999847412109,27.4500007629395,27.6833324432373
"8",26.25,27.3833332061768,25.3999996185303,2701,401,17,57.9696159362793,1049,141,558,836,10.1166667938232,77.2264709472656,78.5377502441406,33.0999984741211,20,13.0999984741211,25.8666667938232,26.3833332061768
"9",26.25,27.3833332061768,25.3999996185303,2701,401,17,57.9696159362793,1049,141,558,836,10.1166667938232,77.2264709472656,78.5377502441406,33.0999984741211,20,13.0999984741211,25.8666667938232,26.3833332061768
"10",26.25,27.3833332061768,25.3999996185303,2701,401,17,57.9696159362793,1049,141,558,836,10.1166667938232,77.2264709472656,78.5377502441406,33.0999984741211,20,13.0999984741211,25.8666667938232,26.3833332061768
"11",25.533332824707,26.6166667938232,24.7333335876465,2906,403,62,46.9138259887695,1059,242,523,974,10.283332824707,77.3182983398438,74.8128890991211,32.5,19.2000007629395,13.2999992370605,25.1666660308838,25.6499996185303
"12",25.5666656494141,26.6499996185303,24.7666664123535,3303,653,40,64.9415664672852,1435,131,575,1197,10.3333330154419,77.1144409179688,74.5999526977539,32.5999984741211,19.2000007629395,13.3999977111816,25.1666660308838,25.716667175293
"13",23.3583335876465,24.2000007629395,22.8333339691162,2622,392,18,60.106388092041,1068,136,497,860,7.30000019073486,80.2197799682617,56.1585807800293,28.2000007629395,19.1000003814697,9.10000038146973,22.8999996185303,23.5
"14",25.3708343505859,26.2000007629395,24.7999992370605,2987,429,4,46.8774223327637,1099,241,382,1064,7.54166650772095,81.0931930541992,56.4663162231445,30.2999992370605,21,9.29999923706055,24.8333339691162,25.8166656494141
"15",24.7124996185303,25.3666667938232,24.0666656494141,3352,471,59,39.3133201599121,1186,398,534,850,7.79166698455811,79.5067977905273,52.0980339050293,29.6000003814697,19.7999992370605,9.80000114440918,24.716667175293,24.966667175293
"16",24.7541656494141,25.3666667938232,24.1333332061768,3371,469,65,38.2842407226562,1181,418,594,810,7.84166669845581,80.8419189453125,49.7931365966797,29.6000003814697,19.8999996185303,9.70000076293945,24.7666664123535,24.9833335876465
"17",26.4874992370605,27.6333332061768,25.6666660308838,3432,449,49,57.911994934082,1304,221,733,959,10.125,77.8846130371094,78.2514877319336,33.2999992370605,20.2999992370605,13,25.8166656494141,26.6333332061768
"18",26.4874992370605,27.6333332061768,25.6666660308838,3432,449,49,57.911994934082,1304,221,733,959,10.125,77.8846130371094,78.2514877319336,33.2999992370605,20.2999992370605,13,25.8166656494141,26.6333332061768
"19",26.4874992370605,27.6333332061768,25.6666660308838,3432,449,49,57.911994934082,1304,221,733,959,10.125,77.8846130371094,78.2514877319336,33.2999992370605,20.2999992370605,13,25.8166656494141,26.6333332061768
"20",25.9500007629395,26.5,25.3166656494141,2964,383,117,36.4114952087402,977,391,817,491,7.51666688919067,81.7028961181641,47.6254348754883,30.5,21.2999992370605,9.20000076293945,26.3166675567627,25.6166667938232
"21",26.9583339691162,27.8500003814697,26.2999992370605,1969,419,17,79.9869232177734,1034,83,169,1034,6.85000038146973,77.8409194946289,63.633659362793,31.5,22.7000007629395,8.79999923706055,26.2999992370605,27.216667175293
"22",26.4125003814697,27.3166675567627,25.7666664123535,2620,398,15,62.82666015625,1081,108,315,919,6.85833311080933,77.0599212646484,62.3452682495117,31,22.1000003814697,8.89999961853027,25.8333339691162,27.1499996185303
"23",26.3083324432373,27.2333335876465,25.6499996185303,2089,531,20,90.2290878295898,1157,97,196,1090,6.58333349227905,76.5503997802734,65.0466003417969,30.7999992370605,22.2000007629395,8.59999847412109,25.7000007629395,27.0833320617676
"24",27.1041660308838,28,26.4333343505859,2130,378,31,66.3049011230469,1041,162,164,1041,6.90833330154419,78.503776550293,64.2954254150391,31.6000003814697,22.7999992370605,8.80000114440918,26.4333343505859,27.8666667938232
"25",27.1041660308838,28.0166664123535,26.4166660308838,2281,470,18,67.4832382202148,1102,149,149,1102,6.90833330154419,77.621711730957,65.6249160766602,31.7000007629395,22.7999992370605,8.90000152587891,26.4166660308838,28.0166664123535
"26",26.7749996185303,27.7000007629395,26.1000003814697,2328,421,11,67.700080871582,1036,70,403,847,6.55000066757202,76.1627960205078,65.9028396606445,31.2000007629395,22.6000003814697,8.60000038146973,26.1666660308838,27
"27",26.1000003814697,26.7999992370605,25.6000003814697,2382,508,11,74.21240234375,1068,84,412,936,6.43333387374878,81.4345855712891,48.5236625671387,30.2000007629395,22.2999992370605,7.90000152587891,25.6499996185303,26.3166675567627
"28",26.529167175293,27.5,25.8166675567627,2415,354,11,65.6833114624023,988,92,405,786,6.24166679382324,74.3055572509766,68.8363494873047,30.8999996185303,22.5,8.39999961853027,25.9166679382324,26.6833343505859
"29",26.4249992370605,27.3999996185303,25.6833343505859,2455,362,24,63.6711273193359,993,91,441,821,6.09999942779541,74.3902282714844,69.5602951049805,30.6000003814697,22.3999996185303,8.20000076293945,25.7999992370605,26.5666656494141
"30",26.5541667938232,27.5833339691162,25.783332824707,2451,332,16,62.585807800293,958,87,403,814,6.35833358764648,73.0842895507812,73.6532974243164,31.1000003814697,22.3999996185303,8.70000076293945,25.8999996185303,26.7000007629395
"31",26.0458335876465,27,25.3666667938232,2210,330,11,64.4832077026367,869,65,396,648,5.80833339691162,73.5232162475586,66.5875473022461,30.1000003814697,22.2000007629395,7.89999961853027,25.6666660308838,26.1833324432373
"32",26.1333332061768,27.0666656494141,25.4333343505859,2213,329,15,62.9668655395508,861,78,393,677,5.75,73.7179336547852,66.5149765014648,30.1000003814697,22.2999992370605,7.80000114440918,25.5499992370605,26.2666664123535
"33",25.6000003814697,26.1000003814697,24.8999996185303,2681,308,88,32.8446350097656,847,347,695,465,7.21666669845581,82.0075836181641,47.9108924865723,29.7999992370605,21,8.79999923706055,25.7999992370605,25.1166667938232
