"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",27.2708339691162,28.25,26.033332824707,1250,299,2,117.883567810059,811,8,761,19,8.0583324432373,76.0220184326172,92.0833892822266,32.0999984741211,21.5,10.5999984741211,28.0499992370605,26.5166664123535
"2",26.7333335876465,27.5,25.7333335876465,1315,306,2,114.535652160645,820,10,536,23,9.05000019073486,79.385986328125,72.1530227661133,32.0999984741211,20.7000007629395,11.3999977111816,27.2333335876465,26.2333335876465
"3",25.4249992370605,27.6333332061768,22.75,1683,336,25,90.3254089355469,970,80,325,116,9.91666698455811,59.027774810791,196.405197143555,34.4000015258789,17.6000003814697,16.8000011444092,26.4166660308838,25.25
"4",25.6666660308838,28.0666656494141,22.7000007629395,2763,626,42,97.503532409668,1717,132,470,185,10.1999998092651,58.6206893920898,217.15446472168,35,17.6000003814697,17.3999996185303,26.8833332061768,25.2999992370605
"5",18.283332824707,20.4500007629395,15.3833332061768,1795,339,37,78.3176345825195,910,126,488,131,12.75,66.0621719360352,208.111999511719,27.5,8.19999980926514,19.2999992370605,19.5666656494141,16.2999992370605
"6",18.4791660308838,20.6499996185303,15.5666666030884,1705,321,36,77.1190185546875,852,123,466,128,12.8083333969116,66.3644180297852,208.952575683594,27.7000007629395,8.39999961853027,19.3000011444092,19.783332824707,16.466667175293
"7",18.1666660308838,20.3333339691162,15.2666673660278,1789,338,37,78.2532730102539,907,126,487,132,12.7333335876465,65.9758224487305,208.133834838867,27.3999996185303,8.10000038146973,19.2999992370605,19.4500007629395,16.1833343505859
"8",18.9166660308838,21.0833339691162,15.9499998092651,1716,325,37,76.0033874511719,846,126,462,136,12.5,66.137565612793,210.500839233398,28,9.10000038146973,18.8999996185303,20.25,16.7999992370605
"9",17.283332824707,19.3166675567627,14.4000005722046,1521,284,43,72.3922348022461,746,136,379,141,10.6999998092651,61.8497123718262,205.629119873047,25.5,8.19999980926514,17.2999992370605,18.6833343505859,15.0666666030884
"10",17.6958332061768,19.7999992370605,14.7666664123535,1578,305,45,74.8160171508789,786,137,397,138,10.408332824707,60.8674468994141,210.069869995117,25.8999996185303,8.80000019073486,17.0999984741211,19.1166667938232,15.4166669845581
"11",19.125,21.3833332061768,15.966667175293,1636,298,51,69.281867980957,753,156,445,158,9.93333339691162,58.4313735961914,226.339447021484,27.3999996185303,10.3999996185303,17,20.6499996185303,16.6666660308838
"12",16.7000007629395,19.1833324432373,13.466667175293,1324,249,36,70.2452774047852,625,114,344,114,10.7999992370605,58.0645179748535,235.169174194336,25.7999992370605,7.19999980926514,18.5999984741211,18.1333332061768,13.466667175293
"13",17.1083335876465,19.5166664123535,13.9166669845581,1368,257,38,69.9131622314453,644,119,357,119,10.1166667938232,57.4810600280762,231.642684936523,25.7000007629395,8.10000038146973,17.6000003814697,18.5666656494141,13.9166669845581
"14",17.6166667938232,19.9833335876465,14.5,1764,326,41,76.3059463500977,895,135,404,144,10.5500001907349,58.9385452270508,226.217254638672,26.2000007629395,8.30000019073486,17.9000015258789,19.0499992370605,15.2333335876465
