"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",25.783332824707,26.8833332061768,24.9166679382324,3779,479,109,38.7593841552734,1242,415,595,1130,8.35000038146973,76.6055068969727,78.112174987793,31.5,20.6000003814697,10.8999996185303,24.9500007629395,26.4833335876465
"2",26.7666664123535,27.8333339691162,25.8666667938232,1856,413,2,98.8976058959961,1004,9,248,370,9.58333301544189,78.5519104003906,80.4626846313477,32.9000015258789,20.7000007629395,12.2000007629395,26.3999996185303,26.1166667938232
"3",26.7541675567627,27.8999996185303,25.8166656494141,1799,394,2,99.1772994995117,981,9,228,367,9.82499980926514,77.976188659668,84.1929244995117,33.2000007629395,20.6000003814697,12.6000003814697,26.3333339691162,26.1166667938232
"4",26.7541675567627,27.8999996185303,25.8166656494141,1799,394,2,99.1772994995117,981,9,228,367,9.82499980926514,77.976188659668,84.1929244995117,33.2000007629395,20.6000003814697,12.6000003814697,26.3333339691162,26.1166667938232
"5",26.8333339691162,28.2666664123535,25.6666660308838,1675,363,2,97.1665115356445,876,11,224,325,11.5833330154419,75.7080612182617,100.91251373291,34.7999992370605,19.5,15.2999992370605,26.216667175293,27.1000003814697
"6",26.3500003814697,27.3833332061768,25.6833324432373,1818,366,1,96.2002182006836,934,12,222,316,9.68333339691162,75.6510314941406,70.871208190918,32.7000007629395,19.8999996185303,12.8000011444092,26.2000007629395,25.8166675567627
"7",26.0625,27.0666656494141,25.3999996185303,1859,368,1,95.5787200927734,960,13,242,309,9.79166698455811,75.9043960571289,69.0890350341797,32.5,19.6000003814697,12.8999996185303,25.8999996185303,25.5833339691162
"8",26.3041667938232,27.3333339691162,25.6333332061768,1830,369,1,96.5359115600586,954,13,223,306,9.80833339691162,76.0335845947266,70.8859100341797,32.7000007629395,19.7999992370605,12.9000015258789,26.1333332061768,25.8166656494141
"9",26.3583335876465,27.3666667938232,25.6499996185303,1807,368,1,96.1890106201172,948,12,240,58,9.68333339691162,76.2467269897461,70.5766067504883,32.5999984741211,19.8999996185303,12.6999988555908,26.25,25.7666664123535
"10",26.0166664123535,27.4166660308838,24.966667175293,1877,386,1,95.7311859130859,973,8,277,343,12.0833339691162,75.0517501831055,96.4207992553711,34.4000015258789,18.2999992370605,16.1000022888184,25.4166660308838,25.5
"11",25.9208335876465,27.2999992370605,24.8666667938232,1906,392,2,95.3340759277344,987,11,280,346,12.0749998092651,75.46875,96.187744140625,34.2999992370605,18.2999992370605,16,25.2999992370605,25.466667175293
"12",26.0166664123535,27.4166660308838,24.966667175293,1877,386,1,95.7311859130859,973,8,277,343,12.0833339691162,75.0517501831055,96.4207992553711,34.4000015258789,18.2999992370605,16.1000022888184,25.4166660308838,25.5
"13",25.9208335876465,27.2999992370605,24.8666667938232,1906,392,2,95.3340759277344,987,11,280,346,12.0749998092651,75.46875,96.187744140625,34.2999992370605,18.2999992370605,16,25.2999992370605,25.466667175293
"14",26.0208339691162,27.3999996185303,24.966667175293,1857,388,1,96.0257034301758,961,9,270,338,12.0750007629395,74.9999923706055,96.0222015380859,34.4000015258789,18.2999992370605,16.1000022888184,25.4333343505859,25.5166664123535
"15",25.9208335876465,27.2999992370605,24.8666667938232,1906,392,2,95.3340759277344,987,11,280,346,12.0749998092651,75.46875,96.187744140625,34.2999992370605,18.2999992370605,16,25.2999992370605,25.466667175293
"16",27.0541667938232,27.8833332061768,26.25,1801,379,2,95.5547103881836,944,18,238,68,9.69166660308838,75.7161331176758,71.1099853515625,32.9000015258789,20.1000003814697,12.8000011444092,27.1000003814697,26.25
"17",24.3291664123535,25.5833339691162,23.4833335876465,2011,409,4,95.6723861694336,1020,17,262,63,11.3916664123535,73.9718627929688,85.3723983764648,32.2999992370605,16.8999996185303,15.3999996185303,24.1499996185303,24.4833335876465
"18",23.0125007629395,24.1000003814697,22.1166667938232,1884,382,3,96.5856018066406,1027,15,240,51,10.8250007629395,75.6992950439453,78.5414047241211,30.2000007629395,15.8999996185303,14.3000011444092,23.033332824707,22.2999992370605
"19",23.0125007629395,24.1000003814697,22.1166667938232,1884,382,3,96.5856018066406,1027,15,240,51,10.8250007629395,75.6992950439453,78.5414047241211,30.2000007629395,15.8999996185303,14.3000011444092,23.033332824707,22.2999992370605
"20",23.2374992370605,24.3333320617676,22.3500003814697,1902,392,3,96.4408111572266,1036,16,245,52,10.908332824707,75.2298812866211,78.830207824707,30.5,16,14.5,23.25,22.533332824707
"21",21.8916664123535,22.9333343505859,20.9333343505859,1922,413,3,98.2130813598633,1035,13,230,51,10.5833339691162,75.5952377319336,79.2244644165039,28.8999996185303,14.8999996185303,14,22,21.1166667938232
"22",23.9791660308838,25.0833339691162,23.0666675567627,1913,374,3,95.40771484375,1024,15,262,52,11.3083333969116,75.8948593139648,79.2997207641602,31.5,16.6000003814697,14.8999996185303,23.966667175293,23.25
"23",22.2625007629395,23.3666667938232,21.216667175293,1901,377,2,96.8139419555664,1032,13,248,48,10.4750003814697,74.8214340209961,84.4803771972656,29.2999992370605,15.3000001907349,13.9999990463257,22.3833332061768,21.4166660308838
"24",27.1124992370605,28.1166667938232,26.1000003814697,1805,353,4,92.6727600097656,889,15,580,15,9.70833301544189,72.994987487793,87.1812515258789,33,19.7000007629395,13.2999992370605,27.1333332061768,26.1000003814697
"25",26.0833339691162,27.1166667938232,25.283332824707,1780,359,3,94.1865692138672,945,19,235,273,11.25,76.5306167602539,75.1765441894531,33.0999984741211,18.3999996185303,14.6999988555908,25.966667175293,25.4500007629395
"26",26.0833339691162,27.1166667938232,25.283332824707,1780,359,3,94.1865692138672,945,19,235,273,11.25,76.5306167602539,75.1765441894531,33.0999984741211,18.3999996185303,14.6999988555908,25.966667175293,25.4500007629395
"27",23.6291656494141,24.75,22.8500003814697,1825,355,3,95.4401702880859,984,16,245,53,11.3583335876465,75.7222213745117,76.2906799316406,31.2000007629395,16.2000007629395,15,23.533332824707,23.0666656494141
