"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",21.658332824707,23.3999996185303,19.716667175293,1625,249,49,52.3160057067871,621,162,502,162,7.80000019073486,62.4000015258789,151.610061645508,27.3999996185303,14.8999996185303,12.5,23.033332824707,19.716667175293
"2",25.1625003814697,26.8999996185303,23.3166675567627,1200,191,32,54.3629035949707,445,112,350,112,8.05833339691162,64.466667175293,146.46012878418,31.1000003814697,18.6000003814697,12.5,26.4833335876465,23.3166675567627
"3",26.375,28.0833339691162,24.533332824707,1080,156,31,50.9668731689453,412,100,300,100,8.98333358764648,66.5432052612305,145.031341552734,32.5,19,13.5,27.6333332061768,24.533332824707
"4",26.125,28.0499992370605,24.033332824707,1770,240,88,34.5289878845215,657,297,365,430,7.01666688919067,59.4632797241211,165.522567749023,31.7999992370605,20,11.7999992370605,25.6333332061768,24.716667175293
"5",26.4583339691162,28.1333332061768,24.6499996185303,812,150,27,56.5574226379395,317,89,207,89,8.61666679382324,66.7958679199219,143.967071533203,32.5,19.6000003814697,12.8999996185303,27.7333335876465,24.6499996185303
"6",26.3541660308838,28.033332824707,24.5499992370605,1149,182,39,49.0238456726074,397,128,313,128,8.74166679382324,66.7302856445312,142.150009155273,32.5999984741211,19.5,13.0999984741211,26.9333343505859,24.5499992370605
"7",26.5458335876465,28.2333335876465,24.75,799,149,27,56.1399383544922,311,92,202,92,8.65833282470703,67.1188735961914,144.103164672852,32.5999984741211,19.7000007629395,12.8999977111816,27.8166656494141,24.75
"8",26.7291660308838,28.3999996185303,24.9333324432373,759,141,27,55.3952255249023,294,91,189,91,8.42499923706055,66.3385772705078,143.86637878418,32.7000007629395,20,12.7000007629395,28,24.9333324432373
"9",26.5208339691162,28.2000007629395,24.716667175293,806,148,27,56.178638458252,314,89,205,89,8.54166698455811,66.7317733764648,144.071624755859,32.5,19.7000007629395,12.7999992370605,27.783332824707,24.716667175293
"10",26.7250003814697,28.4166660308838,24.9166660308838,766,142,26,56.4572448730469,300,87,192,87,8.36666584014893,66.4021072387695,145.250564575195,32.7000007629395,20.1000003814697,12.6000003814697,28.0166664123535,24.9166660308838
"11",26.8083343505859,28.466667175293,25.033332824707,798,141,28,53.9526329040527,307,92,208,92,8.43333339691162,66.4042053222656,142.171997070312,32.7999992370605,20.1000003814697,12.6999988555908,28.0666656494141,25.033332824707
