"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",27.2708339691162,28.3500003814697,26.5,1893,373,3,87.5325317382812,935,17,327,451,10.6083326339722,76.3189315795898,74.9684448242188,34.9000015258789,21,13.9000015258789,26.783332824707,27.5833339691162
"2",25.8374996185303,26.7333335876465,24.966667175293,3290,472,73,45.4141502380371,1235,306,440,819,7.45833301544189,75.3367004394531,71.0993194580078,31,21.1000003814697,9.89999961853027,26.0166664123535,26.1999988555908
"3",25.9500007629395,26.8999996185303,25.0499992370605,2884,360,69,44.622257232666,1052,250,356,779,7.76666641235352,73.9682540893555,74.5288238525391,31.5,21,10.5,26.1000003814697,26.3166675567627
"4",25.9500007629395,26.8999996185303,25.0499992370605,2884,360,69,44.622257232666,1052,250,356,779,7.76666641235352,73.9682540893555,74.5288238525391,31.5,21,10.5,26.1000003814697,26.3166675567627
"5",26.2083339691162,27.1833324432373,25.2666664123535,2620,385,43,57.9444389343262,1109,137,268,597,7.81666660308838,73.7421493530273,75.2218856811523,31.7999992370605,21.2000007629395,10.5999984741211,26.4166660308838,26.6666660308838
"6",25.9750003814697,26.9166660308838,25.1166667938232,2144,319,17,67.5702209472656,924,84,255,346,6.95000028610229,73.1578979492188,70.3723831176758,30.8999996185303,21.3999996185303,9.5,25.8999996185303,26.4166660308838
"7",25.845832824707,26.7666664123535,25,2086,334,17,70.3283309936523,921,95,253,302,6.90833330154419,72.7192993164062,68.9683151245117,30.7999992370605,21.2999992370605,9.5,25.7666664123535,26.2999992370605
"8",26.6875,27.716667175293,25.966667175293,1501,306,2,92.5303726196289,737,9,193,124,6.44166660308838,70.7875442504883,68.4279632568359,31.6000003814697,22.5,9.10000038146973,26.5,26.6000003814697
"9",26.5666675567627,27.6166667938232,25.8166656494141,1539,316,2,92.4722213745117,780,10,217,124,6.51666688919067,70.0716781616211,70.2053451538086,31.6000003814697,22.2999992370605,9.30000114440918,26.3833332061768,26.466667175293
"10",24.6166667938232,25.6000003814697,23.783332824707,2048,319,10,66.3846893310547,884,97,232,331,6.75,71.0526351928711,71.5838088989258,29.7000007629395,20.2000007629395,9.5,24.533332824707,25.0499992370605
