"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",27.470832824707,28.6000003814697,26.6833324432373,1658,401,0,105.78475189209,912,1,192,73,8.59166717529297,72.8107299804688,79.1850433349609,33.4000015258789,21.6000003814697,11.8000011444092,27.0666675567627,27.5
"2",27.341667175293,28.7333335876465,26.283332824707,1412,342,0,104.353630065918,764,2,188,420,9.58333396911621,69.4444427490234,97.7899932861328,34.7000007629395,20.8999996185303,13.8000011444092,26.8333339691162,27.5
"3",27.3333339691162,28.716667175293,26.3166656494141,1566,362,1,99.441764831543,838,4,195,445,9.71666717529297,69.9040679931641,96.6327362060547,34.7000007629395,20.7999992370605,13.9000015258789,26.8333339691162,27.466667175293
"4",27.4583339691162,28.7000007629395,26.5833339691162,1693,383,0,104.268127441406,927,2,218,458,9.33333396911621,71.7948837280273,85.568489074707,34.0999984741211,21.1000003814697,12.9999980926514,26.9833335876465,27.6000003814697
"5",27.4208335876465,28.5166664123535,26.6499996185303,1855,392,1,101.088279724121,1001,6,244,79,8.54166698455811,73.6350555419922,77.0908279418945,33.2000007629395,21.6000003814697,11.6000003814697,27.0666675567627,27.4166660308838
"6",27.5541667938232,28.9333343505859,26.6166667938232,1652,370,0,101.981147766113,893,3,225,446,9.67499923706055,71.1397018432617,95.0468597412109,34.7000007629395,21.1000003814697,13.6000003814697,27.0166664123535,27.783332824707
"7",27.0083332061768,28.4166679382324,26,1678,363,0,101.204925537109,915,5,234,432,10.1166667938232,70.2546310424805,97.5339889526367,34.7999992370605,20.3999996185303,14.3999996185303,26.3999996185303,27.2999992370605
"8",27.404167175293,28.783332824707,26.4833335876465,1943,392,0,92.8969116210938,996,7,297,469,10.0416669845581,71.7261810302734,94.5433731079102,34.9000015258789,20.8999996185303,14.0000019073486,26.783332824707,27.7333335876465
"9",24,25.0833339691162,23.0166664123535,1597,324,1,95.7435836791992,841,13,239,76,9.39999961853027,71.755729675293,80.3684768676758,30.7999992370605,17.7000007629395,13.0999984741211,23.8500003814697,23.8166656494141
"10",26.6708335876465,28.0666675567627,25.6499996185303,1506,358,3,104.376945495605,840,12,223,435,9.84166717529297,70.803352355957,97.3153076171875,34.2000007629395,20.2999992370605,13.9000015258789,26.1833343505859,26.7333335876465
"11",26.841667175293,28.2333335876465,25.8166675567627,1395,331,2,102.95491027832,747,11,206,401,9.68333339691162,71.2009811401367,97.1370391845703,34.2000007629395,20.6000003814697,13.6000003814697,26.3999996185303,26.1333332061768
"12",25.5791664123535,26.8833332061768,24.533332824707,1330,298,3,98.8639831542969,696,12,234,73,9.82499980926514,71.1956558227539,93.4066925048828,33,19.2000007629395,13.7999992370605,25.216667175293,25.533332824707
"13",26.591667175293,27.8499984741211,25.6000003814697,1799,395,1,99.4313278198242,976,8,217,380,10.4499998092651,76.2773742675781,89.1584930419922,33.5999984741211,19.8999996185303,13.6999988555908,26.1000003814697,26.716667175293
"14",26.7666664123535,27.8333339691162,25.8666667938232,1856,413,2,98.8976058959961,1004,9,248,370,9.58333301544189,78.5519104003906,80.4626846313477,32.9000015258789,20.7000007629395,12.2000007629395,26.3999996185303,26.1166667938232
"15",27.7124996185303,28.9499988555908,26.6666660308838,1761,389,1,98.8640747070312,930,10,255,364,10.125,76.1278228759766,93.398567199707,34.5999984741211,21.2999992370605,13.2999992370605,27.1499996185303,27.8666667938232
"16",27.4916667938232,28.7666664123535,26.6166667938232,1346,314,2,99.7846908569336,699,10,269,590,11.1000003814697,76.5517120361328,89.4131011962891,35.4000015258789,20.8999996185303,14.5000019073486,26.9333324432373,27.1166667938232
"17",28.158332824707,29.4500007629395,27.1333332061768,1564,352,4,97.3728408813477,830,14,245,661,11.1166667938232,76.1415481567383,94.8404083251953,36,21.3999996185303,14.6000003814697,27.466667175293,27.9166679382324
"18",26.8333339691162,28.2666664123535,25.6666660308838,1675,363,2,97.1665115356445,876,11,224,325,11.5833330154419,75.7080612182617,100.91251373291,34.7999992370605,19.5,15.2999992370605,26.216667175293,27.1000003814697
"19",16.2958335876465,17.2000007629395,15.4166669845581,1978,394,4,93.9415893554688,983,18,292,69,9.99166679382324,70.3638458251953,71.109977722168,23.5,9.30000019073486,14.1999998092651,16.2999992370605,15.5
"20",26.466667175293,27.7999992370605,25.3999996185303,1724,369,2,96.6162185668945,893,10,228,323,11.9000005722046,77.2727355957031,93.2819137573242,34.2999992370605,18.8999996185303,15.3999996185303,25.8833332061768,26.716667175293
"21",26.3333339691162,27.3666667938232,25.6499996185303,1837,370,1,96.4745407104492,956,13,228,306,9.84999942779541,76.356575012207,70.2700424194336,32.7000007629395,19.7999992370605,12.9000015258789,26.1666660308838,25.8500003814697
"22",26.3208332061768,27.3333339691162,25.6333332061768,1833,370,1,95.7908401489258,946,14,233,306,9.82499980926514,76.1627807617188,69.8524017333984,32.7000007629395,19.7999992370605,12.9000015258789,26.1666660308838,25.8333320617676
"23",26.3041667938232,27.3333339691162,25.6333332061768,1830,369,1,96.5359115600586,954,13,223,306,9.80833339691162,76.0335845947266,70.8859100341797,32.7000007629395,19.7999992370605,12.9000015258789,26.1333332061768,25.8166656494141
"24",25.6833343505859,26.8166675567627,24.9333343505859,1985,402,2,95.3049087524414,1022,17,251,362,10.7166662216187,74.9417266845703,77.4694519042969,33,18.7000007629395,14.2999992370605,25.4500007629395,25.2666664123535
"25",26.2583332061768,27.6499996185303,25.2000007629395,1883,414,2,97.8375625610352,1001,10,266,349,11.9166660308838,75.4219436645508,96.5032730102539,34.5,18.7000007629395,15.7999992370605,25.6333332061768,25.7999992370605
"26",26.1416664123535,27.5333347320557,25.0666675567627,1872,394,2,96.5100479125977,985,10,272,352,11.966667175293,75.2620468139648,96.9028167724609,34.4000015258789,18.5,15.9000015258789,25.533332824707,25.6666660308838
"27",25.8791675567627,27.25,24.8333339691162,1943,418,1,96.6635284423828,1018,7,291,354,12.0416669845581,75.2604141235352,94.9511489868164,34.2000007629395,18.2000007629395,16,25.283332824707,25.3833332061768
"28",25.9208335876465,27.2999992370605,24.8666667938232,1906,392,2,95.3340759277344,987,11,280,346,12.0749998092651,75.46875,96.187744140625,34.2999992370605,18.2999992370605,16,25.2999992370605,25.466667175293
