"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",20.7749996185303,21.966667175293,19.2000007629395,1597,253,20,63.7719306945801,665,78,567,78,10.716667175293,74.4212951660156,111.793251037598,27.6000003814697,13.1999998092651,14.4000005722046,21.7666664123535,19.2000007629395
"2",23,24.1000003814697,21.533332824707,1664,280,20,67.1737213134766,672,71,563,71,11.2666664123535,76.1261215209961,104.468353271484,30,15.1999998092651,14.8000001907349,23.8999996185303,21.533332824707
"3",24.0083332061768,24.9166660308838,22.7333335876465,1252,188,13,67.3817596435547,514,59,482,59,10.7166662216187,77.6570053100586,89.7935409545898,30.5,16.7000007629395,13.7999992370605,24.716667175293,22.7333335876465
"4",25.7000007629395,26.966667175293,24.1000003814697,1037,143,20,58.1553344726562,398,78,374,78,11.1333332061768,74.7203598022461,118.647666931152,32.7999992370605,17.8999996185303,14.8999996185303,26.7666664123535,24.2333335876465
"5",25.7541656494141,26.8666667938232,24.3833332061768,944,142,23,60.4654159545898,400,75,333,75,10.9583330154419,78.273811340332,99.0513687133789,32.2999992370605,18.2999992370605,14,26.6499996185303,24.3833332061768
"6",26.0416660308838,27.283332824707,24.5,939,139,13,65.2149124145508,382,53,363,53,11.1333332061768,75.7369613647461,115.7158203125,33.0999984741211,18.3999996185303,14.6999988555908,26.9333343505859,24.5
"7",26.3291664123535,27.5666656494141,24.7666664123535,1022,144,23,52.5919494628906,387,88,344,92,11.8249998092651,76.2903289794922,115.786979675293,33.5999984741211,18.1000003814697,15.4999980926514,27.216667175293,24.9166660308838
"8",26.6124992370605,28.1000003814697,25.0166664123535,990,167,16,61.2228355407715,385,70,245,70,11.7416658401489,75.752685546875,123.713836669922,34.2999992370605,18.7999992370605,15.5,27.6499996185303,25.0166664123535
"9",26.5458335876465,27.8166675567627,25,742,117,19,59.2653274536133,299,66,223,66,11.2250003814697,76.3605422973633,112.198265075684,33.5,18.7999992370605,14.7000007629395,27.533332824707,25
"10",27.1083335876465,28.5166664123535,25.5499992370605,990,166,15,58.8955497741699,377,70,269,70,11.6833333969116,75.8657913208008,119.427299499512,34.7000007629395,19.2999992370605,15.4000015258789,28.1499996185303,25.5499992370605
"11",26.6833324432373,27.9166660308838,25.1166667938232,1035,150,34,47.5337028503418,390,109,322,114,11.3833332061768,75.8888854980469,117.383071899414,33.7999992370605,18.7999992370605,15,27.716667175293,25.2000007629395
"12",26.5208339691162,28.3166675567627,24.4833335876465,797,122,33,35.7646369934082,289,127,127,210,10.375,70.5782241821289,159.294723510742,33.9000015258789,19.2000007629395,14.7000007629395,25.966667175293,28.3166675567627
"13",26.6166667938232,28.0666656494141,24.966667175293,768,137,17,63.9324531555176,307,58,212,58,11.5333337783813,75.3812561035156,123.423370361328,34.2000007629395,18.8999996185303,15.3000011444092,27.7000007629395,24.966667175293
"14",27.1791667938232,28.6000003814697,25.6499996185303,1004,167,14,59.4411163330078,389,65,289,65,11.7916669845581,76.0752716064453,118.943428039551,34.7999992370605,19.2999992370605,15.5,28.216667175293,25.6499996185303
"15",26.9208335876465,28.1666660308838,25.3833332061768,720,126,14,65.4544372558594,321,50,239,50,11.5916662216187,76.2609634399414,111.425834655762,34,18.7999992370605,15.2000007629395,27.9333324432373,25.3833332061768
"16",26.7541675567627,28.0666656494141,25.2666664123535,1015,171,18,58.9606971740723,379,66,334,66,11.9416666030884,76.5491561889648,112.925102233887,34.0999984741211,18.5,15.5999984741211,27.716667175293,25.2666664123535
"17",27.5,28.7333335876465,26.0833320617676,736,120,17,62.0329246520996,299,66,215,66,11.1000003814697,77.0833358764648,105.787101745605,34.2999992370605,19.8999996185303,14.3999996185303,28.4833335876465,26.283332824707
"18",27.1791667938232,28.3999996185303,25.6999988555908,739,134,16,67.3916625976562,346,53,259,53,11.3249998092651,77.568489074707,108.197204589844,34,19.3999996185303,14.6000003814697,28.1666660308838,25.6999988555908
"19",27.25,28.4833335876465,25.7666664123535,757,135,18,65.7805786132812,350,58,264,58,11.2999992370605,77.3972702026367,108.082450866699,34.0999984741211,19.5,14.5999984741211,28.2333335876465,25.7666664123535
"20",27.5625,28.8666667938232,26.0166664123535,674,114,15,62.2309455871582,276,56,206,56,11.6416664123535,77.6111068725586,112.737106323242,34.7000007629395,19.7000007629395,15,28.5833339691162,26.0166664123535
"21",27.3250007629395,28.533332824707,25.8666667938232,771,136,19,64.5570373535156,352,61,266,61,11.25,77.5862197875977,106.504371643066,34.0999984741211,19.6000003814697,14.4999980926514,28.2999992370605,25.8666667938232
"22",27.6208324432373,29.1000003814697,25.9166660308838,540,99,11,65.0987091064453,223,40,159,40,10.7749996185303,75.3496475219727,126.553260803223,34.9000015258789,20.6000003814697,14.3000011444092,28.75,25.9166660308838
"23",27.591667175293,29.0500011444092,25.8999996185303,545,100,12,65.0903167724609,225,41,160,41,10.7833337783813,74.8842544555664,126.128273010254,34.9000015258789,20.5,14.4000015258789,28.716667175293,25.8999996185303
