"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",25.783332824707,26.8833332061768,24.966667175293,3510,651,24,65.1403656005859,1594,141,589,1314,10.3000001907349,76.8656692504883,75.9584808349609,32.7999992370605,19.3999996185303,13.3999996185303,25.1166667938232,25.9333324432373
"2",20.8791675567627,21.8166675567627,20.0833339691162,2892,541,34,64.6839752197266,1226,136,564,943,10.3083333969116,77.5062713623047,69.3298568725586,27.8999996185303,14.6000003814697,13.2999992370605,20.25,21
"3",20.220832824707,21.1666660308838,19.4166660308838,2809,545,21,67.485595703125,1247,107,579,990,10.2749996185303,77.8409042358398,69.4935607910156,27.2000007629395,14,13.2000007629395,19.6000003814697,20.2999992370605
"4",21.029167175293,21.9833335876465,20.2000007629395,2878,599,26,70.0123062133789,1237,118,654,961,10.2416667938232,77.5883865356445,70.564567565918,28,14.8000001907349,13.1999998092651,20.6666660308838,21.1333332061768
"5",20.2416667938232,21.2000007629395,19.4333343505859,2738,577,27,70.2765502929688,1189,97,525,978,10.3000001907349,77.4436111450195,70.4154205322266,27.2999992370605,14,13.2999992370605,19.9166679382324,20.3166656494141
"6",18.4333324432373,19.3166656494141,17.7000007629395,3104,542,32,69.0029220581055,1407,109,563,538,9.81666660308838,77.2965850830078,65.9660110473633,25,12.3000001907349,12.6999998092651,17.9166660308838,18.3833332061768
"7",17.3833332061768,18.1666660308838,16.6499996185303,3068,573,26,68.6634063720703,1353,108,550,508,9.60000038146973,78.6885223388672,62.0605697631836,23.6000003814697,11.3999996185303,12.2000007629395,17.2333335876465,17.2333335876465
"8",16.75,17.4500007629395,16.0499992370605,2981,569,25,70.1876525878906,1295,91,544,501,9.51666641235352,79.3055572509766,58.4652252197266,22.7999992370605,10.8000001907349,11.9999990463257,16.6666660308838,16.5499992370605
"9",16.1000003814697,16.75,15.4166669845581,3121,591,14,72.300895690918,1391,79,543,487,9.46666717529297,78.8888931274414,56.9688835144043,22.1000003814697,10.1000003814697,12,16.0499992370605,15.8666667938232
"10",15.8041667938232,16.4166660308838,15.1333332061768,2963,604,14,74.1336364746094,1453,95,506,410,9.57499980926514,80.4621810913086,53.7442893981934,21.7999992370605,9.89999961853027,11.8999996185303,15.7666664123535,15.5833330154419
"11",12.3500003814697,12.9499998092651,11.5166664123535,2876,376,68,43.8719825744629,973,285,832,478,9.26666641235352,80.5797119140625,57.1680145263672,17.8999996185303,6.40000009536743,11.5,12.5500001907349,12.3666667938232
"12",19.0499992370605,19.7999992370605,18.3166656494141,2513,393,13,66.9632949829102,1112,84,403,361,10.3333330154419,82.0105819702148,58.3484916687012,25.5,12.8999996185303,12.6000003814697,18.9500007629395,18.9833335876465
"13",17.220832824707,17.8666667938232,16.4500007629395,3017,437,40,46.5623016357422,1203,306,698,725,9.59166717529297,81.2853088378906,59.0245933532715,23.2000007629395,11.3999996185303,11.8000011444092,17.283332824707,17.4500007629395
