"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",15.6208333969116,17,13.8500003814697,1422,216,47,46.3517570495605,511,152,446,176,10.2749996185303,72.8723373413086,130.217620849609,22.1000003814697,8,14.1000003814697,16.9333343505859,14.0333337783813
"2",16.0499992370605,17.4500007629395,14.2333335876465,1330,209,39,50.1366539001465,490,130,424,144,10.5833330154419,72.4885787963867,132.132843017578,22.7000007629395,8.10000038146973,14.6000003814697,17.3500003814697,14.466667175293
"3",17.6291675567627,19,15.8500003814697,1163,190,31,52.6355400085449,431,106,381,122,11.1916666030884,73.6293869018555,128.831420898438,24.5,9.30000019073486,15.1999998092651,18.8833332061768,16.0833339691162
"4",17.6291675567627,19.033332824707,15.783332824707,1165,190,32,51.7378158569336,427,108,378,127,11.0583333969116,72.752197265625,132.946655273438,24.5,9.30000019073486,15.1999998092651,18.9166660308838,16.033332824707
"5",18.0249996185303,19.3999996185303,16.1833343505859,1104,183,26,54.8185806274414,415,96,369,107,11.3833332061768,73.9177551269531,131.088104248047,25,9.60000038146973,15.3999996185303,19.283332824707,16.466667175293
"6",18.0874996185303,19.3666667938232,16.6333332061768,1687,333,25,67.7460174560547,729,86,551,86,10.9250001907349,73.8175659179688,111.337417602539,24.7000007629395,9.89999961853027,14.8000011444092,19.1666660308838,16.6333332061768
"7",18.1458339691162,19.533332824707,16.3500003814697,1094,182,29,53.8174476623535,406,98,360,113,11.2916660308838,73.3225021362305,129.640396118164,25.1000003814697,9.69999980926514,15.4000005722046,19.3999996185303,16.6166667938232
"8",18.625,20,16.8166656494141,1041,176,25,55.5492477416992,390,90,349,102,11.6500005722046,74.2038192749023,130.165985107422,25.7000007629395,10,15.7000007629395,19.8833332061768,17.0666656494141
"9",18.6208324432373,20.0833320617676,16.716667175293,1283,193,49,39.6549911499023,419,162,376,198,10.375,72.0486145019531,138.882858276367,25.2999992370605,10.8999996185303,14.3999996185303,19.966667175293,16.966667175293
"10",18.8250007629395,20.216667175293,17,1015,172,26,54.4860343933105,374,90,335,106,11.4833335876465,73.6111145019531,131.209396362305,25.8999996185303,10.3000001907349,15.5999994277954,20.0666656494141,17.2666664123535
"11",18.8624992370605,20.25,17.0166664123535,1023,172,27,53.80810546875,376,92,337,109,11.4583339691162,73.4508590698242,131.497055053711,25.8999996185303,10.3000001907349,15.5999994277954,20.1000003814697,17.3166675567627
"12",19.4541664123535,20.783332824707,17.716667175293,1319,188,55,35.5751266479492,420,182,384,223,10.2916669845581,72.9905395507812,126.911888122559,26,11.8999996185303,14.1000003814697,20.7000007629395,17.9166660308838
"13",18.9333343505859,20.3666667938232,17.033332824707,1162,182,40,44.5433158874512,396,132,356,156,11.0333337783813,72.5877227783203,136.886352539062,25.8999996185303,10.6999998092651,15.1999998092651,20.25,17.3000011444092
"14",19.158332824707,20.6166667938232,17.25,1242,189,46,40.7416915893555,409,154,368,181,10.75,72.6351318359375,138.594116210938,26,11.1999998092651,14.8000001907349,20.4833335876465,17.5166664123535
"15",19.1791667938232,20.6333332061768,17.2999992370605,1279,191,49,38.757740020752,414,165,374,198,10.4750003814697,72.2413787841797,137.617034912109,25.8999996185303,11.3999996185303,14.5,20.5166664123535,17.5499992370605
"16",20.2291660308838,21.6499996185303,18.3833332061768,1333,190,55,34.8390998840332,419,185,383,217,10.3916664123535,72.1643524169922,134.729675292969,27,12.6000003814697,14.3999996185303,21.533332824707,18.6499996185303
"17",20.341667175293,21.7000007629395,18.6000003814697,1348,219,15,64.5805816650391,564,63,483,63,11.4000005722046,73.0769195556641,125.09693145752,27.6000003814697,12,15.6000003814697,21.4333343505859,18.6000003814697
"18",20.4541664123535,21.75,18.75,1481,238,18,63.8265380859375,619,73,529,73,11.1750001907349,74.0066223144531,121.887771606445,27.5,12.3999996185303,15.1000003814697,21.5,18.75
"19",21.5249996185303,22.8166656494141,19.9166679382324,1253,207,14,64.6370010375977,518,59,447,59,11.7333335876465,74.7346115112305,116.062271118164,28.7999992370605,13.1000003814697,15.6999988555908,22.5666656494141,19.9166679382324
"20",21.4874992370605,23,19.5499992370605,1245,186,52,36.4911842346191,409,175,327,194,10.8916664123535,71.6557006835938,141.600021362305,28.7000007629395,13.5,15.2000007629395,22.0499992370605,19.8666667938232
"21",21.5791664123535,23.1000003814697,19.6333332061768,1246,186,53,36.4773941040039,410,176,326,193,10.9250001907349,71.8750076293945,141.845916748047,28.7999992370605,13.6000003814697,15.1999988555908,22.1499996185303,19.9500007629395
"22",22.5375003814697,23.8166656494141,20.8333339691162,1258,174,44,40.4865036010742,430,152,395,161,10.9583330154419,75.0570831298828,120.191612243652,29.2999992370605,14.6999998092651,14.5999994277954,23.6666660308838,21.1499996185303
"23",22.3166656494141,23.5166664123535,20.7333335876465,1515,212,40,52.4745559692383,584,134,454,134,11.0666666030884,74.7747802734375,114.660232543945,29.2999992370605,14.5,14.7999992370605,23.283332824707,20.7333335876465
"24",22.5416660308838,24.0833339691162,20.5499992370605,1224,194,51,41.8981666564941,433,173,288,176,11.1666669845581,72.0430145263672,144.86408996582,30,14.5,15.5,23.1333332061768,20.9333343505859
"25",22.6916656494141,23.8999996185303,21.1000003814697,1379,234,14,65.564811706543,563,62,424,62,11.6333332061768,76.0348587036133,113.554817199707,29.8999996185303,14.6000003814697,15.2999992370605,23.6166667938232,21.1000003814697
"26",23.8833332061768,25.1166667938232,22.2666664123535,1000,153,21,55.6826553344727,386,82,331,82,10.8666667938232,75.9906692504883,114.779106140137,30.6000003814697,16.2999992370605,14.3000011444092,24.9333343505859,22.2666664123535
"27",23.1124992370605,24.716667175293,21.0833339691162,1203,194,51,42.8756675720215,431,174,272,175,11.2083330154419,71.8482894897461,148.479019165039,30.7000007629395,15.1000003814697,15.6000003814697,23.716667175293,21.4833335876465
"28",23.7041664123535,25.0499992370605,21.9333324432373,1438,204,36,54.1246604919434,553,120,435,120,11.2583332061768,74.067985534668,128.159332275391,31,15.8000001907349,15.1999998092651,24.7666664123535,21.9333324432373
"29",24.2749996185303,25.4833335876465,22.7000007629395,1247,211,11,66.9672927856445,512,49,393,49,11.9833335876465,76.8162384033203,113.127044677734,31.7000007629395,16.1000003814697,15.6000003814697,25.1833343505859,22.7000007629395
