Species,manually.checked.name.against.original.pub,exhaustive.max.svl,Authority,Annotation_Code,Annotation_Descrip,Recognition,subclade.poe.et.al.2017,region.highest,region.alt,region.alt.2,region.specific,region.Poe.et.al.2017.mod,region.Poe.et.al.2017.notes,island.type,ecomorph.DLM,ecomorph.DLM.notes,ecomorph.by.island,ecomorph.by.island.alt,ecomorph.Losos.2009,ecomorph.Williams.1983,ecomorph.Rodriguez.Schettino.et.al.2010,ecomode.Nicholson.et.al.2012,ecomorph.Poe.and.Anderson.2019
acutus,not checked,,"HALLOWELL, 1856",,,RD,Ctenonotus,I,I,I,St.Croix,small Caribbean islands,"DLM differing from Poe et al. 2017 in regarding acutus as ""small Caribbean islands"" instead of Lesser Antilles (St. Croix not part of the LA arc, geologically, nor Puerto Rico Bank)",remote.overwater,i.unspecified,,,,Unspecified,,,,
aeneus,not checked,,"GRAY, 1840",,,RD,Dactyloa,I,I,I,,Lesser Antilles,,small.island.archipelago,i.unspecified,,,,Unspecified,,,,
aequatorialis,not checked,,"WERNER, 1894",,,RD,Dactyloa,M,M,M1.Dactyloa,,Andes,,,m.unspecified,,,,,,,,
agassizi,checked,,"STEJNEGER, 1900",,,RD,Dactyloa,I,I,I,Malpelo.Island,small Pacific islands,DLM new category for oceanic Pacific islands,remote.overwater,i.unspecified,,,,"Rocky surfaces, large",,,,
agueroi,checked,,"(DIAZ, NAVARRO & GARRIDO, 1998)",,,RD,Xiphosurus,I,I,I,Cuba,Cuba,,large.island,twig-giant,twig-giant by extension because member of Chamaeleolis clade,Cuba.TwG.1,Cuba.Hispaniola.TwG.1,Unspecified,,,,
ahli,checked,,"BARBOUR, 1925",,,RD,Trachypilus,I,I,I,Cuba,Cuba,,large.island,trunk-ground,,Cuba.TG.1,Cuba.TG.1,Trunk-Ground,,Trunk-ground,,
alayoni,checked,,"ESTRADA & HEDGES, 1995",,,RD,Ctenocercus,I,I,I,Cuba,Cuba,,large.island,twig,,Cuba.TW.1,Cuba.Hispaniola.TW.1,Twig,,,,
alfaroi,checked,,"GARRIDO & HEDGES, 1992",,,RD,Ctenocercus,I,I,I,Cuba,Cuba,,large.island,grass-bush,,Cuba.GB.1,Cuba.GB.1,Grass-Bush,,,,
aliniger,not checked,,"MERTENS, 1939",,,RD,Deiroptyx,I,I,I,Hispaniola,Hispaniola,,large.island,trunk-crown,,Hispaniola.TC.1,Hispaniola.TC.1,Trunk-Crown,Trunk-crown II,,,
allisoni,checked,,"BARBOUR, 1928",,,RD,Ctenocercus,I,I,I,Cuba,Cuba,,large.island,trunk-crown,,Cuba.TC.1,Cuba.TC.1,Trunk-Crown,,Trunk-crown,,
allogus,not checked,,"BARBOUR & RAMSDEN, 1919",,,RD,Trachypilus,I,I,I,Cuba,Cuba,,large.island,trunk-ground,,Cuba.TG.1,Cuba.TG.1,Trunk-Ground,,Trunk-ground,,
alocomyos,not checked,,"(KƒHLER, VARGAS & LOTZKAT, 2014)",LUMP_P,tropidolepis/pachypus complex. See Poe 2019 unpub. for criticism of recognition of this species,RD,Draconura,M,M,M2.Draconura,,Lower Central America,,,m.unspecified,Losos 2009 assignment by extension (Kohler et al 2014 split this taxon from tropidolepis),,,"Montane, low to ground (by extension)",,,,
altae,not checked,,"DUNN, 1930",,,RD,Draconura,M,M,M2.Draconura,,Lower Central America,,,m.unspecified,,,,Low to ground,,,,
altavelensis,not checked,,"NOBLE & HASSLER, 1933",,,RD,Ctenonotus,I,I,I,Hispaniola,Hispaniola,DLM agreeing with Poe et al. 2017 as Isla Beata part of Hispaniola bank,satellite.endemic,trunk,,Hispaniola.T.1,Hispaniola.T.1,Trunk,Trunk (by extension),,,
altitudinalis,not checked,,"GARRIDO, 1985",,,RD,Ctenocercus,I,I,I,Cuba,Cuba,,large.island,trunk-crown,DLM thinks twig also a reasonable assignment,Cuba.TC.1,Cuba.TC.1,Trunk-Crown,,Twig dwarf (by extension),,
alumina,not checked,,"HERTZ, 1976",,,RD,Schmidtanolis,I,I,I,Hispaniola,Hispaniola,,large.island,grass-bush,,Hispaniola.GB.2,Hispaniola.GB.2,Grass-Bush,Grass,,,
alutaceus,not checked,,"COPE, 1861",,,RD,Ctenocercus,I,I,I,Cuba,Cuba,,large.island,grass-bush,,Cuba.GB.1,Cuba.GB.1,Grass-Bush,,Grass-bush,,
alvarezdeltoroi,checked,,"NIETO MONTES DE OCA, 1996",,,RD,Draconura,M,M,M2.Draconura,,Upper Central America,Borderline for including Nearctic as well,,m.rock-wall,,,,,,,,
amplisquamosus,not checked,,"(MCCRANIE, WILSON & WILLIAMS, 1993)",,,RD,Draconura,M,M,M2.Draconura,,Upper Central America,,,m.unspecified,,,,,,,,
anatoloros,not checked,,"UGUETO, RIVAS, BARROS, SNCHEZ-PACHECO & GARCA-P€REZ, 2007",,,RD,Dactyloa,M,M,M1.Dactyloa,,Andes,,,m.unspecified,,,,,,,,
anchicayae,not checked,,"POE, VELASCO, MIYATA & WILLIAMS, 2009",,,RD,Dactyloa,M,M,M1.Dactyloa,,Choco,,,m.unspecified,,,,,,,,
anfiloquioi,checked,,"GARRIDO, 1980",,,RD,Ctenocercus,I,I,I,Cuba,Cuba,,large.island,grass-bush,,Cuba.GB.1,Cuba.GB.1,Grass-Bush,,Grass-bush,,
angusticeps,not checked,,"HALLOWELL, 1856",,,RD,Ctenocercus,I,I,I,Cuba,Cuba,,large.island,twig,,Cuba.TW.1,Cuba.Hispaniola.TW.1,Twig,,Trunk-crown dwarf,,
anisolepis,not checked,,"SMITH, BURLEY & FRITTS, 1968",LUMP,sister to caceresae and crassulus [Poe et al 2017 argue not valid; Hofmann and Townsend 2017 claim as valid]; Poe 2019 (unpublished) states that he is preparing evidence to synonymize this species (details not given).,RD,Draconura,M,M,M2.Draconura,,Upper Central America,DLM from Hofmann and Townsend 2017 Fig. 1,,m.unspecified,,,,,,,,
annectens,not checked,,"WILLIAMS, 1974",,,RD,Draconura,M,M,M2.Draconura,,Caribbean and inter-Andean valleys,,,m.ground,"DLM tentative assignment based on Barros et al 2007 (who report 5 individuals seen on stones, and 8 individuals on small vines or lower portions of tree trunks)",,,,,,,
anoriensis,not checked,,"VELASCO, GUTI€RREZ-CRDENAS & QUINTERO-ANGEL, 2010",,,RD,Dactyloa,M,M,M1.Dactyloa,,Andes,,,m.unspecified,,,,,,,,
antioquiae,not checked,2019.12.29,"WILLIAMS, 1985",,,RD,Dactyloa,M,M,M1.Dactyloa,,Andes,,,m.unspecified,,,,,,,,
antonii,checked,2019.12.29,"BOULENGER, 1908",,,RD,Draconura,M,M,M2.Draconura,,Andes,,,m.unspecified,,,,,,,,
apletolepis,not checked,,"KƒHLER & HEDGES, 2016",LUMP,"Poe 2019 (unpub) convincingly argues that this is very likely a junior synonym of aliniger. Because images presented in type description don't support that paper's stated diagnosis, and because genetically very similar (indeed paraphyletic) to aliniger, I am proceeding to score this as LUMP. Also, DLM collected a paratype of this species (MCZ-R 190696) and found no reason to suspect it was not a typical aliniger.",RD,Deiroptyx,I,I,I,Hispaniola,Hispaniola,,large.island,trunk-crown,split from aliniger by Kohler and Hedges 2016,Hispaniola.TC.1,Hispaniola.TC.1,Trunk-Crown (by extension),Trunk-crown II (by extension),,,
apletophallus,not checked,,"KƒHLER & SUNYER, 2008",,,RD,Draconura,M,M,M2.Draconura,,Lower Central America,,,m.unspecified,Losos 2009 assignment by extension (Kohler and Sunyer 2008 split this species from limifrons),,,Near the ground; often narrow diameter vegetation (by extension),,,,
apollinaris,not checked,,"BOULENGER, 1919",,,RD,Dactyloa,M,M,M1.Dactyloa,,Andes,,,m.unspecified,,,,,,,,
aquaticus,not checked,,"TAYLOR, 1956",,,RD,Draconura,M,M,M2.Draconura,,Lower Central America,,,m.aquatic,,,,Aquatic anole,,,,
arenal,not checked,,"KÉHLER & VARGAS, 2019",,,RD,Draconura,M,M,M2.Draconura,,Lower Central America,DLM from type description,,m.unspecified,,,,,,,,
argenteolus,not checked,,"COPE, 1861",,,RD,Ctenocercus,I,I,I,Cuba,Cuba,,large.island,i.rock-wall,,,,Unspecified,,Rockwall,,
argillaceus,not checked,,"COPE, 1862",,,RD,Ctenocercus,I,I,I,Cuba,Cuba,,large.island,i.unspecified,,,,Unspecified,,Trunk,,
aridius,not checked,,"(KƒHLER, ZIMMER, MCGRATH & HEDGES, 2019)",LUMP,Kohler et al. 2019 cybotes clade mitochondrial lineage,RD,Audantia,I,I,I,Hispaniola,Hispaniola,,large.island,trunk-ground,split from cybotes by Kohler et al. 2019,Hispaniola.TG.1,Hispaniola.TG.1,Trunk-Ground (by extension),Trunk-ground (by extension),,,
armouri,checked,,"(COCHRAN, 1934)",,,RD,Audantia,I,I,I,Hispaniola,Hispaniola,,large.island,trunk-ground,,Hispaniola.TG.1,Hispaniola.TG.1,Trunk-Ground,Other,,,
auratus,not checked,,"DAUDIN, 1802",,,RD,Draconura,M,M,M2.Draconura,,"Choco, Lower Central America, Caribbean and inter-Andean valleys, Amazonia",,,m.grass-bush,,,,Grass-Bush anole,,,,
