"","species","sex","svl_avg.d","svl_se.d","Area_avg.d","Area_se.d","Perim._avg.d","Perim._se.d","Circ._avg.d","Circ._se.d","AR_avg.d","AR_se.d","Round_avg.d","Round_se.d","Solidity_avg.d","Solidity_se.d","var.area_avg.d","var.area_se.d","max.area_avg.d","max.area_se.d","min.area_avg.d","min.area_se.d","svl_avg.v","svl_se.v","Area_avg.v","Area_se.v","Perim._avg.v","Perim._se.v","Circ._avg.v","Circ._se.v","AR_avg.v","AR_se.v","Round_avg.v","Round_se.v","Solidity_avg.v","Solidity_se.v","var.area_avg.v","var.area_se.v","max.area_avg.v","max.area_se.v","min.area_avg.v","min.area_se.v","area.d.minus.v"
"1","aliniger","Fe",61.0333333333333,1.08480925102578,-1.36638370729342,0.0421994973993639,-0.0722644672982594,0.0374336157481629,0.945444444444444,0.0095389606114778,1.27688888888889,0.0164624526021796,0.796259259259259,0.00518240666296093,0.991148148148148,0.00189686044848917,0.04973737627891,0.0157603966880081,-1.03024262677842,0.10386440371131,-1.63264825698968,0.073652488147057,61.0333333333333,1.08480925102578,-0.796904743526125,0.0547356291199498,0.513277286115461,0.0627126220232068,0.915,0.0146356293370164,1.19103703703704,0.0290018683471752,0.847666666666667,0.0169138460824382,0.981703703703704,0.00620312324537053,0.00829781294302831,0.00321206729618425,-0.631320217993513,0.0552867320092126,-0.909558943596833,0.0567044037836451,-0.569478963767293
"2","allisoni","Fe",88.3533333333333,4.27244010425476,-0.644227308753696,0.0740688988630932,0.667977171468768,0.0718604586577938,0.912222222222222,0.00744472083511245,1.27266666666667,0.033103342364785,0.803925925925926,0.0165588280799087,0.980481481481482,0.00352377774585667,0.0166142835836752,0.00763065025378268,-0.489002809772238,0.0667998424530647,-0.819697860097893,0.118384255459457,88.3533333333333,4.27244010425476,-0.545295471248069,0.0284733814445987,0.776865612932873,0.023209519339379,0.893777777777778,0.013614171991434,1.22133333333333,0.036620565856106,0.827962962962963,0.0229977931785568,0.966888888888889,0.0104391239403494,0.00889009630255875,0.00259123063159849,-0.371111599708517,0.0511575715014501,-0.700193689812988,0.0465089712672853,-0.0989318375056264
"3","allogus","Fe",53.5725,0.936041087061175,-1.95116920431164,0.0535379765783866,-0.636310107811766,0.0557462488747243,0.912194444444444,0.0100034330526828,1.31702777777778,0.0426250128223675,0.778861111111111,0.0227981559701187,0.979888888888889,0.00553384647330619,0.0710840266260513,0.0234718584472557,-1.49323056338876,0.0666295601989787,-2.29319665893319,0.0718946464336116,53.5725,0.936041087061175,-1.19712407767755,0.0255032197920357,0.125388371863374,0.0319797396234112,0.893444444444444,0.0146037511388377,1.36916666666667,0.0348146325842355,0.74275,0.0192798523272694,0.976527777777778,0.00489233359283063,0.0118942510363951,0.00278113227645024,-1.03037774762405,0.0343119807265816,-1.37667960282663,0.027396145557244,-0.754045126634086
"4","altae","Fe",44.44,0.0599999999999987,-2.08791573058877,0.042375650272672,-0.761326704332823,0.0406651932923468,0.893055555555555,0.00272222222222224,1.39861111111111,0.0723888888888889,0.73,0.039,0.978722222222222,0.00261111111111112,0.0715655401583084,0.0002574127551365,-1.7058535326371,0.0151561554541086,-2.48092256496341,0,44.44,0.0599999999999987,-1.41199621557872,0.024842745515414,-0.106669357077887,0.0216349508515499,0.924611111111111,0.0048333333333333,1.26066666666667,0.0234444444444444,0.800777777777778,0.0141111111111111,0.983666666666667,0.00411111111111112,0.0140173603449214,0.000404590755188931,-1.24449362796418,0.00602438789476511,-1.6352577497976,0.0131609333713555,-0.67591951501005
"5","altavelensis","Fe",51.145,0.00499999999999901,-1.84146094428528,0.143920028714153,-0.531505739456095,0.149132245803147,0.9185,0.0136111111111111,1.23211111111111,0.0252222222222223,0.824777777777778,0.0231111111111111,0.977222222222222,0.00355555555555553,0.0446070052520727,0.000526426862685718,-1.52869069086312,0.162006686319869,-2.1684617503654,0.186803600457555,51.145,0.00499999999999901,-1.17964966084512,0.00120626743907792,0.131750039020058,0.0113730678177602,0.915833333333333,0.0188333333333333,1.32133333333333,0.0791111111111111,0.776888888888889,0.037,0.9865,0.0058333333333333,0.011254873672927,0.00547367419709453,-0.988993723239332,0.0880888206985539,-1.32968104408142,0.00714334311101394,-0.661811283440159
"6","altitudinalis","Fe",44.4,NA,-1.72951463379625,NA,-0.436231821045949,NA,0.953222222222222,NA,1.26044444444444,NA,0.798,NA,0.994333333333333,NA,0.0225470628809624,NA,-1.55054639460591,NA,-2.09985253893996,NA,44.4,NA,-1.28833558755378,NA,0.00849269423084261,NA,0.939555555555556,NA,1.225,NA,0.821,NA,0.992222222222222,NA,0.00725172967234824,NA,-1.16139390015578,NA,-1.41510891753821,NA,-0.441179046242475
"7","alumina","Fe",37.645,0.0250000000000021,-1.59822003371921,0.0366492829484937,-0.275160780944803,0.0241017639700416,0.897722222222222,0.0179444444444444,1.22033333333333,0.0548888888888889,0.843722222222222,0.0252777777777778,0.974611111111111,0.00761111111111112,0.182302410024165,0.128197051711736,-1.16001805949934,0.0609055206644377,-2.16125664073153,0.25290022791962,37.645,0.0250000000000021,-1.12432698029868,0.0777560719307814,0.196051192196536,0.081270266893979,0.8965,0.0058333333333333,1.17566666666667,0.00488888888888894,0.856055555555556,0.00327777777777782,0.967,0.000111111111111062,0.0036339908537243,0.000153744685437916,-1.04687825927864,0.0848039306417409,-1.22748264999366,0.0811652689232172,-0.473893053420529
"8","alutaceus","Fe",35.84,NA,-1.78379843144285,NA,-0.474074710077182,NA,0.911222222222222,NA,1.30877777777778,NA,0.768,NA,0.981555555555556,NA,0.0514568959044756,NA,-1.50796749043576,NA,-2.06758327837118,NA,35.84,NA,-1.63652336757093,NA,-0.335730830582343,NA,0.937,NA,1.19666666666667,NA,0.844,NA,0.992111111111111,NA,0.0173560137252825,NA,-1.45938561620893,NA,-1.90835641281191,NA,-0.147275063871914
"9","amplisquamosus","Fe",44.19,0.292802550079972,-0.786764669118054,0.0803073370874583,0.537023622489116,0.0716821375858894,0.891444444444444,0.0243861257187774,1.31125925925926,0.0518239475180265,0.782444444444444,0.0247681429531928,0.974851851851852,0.00736757810498533,0.144052841647702,0.0925637338656197,-0.344915296853977,0.0315260528014684,-1.36587094016632,0.273968078571023,44.19,0.292802550079972,-0.801993837840055,0.0247211809098196,0.529859535758499,0.0250633913230047,0.876481481481482,0.00194823264145739,1.26696296296296,0.0354901211162345,0.797962962962963,0.0183868280520645,0.957925925925926,0.00517048179865072,0.00517374827915007,0.000924790798056153,-0.692413735421835,0.0249696996450468,-0.943729921486798,0.0187154481508328,0.0152291687220005
"10","anfiloquioi","Fe",41.4,NA,-1.82775537486803,NA,-0.497730537718224,NA,0.880333333333333,NA,1.381,NA,0.739555555555556,NA,0.968111111111111,NA,0.0567830724180894,NA,-1.59709160613891,NA,-2.30258509299405,NA,41.4,NA,-1.76739955355824,NA,-0.463485644872814,NA,0.926888888888889,NA,1.23833333333333,NA,0.827666666666667,NA,0.981666666666667,NA,0.0306159043578257,NA,-1.52880383863604,NA,-2.03727096746296,NA,-0.0603558213097874
