"","species","sex","svl_avg.d","svl_se.d","Area_avg.d","Area_se.d","Perim._avg.d","Perim._se.d","Circ._avg.d","Circ._se.d","AR_avg.d","AR_se.d","Round_avg.d","Round_se.d","Solidity_avg.d","Solidity_se.d","var.area_avg.d","var.area_se.d","max.area_avg.d","max.area_se.d","min.area_avg.d","min.area_se.d","svl_avg.v","svl_se.v","Area_avg.v","Area_se.v","Perim._avg.v","Perim._se.v","Circ._avg.v","Circ._se.v","AR_avg.v","AR_se.v","Round_avg.v","Round_se.v","Solidity_avg.v","Solidity_se.v","var.area_avg.v","var.area_se.v","max.area_avg.v","max.area_se.v","min.area_avg.v","min.area_se.v","area.d.minus.v"
"1","ahli","Fe",44.495,0.895,-5.74727991595332,0.0251530506397195,-4.45170476907697,0.0268358732734932,0.937111111111111,0.0036666666666666,1.28077777777778,0.0451111111111111,0.792444444444445,0.0278888888888889,0.989055555555556,0.000277777777777766,0.0333133139817384,0.0254753520183463,-5.51423863639237,0.165903904393097,-5.93080223326181,0.0156578778534757,44.495,0.895,-4.6559385508474,0.0261999305897569,-3.33233144289659,0.035264138713103,0.891555555555556,0.0157777777777778,1.41972222222222,0.107722222222222,0.715,0.0556666666666666,0.983555555555556,0.00411111111111112,0.00478796109857817,0.000191328947924184,-4.5479113432518,0.0293709925647203,-4.73658221271495,0.0323621142170443,-1.09134136510592
"2","aliniger","Fe",45.69,1.33552736150681,-5.4685337606013,0.0744169009239497,-4.17263085175508,0.0719631810257311,0.942481481481481,0.00477705995181814,1.25914814814815,0.0338384161683012,0.800444444444444,0.0223211686051881,0.991518518518518,0.00215675160911713,0.0476701640255354,0.00718512938212843,-5.12940089347667,0.0976893603127856,-5.81683793876926,0.0867243739599173,45.69,1.33552736150681,-4.94651765523128,0.148008448334254,-3.63634897054185,0.151086859234236,0.914592592592593,0.0106574677412457,1.19422222222222,0.0410709012567432,0.84937037037037,0.0240844137340073,0.984592592592593,0.00488945002391387,0.00898113219628563,0.00415905967131094,-4.74777725710994,0.0893024123679456,-5.04567230524482,0.160034605664804,-0.52201610537002
"3","allisoni","Fe",60.778,2.09284590928238,-5.22885149220899,0.0376821208143551,-3.9242691984323,0.0426318003748801,0.9252,0.0144867500125434,1.31715555555556,0.0370589387094612,0.778177777777778,0.0164812501024125,0.985,0.00558370645519423,0.0148084331693123,0.00309463410343225,-5.0694746883102,0.0511762962599005,-5.43617970908605,0.0322500497573454,60.778,2.09284590928238,-4.97316331705226,0.0183226731631418,-3.66691020559331,0.0183951814503973,0.922488888888889,0.00675347190088544,1.19122222222222,0.0244195074823186,0.846977777777778,0.016874423629846,0.982333333333333,0.00466812146636004,0.00644372807296339,0.00265806592361987,-4.85309024942428,0.0379043052484463,-5.08699689425366,0.016931317964659,-0.255688175156721
"4","allogus","Fe",43.2233333333333,0.757617610965086,-5.61528638433936,0.0714863442416875,-4.32028598879235,0.0736485217688485,0.944740740740741,0.00597537241063819,1.20785185185185,0.0208207451681077,0.837277777777778,0.0126102626570518,0.987444444444444,0.00420875043770876,0.0529559071330106,0.0230444131235754,-5.28968703088873,0.0614702317618315,-5.89681366550489,0.098050691833576,43.2233333333333,0.757617610965086,-4.72478351453766,0.0379109341274729,-3.39993947597708,0.0404536322733526,0.888759259259259,0.00958717493229585,1.374,0.0222829725170932,0.73712962962963,0.0113099037653926,0.977037037037037,0.00376081887005852,0.00938948121157256,0.00225234840926534,-4.58278162256225,0.0477355734900365,-4.89137405723996,0.0619114898337206,-0.890502869801696
"5","altae","Fe",43.725,0.945,-5.44050006138133,0.127073802122766,-4.13563849861176,0.121850457847323,0.927222222222222,0.00944444444444442,1.21394444444444,0.0272777777777777,0.832222222222222,0.0185555555555555,0.983111111111111,0.00266666666666665,0.0780701945847855,0.00845500783753031,-5.08873842973439,0.0909884081377239,-5.97890523547615,0.0797505611721565,43.725,0.945,-5.06198247611848,0.0534865220792895,-3.7481345927622,0.0443527497824523,0.909555555555556,0.0165555555555555,1.38822222222222,0.0335555555555556,0.731333333333333,0.0137777777777778,0.986111111111111,0.00733333333333336,0.0268613072646741,0.0154893488670119,-4.88637455293338,0.0310900508766583,-5.34363600516238,0.103132075674863,-0.378517585262845
"6","altavelensis","Fe",43.58,NA,-5.95663761122454,NA,-4.66975289988798,NA,0.951777777777778,NA,1.24855555555556,NA,0.810777777777778,NA,0.991111111111111,NA,0.0489418306347002,NA,-5.58055753600538,NA,-6.18875519816762,NA,43.58,NA,-4.93948571424471,NA,-3.6457169111078,NA,0.945888888888889,NA,1.14955555555556,NA,0.874,NA,0.991,NA,0.0137097134259772,NA,-4.75765475770289,NA,-5.07644342240546,NA,-1.01715189697983
"7","alumina","Fe",35.4033333333333,0.369789730041878,-4.92948416734918,0.0984293912005753,-3.60162604439312,0.09955658073343,0.88237037037037,0.0119681218093461,1.31392592592593,0.0711709624670841,0.778333333333333,0.0396317929489151,0.977518518518519,0.00295670635722475,0.0745026469574047,0.0244841435393871,-4.56517409058753,0.0412631623000307,-5.38425259825014,0.132023497157081,35.4033333333333,0.369789730041878,-4.49258170159416,0.0105477453784592,-3.16526501268203,0.0145809256550523,0.884296296296296,0.0215973566944327,1.18837037037037,0.0230237248663533,0.846777777777778,0.0159092074176697,0.971555555555556,0.0096265664643737,0.0125063037829484,0.00909869532692932,-4.37883177415338,0.0468833071168507,-4.68205995231613,0.0970138626792638,-0.436902465755024
"8","alutaceus","Fe",34.065,0.775000000000002,-5.02692544660097,0.168094678607395,-3.71654813571892,0.167371943587787,0.918277777777778,0.00094444444444447,1.27622222222222,0.013,0.802444444444445,0.00122222222222218,0.985888888888889,0.000111111111111117,0.0686483443925524,0.0208369287813496,-4.71240144529408,0.10150352520973,-5.37934552078514,0.193494809172967,34.065,0.775000000000002,-5.06085049503129,0.0219508480326493,-3.74005062771032,0.0174582547350448,0.895388888888889,0.00605555555555559,1.29733333333333,0.0699999999999999,0.778777777777778,0.0401111111111111,0.981166666666667,0.00872222222222219,0.0216900716227183,0.0128610573619013,-4.86123880461503,0.0263517345617092,-5.28464630552864,0.130970570772754,0.0339250484303193
"9","alvarezdeltoroi","Fe",60.46,8.27,-5.59937346772411,0.00800557940311197,-4.29243208794894,0.00104573734543889,0.920777777777778,0.0202222222222222,1.32416666666667,0.0323888888888889,0.762888888888889,0.019,0.986055555555555,0.00905555555555554,0.0440528956271321,0.00731631628542344,-5.25628606563743,0.0501361698134772,-5.90757676193282,0.0289722936303494,60.46,8.27,-5.28223149999012,0.0210082056107397,-3.98628007967228,0.0222831313952778,0.941944444444444,0.00138888888888888,1.18033333333333,0.0163333333333333,0.858055555555556,0.0111666666666667,0.987,0.00388888888888889,0.0160247556428537,0.00388711869890417,-5.06880019331735,0.0630299060287713,-5.49792772899455,0.0142329847031899,-0.31714196773399
"10","amplisquamosus","Fe",44.27,0.897793591719908,-4.42769117026307,0.0854930812942032,-3.10665873391832,0.0850664132929902,0.89537037037037,0.00745089088863161,1.25796296296296,0.0110543612482274,0.804185185185185,0.00710368053137999,0.979074074074074,0.0030794241707816,0.025321860521456,0.00852336245854976,-4.21666580572542,0.0376759287993992,-4.68325134219405,0.126567257665093,44.27,0.897793591719908,-4.49353778300269,0.0134770793770734,-3.17791843345093,0.0153232857267677,0.905111111111111,0.00577813389215933,1.3452962962963,0.00765762573023892,0.748444444444444,0.00680685928555405,0.985851851851852,0.00257587200731705,0.00343897426923853,0.000680089076336266,-4.40335054993833,0.0154804716221947,-4.60521832246152,0.0129933158127677,0.0658466127396169
"11","anfiloquioi","Fe",38.03,NA,-5.43163449052102,NA,-4.13412469671101,NA,0.933666666666667,NA,1.23122222222222,NA,0.821666666666667,NA,0.981444444444444,NA,0.0260763117627786,NA,-5.12634014506907,NA,-5.56999174256953,NA,38.03,NA,-5.17234781273199,NA,-3.874326447023,NA,0.938111111111111,NA,1.16922222222222,NA,0.858222222222222,NA,0.992111111111111,NA,0.00723148060792107,NA,-5.05348423947838,NA,-5.31457893068653,NA,-0.259286677789032
"12","apletophallus","Fe",44.8366666666667,0.526698311285609,-5.67058086349703,0.0562900780342192,-4.37572609416254,0.0588777443606787,0.943037037037037,0.0092202883588923,1.23196296296296,0.0445496132240088,0.819296296296296,0.0296842320957878,0.990407407407407,0.00213180243424567,0.020386595001617,0.00741492196527261,-5.47494288669555,0.0706180842603393,-5.87534454555437,0.0617243776173942,44.8366666666667,0.526698311285609,-5.21088449926913,0.0164111912251233,-3.91556745151303,0.0150726208601062,0.941259259259259,0.00396607700427523,1.24759259259259,0.0322064030985874,0.807481481481481,0.0209236642501159,0.993851851851852,0.00124115526519377,0.00497965906630498,0.00133931021485373,-5.10943284540942,0.0231997903708118,-5.32482317120542,0.00762904258829606,-0.459696364227894
"13","aquaticus","Fe",57.7771428571429,0.718400055300515,-5.42080784712006,0.0414212864646871,-4.12017380087604,0.0414223323964729,0.931587301587302,0.00537433064810642,1.22607936507937,0.0260928982331288,0.825746031746032,0.0158357180843231,0.988587301587302,0.00204802916199737,0.0383798345881796,0.00718268804580453,-5.15818430361914,0.028789897298689,-5.69821528342801,0.0661897723293437,57.7771428571429,0.718400055300515,-4.99692705109552,0.0162588192194103,-3.67131623383444,0.0148044908804036,0.886904761904762,0.00801194832937569,1.25363492063492,0.0219461383618637,0.805619047619048,0.013604751935124,0.977333333333333,0.00250243855202144,0.0101105368912711,0.00217340842828481,-4.84708014303292,0.0243128172625599,-5.14890166118042,0.0311231626749011,-0.423880796024545
"14","argenteolus","Fe",46.7975,0.490312400414267,-6.00772133486631,0.11356367477344,-4.70754928252393,0.109000971063886,0.929277777777778,0.0101155362721941,1.31069444444444,0.0649665056943955,0.781833333333333,0.0357480466530155,0.986444444444444,0.00455555555555555,0.025425303113515,0.00638570277734567,-5.74489495205423,0.136394570405323,-6.2027152202788,0.102465385886274,46.7975,0.490312400414267,-5.17348852756457,0.0799242961970654,-3.87002433274737,0.0797453317666418,0.927166666666667,0.00438982643525769,1.28025,0.0288967715385265,0.790277777777778,0.0156465920769156,0.991194444444444,0.00122085361083736,0.0162958568021911,0.00427098367171894,-4.93299635636972,0.0751067140609415,-5.34413567292536,0.0993420999756479,-0.834232807301738
"15","argillaceus","Fe",34.205,1.59318601132029,-5.60204945868906,0.09781998253528,-4.30049207674139,0.0880621417158292,0.934361111111111,0.0145565008881598,1.30722222222222,0.0911979148379056,0.782305555555556,0.0494359205095396,0.988305555555556,0.00273348953182121,0.0382432879541942,0.0128649542068999,-5.32608680495427,0.0965519523058554,-5.81432262606624,0.0998109249114312,34.205,1.59318601132029,-4.7056915139149,0.0581371912100433,-3.38008805364436,0.0579167617502195,0.887777777777778,0.0030560605643278,1.20825,0.0331362188859504,0.83575,0.0218468940546566,0.968277777777778,0.00230159186279424,0.0141004437170505,0.00677008483954378,-4.54129508129143,0.0312270906845734,-4.9134309521666,0.114324890430842,-0.896357944774158
"16","armouri","Fe",47.4833333333333,1.27626190276308,-5.41698398038554,0.0241651521115837,-4.12501617031361,0.0229695169851538,0.945703703703704,0.006094365384319,1.22666666666667,0.0232676323687947,0.822185185185185,0.0139703291307667,0.984481481481481,0.00270218120501684,0.114372862973847,0.0129325655311698,-4.89569884748264,0.0217087386477223,-5.76061173656788,0.0292192103097212,47.4833333333333,1.27626190276308,-4.42939647200253,0.0592847118817584,-3.09783649144321,0.0558323645207985,0.87737037037037,0.0130172935517678,1.37411111111111,0.0805842094632367,0.751703703703704,0.0382868926057556,0.973814814814815,0.0033273609046584,0.0252420575084688,0.0073384978254065,-4.26742618090051,0.0505963210158246,-4.72127620477759,0.111003806048545,-0.987587508383012
"17","auratus","Fe",51.75,0.446448951915744,-4.41940769575471,0.045686423711575,-3.0653099284174,0.0431414896673555,0.838194444444444,0.0077036647523944,1.38419444444444,0.0325772072798817,0.738138888888889,0.0114930982152056,0.964527777777778,0.00180156253624914,0.0122813723453982,0.00436743501079102,-4.29300854759852,0.0507997324527761,-4.59282231195033,0.0434656448881091,51.75,0.446448951915744,-4.17246421911024,0.0247463932780179,-2.78646254789859,0.0221700647775142,0.786833333333333,0.0126395502472467,1.22580555555556,0.0271720768300706,0.826388888888889,0.0158315138655695,0.936527777777778,0.0058488110360123,0.0111521352172086,0.0067626157394084,-4.02346592655242,0.0766184972786426,-4.30255197829683,0.0367336051625193,-0.246943476644463
"18","bahorucoensis","Fe",39.9371428571429,0.467535149102459,-5.65076715589507,0.0262182115049901,-4.34881142759287,0.0282575598046779,0.932444444444444,0.0110481549769661,1.27714285714286,0.0467614351064968,0.796587301587302,0.0245764439189238,0.992285714285714,0.00574368539308028,0.078624595638068,0.0147370994961616,-5.23898675393471,0.0623246160294953,-5.96067770264445,0.0549407580311098,39.9371428571429,0.467535149102459,-4.68235664287595,0.0350176510992913,-3.35911014709949,0.0385363972750015,0.891825396825397,0.00719628460635893,1.41339682539683,0.0258642939822412,0.721333333333333,0.0137302046058505,0.983285714285714,0.00229892201086216,0.0144222815564651,0.00238292152993854,-4.52269587639309,0.0375804774184991,-4.87689502526167,0.0561859584338298,-0.968410513019122
"19","baracoae","Fe",149,1,-5.47061371648828,0.0737487502194325,-4.11368116815206,0.0748116819334101,0.845611111111111,0.00161111111111112,1.80811111111111,0.0221111111111111,0.639055555555555,0.0132777777777778,0.985333333333333,0.00133333333333335,0.0413174463203962,0.0193022042791569,-5.22717050594392,0.0168691573269482,-5.79690991647613,0.152384056414979,149,1,-5.21410837447846,0.091728543798828,-3.89860174937131,0.0786807642488938,0.906333333333333,0.023,1.26383333333333,0.105611111111111,0.806111111111111,0.0601111111111111,0.988055555555555,0.00305555555555553,0.0109474479370192,0.00759829748720543,-5.12162196905822,0.0553530442292911,-5.42126057522719,0.155976585587932,-0.256505342009813
"20","barahonae","Fe",151.666666666667,0.333333333333333,-5.14703780389572,0.0193356228646772,-3.84239448870427,0.0230084601424848,0.926666666666667,0.0137656756884831,1.37914814814815,0.0550911079787517,0.753185185185185,0.0262856525146459,0.991037037037037,0.00233979118104992,0.0429565514751944,0.00702557451767019,-4.80585258245305,0.0550933871463114,-5.51668402990727,0.0379073685072602,151.666666666667,0.333333333333333,-5.13124513529219,0.0662054038908207,-3.82907980952327,0.0671066495844329,0.929555555555556,0.00346469554598052,1.24255555555556,0.0227506613660481,0.811777777777778,0.0148100455286157,0.992703703703704,0.000489953946493456,0.0140079769959905,0.00433636555684157,-5.0019106982795,0.0637506009683201,-5.38647304827672,0.101192152777671,-0.015792668603531
"21","barbouri","Fe",38.3366666666667,0.292821523191934,-4.19642134765186,0.0214373088476256,-2.85847724291314,0.0217483947040245,0.865851851851852,0.00585571836632652,1.29066666666667,0.0494579257526343,0.785888888888889,0.030592166618862,0.965444444444444,0.00424409538995205,0.0374507859399959,0.0227308656876547,-3.95223585210385,0.0888135934957511,-4.53687775860923,0.117156068113394,38.3366666666667,0.292821523191934,-4.08407763909594,0.0197038780457703,-2.71254585404272,0.00790919929072867,0.811148148148148,0.0214059656056825,1.19966666666667,0.0375920817334382,0.839814814814815,0.0270425920219336,0.937666666666667,0.00902944429062669,0.0239439547594349,0.0123025679045976,-3.92174255144465,0.050638073725449,-4.37551239694116,0.075583560919802,-0.112343708555919
"22","bartschi","Fe",60.8766666666667,1.2258375821363,-6.05704722649341,0.0606330077437899,-4.7652686510729,0.0650930648277671,0.947037037037037,0.00590749448443892,1.24451851851852,0.024624449469172,0.813666666666667,0.0133421267299862,0.987222222222222,0.00389100471542677,0.0282148843450165,0.0061268296723251,-5.8294999044988,0.0718045540016092,-6.26750115340358,0.0275632663472285,60.8766666666667,1.2258375821363,-5.26070800851062,0.037733851654119,-3.95419735635368,0.0348171791617174,0.922518518518519,0.00994353054632263,1.29944444444444,0.0294564615589181,0.78037037037037,0.0170371578095558,0.987703703703704,0.00175955163262514,0.0159110430935381,0.00748425484190458,-5.07582866448843,0.0663033368942924,-5.41520894849945,0.0499048492913952,-0.796339217982794
"23","beckeri","Fe",55.285,1.035,-5.56054540601287,0.111205129680638,-4.25412188307082,0.115487963752009,0.922111111111111,0.0083333333333333,1.304,0.0741111111111111,0.779666666666667,0.0457777777777777,0.988444444444444,0.00677777777777777,0.0414822352389643,0.00849583215108351,-5.2726257520549,0.11941794777008,-5.86780630313859,0.0119272208084742,55.285,1.035,-5.25698814258453,0.0269077070636001,-3.96539953369067,0.0342501079699009,0.948611111111111,0.0129444444444444,1.21255555555556,0.0568888888888889,0.833777777777778,0.0355555555555555,0.993888888888889,0.00188888888888888,0.00567758496267603,0.00126386221908182,-5.1367193959827,0.0285871401950231,-5.36475034076804,0.0111629279478369,-0.303557263428335
