"","species","sex","svl_avg.d","svl_se.d","Area_avg.d","Area_se.d","Perim._avg.d","Perim._se.d","Circ._avg.d","Circ._se.d","AR_avg.d","AR_se.d","Round_avg.d","Round_se.d","Solidity_avg.d","Solidity_se.d","var.area_avg.d","var.area_se.d","max.area_avg.d","max.area_se.d","min.area_avg.d","min.area_se.d","svl_avg.v","svl_se.v","Area_avg.v","Area_se.v","Perim._avg.v","Perim._se.v","Circ._avg.v","Circ._se.v","AR_avg.v","AR_se.v","Round_avg.v","Round_se.v","Solidity_avg.v","Solidity_se.v","var.area_avg.v","var.area_se.v","max.area_avg.v","max.area_se.v","min.area_avg.v","min.area_se.v","area.d.minus.v"
"1","aliniger","M",61.0333333333333,1.08480925102578,-5.47749135103961,0.0423701980963433,-4.18337211104445,0.0380438871944379,0.945444444444444,0.0095389606114778,1.27688888888889,0.0164624526021796,0.796259259259259,0.00518240666296093,0.991148148148148,0.00189686044848917,0.04973737627891,0.0157603966880081,-5.14135027052461,0.115380943876941,-5.74375590073587,0.0625705951042042,61.0333333333333,1.08480925102578,-4.90801238727231,0.0690986848720726,-3.59783035763073,0.0771130668866176,0.915,0.0146356293370164,1.19103703703704,0.0290018683471752,0.847666666666667,0.0169138460824382,0.981703703703704,0.00620312324537053,0.00829781294302831,0.00321206729618425,-4.7424278617397,0.0711034767068082,-5.02066658734302,0.0701977191837919,-0.569478963767293
"2","allisoni","M",88.3533333333333,4.27244010425476,-5.12319632452269,0.0417439592545453,-3.81099184430023,0.0422767564761265,0.912222222222222,0.00744472083511245,1.27266666666667,0.033103342364785,0.803925925925926,0.0165588280799087,0.980481481481482,0.00352377774585667,0.0166142835836752,0.00763065025378269,-4.96797182554123,0.0556382548987889,-5.29866687586689,0.0749009235051711,88.3533333333333,4.27244010425476,-5.02426448701707,0.0204684686999858,-3.70210340283612,0.0269373799049108,0.893777777777778,0.013614171991434,1.22133333333333,0.036620565856106,0.827962962962963,0.0229977931785568,0.966888888888889,0.0104391239403494,0.00889009630255874,0.00259123063159847,-4.85008061547751,0.00330166643380963,-5.17916270558198,0.0479912720712816,-0.098931837505627
"3","allogus","M",53.5725,0.936041087061175,-5.93175185757963,0.0524446490712973,-4.61689276107976,0.0547546770368955,0.912194444444444,0.0100034330526828,1.31702777777778,0.0426250128223675,0.778861111111111,0.0227981559701187,0.979888888888889,0.00553384647330619,0.0710840266260514,0.0234718584472557,-5.47381321665675,0.0630314655535236,-6.27377931220119,0.0725599507602758,53.5725,0.936041087061175,-5.17770673094554,0.0409857807734961,-3.85519428140462,0.0480356341249543,0.893444444444444,0.0146037511388377,1.36916666666667,0.0348146325842355,0.74275,0.0192798523272694,0.976527777777778,0.00489233359283063,0.0118942510363951,0.00278113227645024,-5.01096040089204,0.045090502595031,-5.35726225609462,0.0444614876092371,-0.754045126634086
"4","altae","M",44.44,0.0599999999999987,-5.88205478392709,0.0437257861065454,-4.55546575767115,0.0420153291262202,0.893055555555555,0.00272222222222224,1.39861111111111,0.0723888888888889,0.73,0.039,0.978722222222222,0.00261111111111112,0.0715655401583084,0.000257412755136452,-5.49999258597542,0.0165062912879823,-6.27506161830173,0.00135013583387344,44.44,0.0599999999999987,-5.20613526891704,0.0261928813492878,-3.90080841041621,0.0229850866854233,0.924611111111111,0.0048333333333333,1.26066666666667,0.0234444444444444,0.800777777777778,0.0141111111111111,0.983666666666667,0.00411111111111112,0.0140173603449214,0.000404590755188916,-5.0386326813025,0.00467425206089178,-5.42939680313592,0.0118107975374819,-0.67591951501005
"5","altavelensis","M",51.145,0.00499999999999901,-5.77612567541561,0.143822267446856,-4.46617047058643,0.149034484535849,0.9185,0.0136111111111111,1.23211111111111,0.0252222222222223,0.824777777777778,0.0231111111111111,0.977222222222222,0.00355555555555553,0.0446070052520726,0.000526426862685753,-5.46335542199346,0.161908925052572,-6.10312648149574,0.186705839190258,51.145,0.00499999999999901,-5.11431439197546,0.00110850617178082,-3.80291469211028,0.0112753065504627,0.915833333333333,0.0188333333333333,1.32133333333333,0.0791111111111111,0.776888888888889,0.037,0.9865,0.0058333333333333,0.011254873672927,0.00547367419709455,-4.92365845436967,0.0881865819658518,-5.26434577521176,0.00704558184371651,-0.661811283440159
"6","altitudinalis","M",44.4,NA,-5.52275410323443,NA,-4.22947129048413,NA,0.953222222222222,NA,1.26044444444444,NA,0.798,NA,0.994333333333333,NA,0.0225470628809623,NA,-5.34378586404409,NA,-5.89309200837814,NA,44.4,NA,-5.08157505699196,NA,-3.78474677520734,NA,0.939555555555556,NA,1.225,NA,0.821,NA,0.992222222222222,NA,0.00725172967234822,NA,-4.95463336959396,NA,-5.20834838697639,NA,-0.441179046242475
"7","alumina","M",37.645,0.0250000000000021,-5.22641995650763,0.0359851840329606,-3.90336070373322,0.0234376650545087,0.897722222222222,0.0179444444444444,1.22033333333333,0.0548888888888889,0.843722222222222,0.0252777777777778,0.974611111111111,0.00761111111111112,0.182302410024165,0.128197051711736,-4.78821798228776,0.0615696195799704,-5.78945656351995,0.252236129004087,37.645,0.0250000000000021,-4.7525269030871,0.0784201708463139,-3.43214873059188,0.081934365809512,0.8965,0.0058333333333333,1.17566666666667,0.00488888888888894,0.856055555555556,0.00327777777777782,0.967,0.000111111111111062,0.00363399085372429,0.000153744685437919,-4.67507818206706,0.0854680295572736,-4.85568257278207,0.08182936783875,-0.473893053420528
"8","alutaceus","M",35.84,NA,-5.36286301954958,NA,-4.05313929818391,NA,0.911222222222222,NA,1.30877777777778,NA,0.768,NA,0.981555555555556,NA,0.0514568959044756,NA,-5.08703207854249,NA,-5.64664786647791,NA,35.84,NA,-5.21558795567766,NA,-3.91479541868907,NA,0.937,NA,1.19666666666667,NA,0.844,NA,0.992111111111111,NA,0.0173560137252824,NA,-5.03845020431566,NA,-5.48742100091864,NA,-0.147275063871914
"9","amplisquamosus","M",44.19,0.292802550079972,-4.57521945907682,0.0761976436225516,-3.25143116746965,0.0668755282587925,0.891444444444444,0.0243861257187774,1.31125925925926,0.0518239475180265,0.782444444444444,0.0247681429531928,0.974851851851852,0.00736757810498533,0.144052841647702,0.0925637338656197,-4.13337008681275,0.0366855982349313,-5.15432573012509,0.272456430831752,44.19,0.292802550079972,-4.59044862779882,0.0185083099922498,-3.25859525420027,0.0187438439233881,0.876481481481482,0.00194823264145739,1.26696296296296,0.0354901211162345,0.797962962962963,0.0183868280520645,0.957925925925926,0.00517048179865072,0.00517374827915006,0.000924790798056153,-4.48086852538061,0.0189297581487555,-4.73218471144557,0.0174880310407706,0.0152291687220005
"10","anfiloquioi","M",41.4,NA,-5.5510362556993,NA,-4.22101141854949,NA,0.880333333333333,NA,1.381,NA,0.739555555555556,NA,0.968111111111111,NA,0.0567830724180895,NA,-5.32037248697018,NA,-6.02586597382531,NA,41.4,NA,-5.49068043438951,NA,-4.18676652570408,NA,0.926888888888889,NA,1.23833333333333,NA,0.827666666666667,NA,0.981666666666667,NA,0.0306159043578257,NA,-5.25208471946731,NA,-5.76055184829423,NA,-0.0603558213097877
