"","species","Longitude","Latitude","source","mean.long","sd.long","mean.lat","sd.lat","out.long","out.lat"
"1","crassulus",-97.09,19.32,"Velasco etal16",-91.2569752475247,5.8277036793059,15.4351534653465,3.796277756353,0,1
"2","fuscoauratus",-34.9,-8.05,"Velasco etal16",-72.3169721362229,35.6798338162503,-3.85888544891641,22.0783111208916,1,0
"3","fuscoauratus",-34.9,-8.05,"Velasco etal16",-72.3169721362229,35.6798338162503,-3.85888544891641,22.0783111208916,1,0
"4","humilis",-86.8,15.7,"Velasco etal16",-83.5584770642202,7.40432564165406,10.0571949541284,5.62971914508683,0,1
"5","humilis",-90.25,15.75,"Velasco etal16",-83.5584770642202,7.40432564165406,10.0571949541284,5.62971914508683,0,1
"6","humilis",-87.45,15.783,"Velasco etal16",-83.5584770642202,7.40432564165406,10.0571949541284,5.62971914508683,0,1
"7","humilis",-93.722,16.693,"Velasco etal16",-83.5584770642202,7.40432564165406,10.0571949541284,5.62971914508683,0,1
"8","humilis",-91.628,16.897,"Velasco etal16",-83.5584770642202,7.40432564165406,10.0571949541284,5.62971914508683,0,1
"9","humilis",-92.958,17.214,"Velasco etal16",-83.5584770642202,7.40432564165406,10.0571949541284,5.62971914508683,0,1
"10","humilis",-92.046,17.483,"Velasco etal16",-83.5584770642202,7.40432564165406,10.0571949541284,5.62971914508683,0,1
"11","humilis",-92.046,17.483,"Velasco etal16",-83.5584770642202,7.40432564165406,10.0571949541284,5.62971914508683,0,1
"12","humilis",-92.046,17.483,"Velasco etal16",-83.5584770642202,7.40432564165406,10.0571949541284,5.62971914508683,0,1
"13","humilis",-92.048,17.484,"Velasco etal16",-83.5584770642202,7.40432564165406,10.0571949541284,5.62971914508683,0,1
"14","kemptoni",-101.73,24.37,"Velasco etal16",-83.1466274509804,11.5738948731575,9.34619607843137,9.43018204768864,0,1
"15","kreutzi",-87.3,15.433,"Velasco etal16",-87.3,0,15.433,0,1,1
"16","kreutzi",-87.3,15.433,"Velasco etal16",-87.3,0,15.433,0,1,1
"17","kreutzi",-87.3,15.433,"Velasco etal16",-87.3,0,15.433,0,1,1
"18","liogaster",-100.99,18.48,"Velasco etal16",-99.747,1.53400956103061,17.5342448979592,0.737331915585849,0,1
"19","macrophallus",-89.943,18.823,"Velasco etal16",-90.1055942028986,2.46798687372241,14.0443913043478,2.55068011390654,0,1
"20","monensis",-67.895,18.087,"Velasco etal16",-67.916,0.118793939239344,18.087,0,0,1
"21","monensis",-67.937,18.087,"Velasco etal16",-67.916,0.118793939239344,18.087,0,0,1
"22","morazani",-87.1,15.017,"Velasco etal16",-87.1,0,15.018,0.00692820323027577,1,0
"23","morazani",-87.1,15.017,"Velasco etal16",-87.1,0,15.018,0.00692820323027577,1,0
"24","morazani",-87.1,15.02,"Velasco etal16",-87.1,0,15.018,0.00692820323027577,1,0
"25","nebuloides",-108.683,26.9,"Velasco etal16",-97.9906176470588,12.3682012638391,17.3371102941176,9.05810486823384,0,1
"26","nebuloides",-108.683,26.9,"Velasco etal16",-97.9906176470588,12.3682012638391,17.3371102941176,9.05810486823384,0,1
"27","nebuloides",-108.667,26.983,"Velasco etal16",-97.9906176470588,12.3682012638391,17.3371102941176,9.05810486823384,0,1
"28","nebuloides",-108.667,26.983,"Velasco etal16",-97.9906176470588,12.3682012638391,17.3371102941176,9.05810486823384,0,1
"29","ortonii",-38.517,-12.983,"Velasco etal16",-72.7450900900901,33.9577116759796,-4.23571171171171,18.4959598567305,1,0
"30","ortonii",-38.517,-12.983,"Velasco etal16",-72.7450900900901,33.9577116759796,-4.23571171171171,18.4959598567305,1,0
"31","quercorum",-94.35,16.48,"Velasco etal16",-97.0146837209302,1.85305572325741,17.6550744186047,2.16756013072802,1,0
"32","quercorum",-94.91,18.41,"Velasco etal16",-97.0146837209302,1.85305572325741,17.6550744186047,2.16756013072802,1,0
"33","ravitergum",-70.3252222,18.2836,"Glor&Laport12",-70.3252222,0,18.2836,0,1,1
"34","ravitergum",-70.3252222,18.2836,"Glor&Laport12",-70.3252222,0,18.2836,0,1,1
"35","rimarum",-72.364637,19.519726,"GBIF: georeference by JAV",-72.4270160576923,0.0555015136800494,19.5196618596154,0.00755048862876109,1,0
"36","serranoi",-84.02,10.42,"Velasco etal16",-90.6876666666667,6.65283185687471,14.4013089430894,3.49283966883,1,0
"37","serranoi",-89.943,18.823,"Velasco etal16",-90.6876666666667,6.65283185687471,14.4013089430894,3.49283966883,0,1
"38","singularis",-73.037,18.837,"Velasco etal16",-71.6261851851852,3.14589921830594,18.2348518518519,0.601886985255491,0,1
"39","smaragdinus",-78.02,25.154,"Velasco etal16",-78.02,0,25.158,0.022627416997967,1,0
"40","smaragdinus",-78.02,25.162,"Velasco etal16",-78.02,0,25.158,0.022627416997967,1,0
"41","sminthus",-96.72,17.07,"Velasco etal16",-88.6351285714286,6.51048502554985,14.4272571428571,2.51362881612596,0,1
"42","taylori",-96.467,15.917,"Velasco etal16",-99.7120714285714,2.55074970616328,16.8268214285714,0.957806168326691,1,0
"43","uniformis",-108.69,26.9,"Velasco etal16",-91.4570662020906,11.1041842242586,16.9128013937282,5.31945426339849,0,1
