"species","svl_mean","head.count_mean","midline.count_mean","dorsal.count_mean","dorsolateral.count_mean","chin.count_mean","ventral.count_mean","foretoes.count.t_mean","foretoes.count.b_mean","hindtoes.count.t_mean","hindtoes.count.b_mean"
"altae",49.2133333333333,-2.94344721725418,-2.34470927739504,-2.29332571745262,-2.18558136521392,-2.04440466004532,-2.64737325374819,-2.03889655363457,-2.49574522168516,-2.41540718243758,-2.71091337361774
"apletophallus",44.31,-2.42847086897656,-2.09598271717993,-2.06148628143646,-1.8791647246425,-1.77882937691143,-2.41929629964246,-1.80584173434742,-2.576064254821,-2.20458712507713,-2.82362633348335
"aurifer",43.035,-3.32349634394008,-1.87657736100375,-1.77092281417015,-1.87831046499199,-1.87831046499199,-2.35955052216376,-1.47285286850807,-2.2248915668962,-1.90688967191197,-2.35955052216376
"benedikti",49.2975,-2.5659799681268,-2.58599064504519,-2.31064981453519,-2.24358381788652,-1.96737310828183,-2.87996663578763,-2.56801281414534,-2.4960922960324,-2.67922612414584,-2.93575252361618
"binotatus",53.04,-2.93070296533347,-3.04848600098986,-3.04848600098986,-2.73003226987132,-2.23755578477353,-3.18201739361438,-2.08340510494627,-2.64302089288169,-2.64302089288169,-3.04848600098986
"biporcatus",111.83,-4.42335423468747,-4.22268353922532,-4.05562945456215,-4.05562945456215,-3.73020705412752,-4.67466866296837,-3.03854907711905,-3.73169625767899,-3.36248227400221,-3.91252861092148
"bombiceps",68.75,-3.44819053857391,-2.93115365480864,-2.83630282276286,-2.69615184018578,-2.52791572187517,-3.5920315747998,-2.67175675810106,-3.15429720612285,-3.11427585228609,-3.70360335045691
"boulengerianus",52.12,-3.10073453503736,-2.93319158285009,-2.89807141096415,-2.45380285224118,-2.14939983046227,-3.01696305894373,-2.05350580631167,-2.60624849851285,-2.47680047607017,-2.85881039907869
"bremeri",44.3833333333333,-2.98769872428601,-2.43571274826301,-2.23610058123344,-2.16258632469539,-2.21310295740446,-2.83103084787076,-1.59205930722667,-2.15005145175056,-2.0850153239186,-2.50260298008372
"brunneus",47.49,-3.80709941683413,-2.65580687033711,-2.65580687033711,-2.46431074420906,-1.91123099705731,-2.65580687033711,-1.4150747175386,-2.10822189809854,-1.74893768236369,-2.3407623480407
"caceresae",52.5233333333333,-3.51071979870924,-3.31479091040853,-3.21202379052369,-2.87834647041394,-2.74042516677299,-3.43633861493783,-2.11022501888811,-2.61845724688111,-2.44620045974793,-2.87834647041394
"carlliebi",39.82,-2.76390319535141,-2.47622112289963,-2.35843808724325,-2.1577673917811,-1.61122368541303,-2.47622112289963,-1.66946627809379,-2.07493138620195,-2.07075601479147,-2.47622112289963
"carolinensis",52.875,-3.34316891055557,-2.77060275840407,-2.6794419800071,-2.6794419800071,-2.18197505041046,-2.92361836396406,-1.72279770136548,-2.32478410352845,-2.00757460665655,-2.55886095159865
"caudalis",39.8425,-2.95529133884922,-2.03812215215012,-1.75346774632967,-1.75346774632967,-1.66492479289951,-2.50735147154221,-1.37442534777841,-2.01178664050981,-1.84758713913839,-2.25445124362259
"centralis",32.82,-2.78277726729195,-1.53001429879658,-1.53001429879658,-1.68416497862384,-1.53001429879658,-2.22316147935653,-0.996081100020443,-1.46608472926618,-1.46102142730963,-1.77117635561347
"chamaeleonides",158.666666666667,-5.5888874358578,-5.38083599950014,-5.47673002365073,-5.67265891195144,-3.79113787361936,-4.45794439186059,-3.47543433461522,-4.18632968668143,NA,NA
"chlorocyanus",44.91,-2.92693745414554,-2.54586742812209,-2.44553208039102,-2.27084425966246,-2.15671493367197,-2.78309641791965,-1.25204049630442,-2.08400354516351,-1.68250392864349,-2.19376891974883
"christophei",44.1975,-2.71358273622294,-2.10737711647298,-1.98803118233714,-1.84292954293602,-1.4111700348325,-2.53607672349597,-1.68373060845411,-2.16515746888856,-2.05270481623178,-2.48339646566705
"chrysolepis",65.98,-3.16770041826845,-3.48615414938699,-3.00064633360529,-2.79300696882704,-2.73238234701061,-3.61968554201151,-2.5210732533434,-3.08068904127882,-3.08068904127882,-3.48615414938699
"chrysops",49.155,-3.36714208855033,-2.7266751658193,-2.45165199735966,-2.30302623562569,-1.90879755544356,-2.89713845930459,-1.57705206995503,-2.49334280182918,-1.93319263752827,-2.57868472818606
"compressicauda",46.51,-3.07394946984123,-3.47941457794939,-3.25627102663518,-2.78626739738944,-2.38080228928128,-2.91979879001397,-1.82118650134586,-2.38080228928128,-2.15765873796707,-2.91979879001397
"crassulus",51.4775,-3.32154397130523,-3.12696772408017,-3.23742591214993,-2.63795209395033,-2.62632209004161,-3.41270474970221,-2.13880149162307,-2.47123249403094,-2.54453721503905,-2.92938999182677
"cristifer",72.74,-3.96760402769173,-3.36146822412142,-3.05131329581758,-3.05131329581758,-2.54048767205159,-3.36146822412142,-2.35586990299728,-2.71254484693601,-2.66832104356147,-3.12030616730453
"distichus",43.29,-3.33517765996635,-1.83731152318935,-1.78965643328719,-1.81291644110463,-1.83264585947491,-2.32357674828787,-1.42563515508191,-2.01342181998403,-1.91857098793824,-2.28007105979305
"dominicensis",45.8825,-3.45019752849879,-1.96560742759977,-1.95131782413978,-2.00501164955071,-1.97964999546653,-2.72760458902475,-1.60220228507613,-2.29845509563571,-1.99296112409624,-2.51007925167355
"dunni",48.36,-3.15162429351097,-2.7461591854028,-2.64079866974497,-2.17079504049924,-2.17079504049924,-2.99747361368371,-1.76877227658205,-2.46191945714199,-2.37843440527748,-2.54548848994065
"eladioi",46.62,-3.26221113835467,-2.4737537779904,-2.38674240100077,-2.23259172117351,-2.16359884968656,-2.67442447345255,-1.46687384777873,-2.16002102833867,-1.82712661306535,-2.38674240100077
"etheridgei",41.57,-2.33707637074712,-2.15475481395316,-2.07471210627963,-2.07471210627963,-1.54861901038285,-2.69375131468585,-1.93161126263895,-2.44243688640494,-2.24176619094279,-2.56021992206133
"fairchildi",58.25,-3.36873567960483,-3.11742125132393,-3.36873567960483,-3.11742125132393,-2.54205710642036,-3.11742125132393,-1.91916274826143,-2.61230992882137,-2.22360337530183,-2.74969647119861
"fowleri",69.63,-3.88174728626307,-3.4762821781549,-3.37092166249708,-3.18860010570312,-2.45463093062292,-3.27561148269275,-2.49305771441722,-2.96306134366296,-2.90091803325134,-3.27561148269275
"guafe",39.09,-2.72852253873288,-1.88122467834567,-1.68706866390471,-1.68706866390471,-1.62991025006477,-2.4408404662811,-1.47149517145105,-2.03111095938647,-1.88122467834567,-2.21769691496689
"haguei",45.37,-3.177219220528,-2.91277164699103,-3.03027255430247,-2.41709403149048,-2.39915805527577,-3.06881022425928,-1.88696119358887,-2.40288448976679,-2.31007197758246,-2.67665624478082
"hendersoni",38.5866666666667,-2.64951328290151,-2.22854150291505,-1.90498254239915,-1.62793823455453,-1.81079355180414,-2.5022356988085,-1.44964170119366,-1.93487630535768,-1.72137222293925,-2.41321477039215
"imias",47.41,-3.29319931665304,-2.41773057929914,-2.19458702798493,-2.01226547119098,-1.9581982499207,-2.41773057929914,-1.86162973347116,-2.42124552140659,-2.26357989947188,-2.70541265175092
"immaculogularis",45.65,-3.21952361500686,-2.88305137838564,-2.88305137838564,-2.34405487765296,-2.05637280520118,-3.0372020582129,-1.78078277851442,-2.34039856644985,-2.34405487765296,-2.63173695010474
"inexpectatus",36.22,-2.16711404267142,-1.96644334720926,-1.96644334720926,-1.59174989776785,-1.27329616664932,-1.96644334720926,-1.31519723642792,-1.65166947304913,-1.65628841890543,-1.96644334720926
"isolepis",40,-3.46573590279973,-2.36712361413162,-2.36712361413162,-2.36712361413162,-1.79175946922805,-2.36712361413162,-1.26851132546351,-1.85629799036563,-1.67397643357167,-1.9993988340063
"johnmeyeri",65.672,-3.58194006301685,-3.42800173465468,-2.91754520124852,-2.87601732829287,-2.57463285851117,-3.35981641726056,-2.5408070914482,-3.18466557239888,-2.93032075541256,-3.50497089883577
"kreutzi",44.56,-2.98715559880313,-2.47632997503714,-2.29400841824319,-2.13985773841593,-1.94570172397497,-2.69947352635135,-1.73439263030776,-2.58169049069497,-2.21396571056965,-2.47632997503714
"kunayalae",86.5,-3.70898283831726,-3.62197146132763,-3.54192875365409,-3.70898283831726,-2.70568072945348,-3.54192875365409,-3.21650635321947,-3.62197146132763,-3.62197146132763,-3.80429301812159
"laeviventris",47.615,-3.06713662864091,-2.72056303836094,-2.51783048430686,-2.4701753944047,-2.1389876334581,-2.83213481401805,-1.94596412233257,-2.31693279469726,-2.23802259033915,-2.57051074213577
"landestoyi",133.4,-5.02688352610605,-4.89335213348152,-5.1810342059333,-5.1810342059333,-3.5715962934992,-4.77556909782514,-3.23637327627842,-3.92952045683837,-3.50705777236163,-4.02835469599492
"lineatus",52.36,-3.49292782852776,-2.53741638350032,-2.53741638350032,-2.61745909117386,-1.96687152503271,-3.02292419928203,-1.80970852787491,-2.62063874409124,-2.32977701872208,-3.02292419928203
"lionotus",63.545,-3.24078239241329,-3.41124568589859,-3.41124568589859,-2.7848642016509,-2.57328185904712,-3.04928626628524,-2.59900485294232,-3.00446996105048,-2.85162989796316,-3.24078239241329
"longiceps",54.74,-3.39867865678053,-2.99321354867237,-3.24452797695327,-2.99321354867237,-2.30006636811242,-3.11099658432875,-1.69087712705521,-2.29701293062553,-2.01238429566064,-2.48238792490638
"luteosignifer",37.235,-2.71770345183317,-1.87935177237672,-1.73198458460545,-1.5053216684078,-1.6496505096665,-2.25362895424177,-1.34055926078869,-1.93355789688024,-1.6790962685806,-2.14767539254768
