"species","svl_mean","head.count_mean","midline.count_mean","dorsal.count_mean","dorsolateral.count_mean","chin.count_mean","ventral.count_mean","foretoes.count.t_mean","foretoes.count.b_mean","hindtoes.count.t_mean","hindtoes.count.b_mean"
"acutus",60.89,-3.79416867851956,-3.15370175578853,-2.83570737242853,-2.49505101097206,-2.66328712928267,-3.00986071956264,-1.95606818059248,-2.80844222671169,-2.41289948532642,-3.00986071956264
"aeneus",66.57,-3.50260371483455,-3.18414998371601,-2.87399505541217,-2.8094565342746,-2.69167349861822,-3.18414998371601,-2.0855376950479,-2.69167349861822,-2.49100280315607,-3.01709589905285
"aequatorialis",103,-3.8910979022377,-3.8910979022377,-3.68345853745945,-3.46031498614524,-3.32055304377009,-3.81698993008398,-3.56567550180307,-3.74799705859703,-3.74799705859703,-3.97114060991123
"agassizi",100.666666666667,-4.46402515041953,-3.87965125824531,-3.85064746591544,-3.7478803460306,-3.27639193333507,-4.02324556360947,-2.91619400561326,-3.51956354157868,-3.15233222317684,-3.82028328462873
"alayoni",42.93,-2.91560081194194,-1.93477155893021,-1.87414693711378,-1.93477155893021,-1.711628007616,-2.222453631382,-1.41152341516567,-1.99931008006779,-1.711628007616,-2.222453631382
"aliniger",54.395,-3.30896627016449,-2.98057650196996,-2.57579773576778,-2.61285172184464,-2.47197805337865,-3.03946801979815,-1.82621119899272,-2.46667812172375,-2.13783448175838,-2.73640011801299
"altae",42.99,-2.69429089362879,-2.05433232943009,-2.03469174880432,-1.83088458456018,-1.68541487807899,-2.40689422996569,-1.83163160877573,-2.167225390572,-2.22380225653738,-2.51284779165978
"altitudinalis",44.4,-3.67295330356368,-2.46898049923774,-2.46898049923774,-2.69212405055195,-1.99897686999201,-2.57434101489557,-1.37412056018818,-1.88494618395417,-1.59351176188384,-1.99897686999201
"alutaceus",35.84,-2.26509088856647,-2.04194733725226,-2.04194733725226,-1.51131908619009,-1.34880015669231,-2.04194733725226,-1.30465037207938,-1.64112260870059,-1.77958307278476,-2.04194733725226
"anchicayae",54.715,-2.94006782198113,-2.79622678575524,-2.7920773843479,-2.44965319547527,-1.90034705114122,-2.6650446535215,-2.0134362786459,-2.59501168354874,-2.48192245604406,-2.95130424990716
"angusticeps",47.325,-3.31181538201589,-2.01201613557854,-1.98343692865856,-1.93075667082965,-1.96197440630005,-2.41593564740187,-1.50315985763516,-2.01398548140115,-1.85631985946644,-2.12825357495008
"anisolepis",44.24,-3.15475108477811,-2.68474745553237,-2.8182788481569,-2.12513166759695,-2.36629372441384,-2.8182788481569,-1.87003651647614,-2.2755016245843,-2.27928234742421,-2.56696441987599
"antonii",44.96,-2.89933006675375,-2.25756644613622,-2.16018763853583,-1.9045152954937,-1.81857225905967,-2.45950150293782,-1.85328547189618,-2.23575295617536,-2.17950198363595,-2.59663207853042
"apletophallus",43.985,-2.50465372699555,-2.15255521862228,-2.04650836105847,-1.95165752901268,-1.770204782168,-2.45197346916664,-1.86415093085459,-2.41345707518864,-2.26965191237268,-2.74188271679311
"apollinaris",107,-4.13435167936541,-3.96729759470224,-3.96729759470224,-3.82419675106157,-3.44120449880546,-4.13435167936541,-3.13104957050162,-3.82419675106157,-3.48772451444035,-4.13435167936541
"argillaceus",42.65,-3.08359661999506,-1.92044581018938,-1.92044581018938,-2.0539772028139,-1.98498433132695,-2.29513925963079,-1.51106680276008,-1.98107043200581,-1.74859555326272,-2.12808517496762
"aurifer",51.585,-3.68653994302328,-2.27177829781958,-2.18929958880082,-2.12908880669742,-2.19916429798596,-2.74893425016142,-1.76629202776728,-2.53052826719777,-2.19752494784942,-2.67701373204848
"bahorucoensis",45.16,-3.19772246173897,-2.32225372438507,-2.09911017307086,-1.71611792081475,-2.09911017307086,-2.50457528117902,-1.6254096819438,-2.31855686250374,-1.97394703011685,-2.50457528117902
"baracoae",151,-5.61171104443571,-4.82325368407144,-4.73624230708181,-4.91856386387577,-4.1301065035115,-4.65619959940828,-3.12680439464771,-3.72464139540333,-3.45994884117625,-4.33077719897365
"benedikti",48.3275,-2.59377120018089,-2.56786895452614,-2.22519489057024,-2.144612088604,-1.87679647466986,-2.77726349395094,-2.34376046242775,-2.45533223808486,-2.59169649947722,-3.00633617691948
"bicaorum",62.9,-3.31067258678065,-2.93466883227302,-2.78677339196356,-2.52512181535921,-2.42631656455236,-3.16940117118853,-2.29759302483873,-2.91110956930456,-2.74186252730684,-3.27141157489518
"binotatus",49.96,-2.93039343224565,-2.93039343224565,-2.81261039658927,-2.30178477282328,-2.11946321602932,-3.06392482487017,-2.11946321602932,-2.81261039658927,-2.52492832413749,-2.93039343224565
"biporcatus",84.62,-3.86625732954609,-3.76089681388827,-3.66558663408394,-3.66558663408394,-3.2302685628261,-3.86625732954609,-2.66031408123286,-3.3534612617928,-3.01895946915889,-3.3554317057801
"bombiceps",62.155,-3.37308485394375,-2.84264887360112,-2.67402044456031,-2.64175118399152,-2.50021323797308,-3.43197637177194,-2.47585193853085,-3.10223342277854,-2.88267022743789,-3.43197637177194
"boulengerianus",53.3733333333333,-3.26217501128375,-2.94321363500395,-2.91223430311753,-2.45857545207233,-2.18066048741149,-2.94321363500395,-2.10485250494046,-2.75348922129223,-2.55078619749406,-3.06624612298305
"bremeri",62.47,-3.72496941459135,-3.19598106239733,-3.00514133147355,-2.68713097818789,-2.84160035932406,-3.34664277031168,-2.28311823959428,-2.89663478406011,-2.70487914969416,-3.26287129421805
"brevirostris",47.71,-3.52887891106761,-2.04385431890465,-1.98875670011115,-1.8910210506499,-2.10216813540343,-2.68282852296534,-1.63102271815807,-2.43032114242419,-2.12237634267557,-2.58081811925868
"caceresae",52.72,-3.31645490029544,-3.40761567869242,-3.31645490029544,-2.75797418662729,-2.91098979218728,-3.40761567869242,-2.07080861636153,-2.76395579692148,-2.5062110259851,-2.91098979218728
"carolinensis",63.765,-3.79607119900267,-3.06290266460596,-3.05526892854056,-2.89466654629535,-2.79758853907487,-3.14642970693754,-2.09544516522265,-2.69743156738562,-2.36497075853793,-2.89466654629535
"casildae",103,-4.15346216670519,-3.81698993008398,-3.68345853745945,-3.5116082805328,-3.36500480634092,-3.8910979022377,-3.27799342935129,-3.97114060991123,-3.62283391564302,-4.15346216670519
"caudalis",46.945,-3.28506623735043,-2.08237609283675,-1.98118288608315,-1.96967882676147,-2.10049086270261,-2.53405846825826,-1.71100599619917,-2.23285842403142,-2.09655377346058,-2.44289768986128
"chamaeleonides",161.5,-5.74500119047216,-5.50999937584929,-5.76541218773228,-5.90925322395817,-3.90457754926382,-4.50254786557815,-3.55674546347927,-4.24315096887057,-3.87903171868496,-4.43996629410115
"charlesmyersi",78.01,-3.95422498447446,-3.12754641129,-3.00976337563361,-3.00976337563361,-2.76464091760063,-3.26107780391452,-2.4036275720633,-3.00976337563361,-2.72208130318183,-3.33518577606824
"chlorocyanus",68.66,-3.85326048216293,-3.24712467859261,-3.16011330160298,-3.00596262177572,-3.00596262177572,-3.44779537405476,-2.14608225507121,-2.75221805864152,-2.50952573546183,-3.00596262177572
"christophei",48.588,-2.775874378684,-2.32384512983807,-2.13809434955959,-2.02541877812138,-1.67721637050489,-2.45435750992704,-1.87797242839116,-2.33040836406296,-2.21319223533199,-2.62541071593432
"chrysolepis",70.15,-3.23753196814412,-3.28518705804628,-3.12596019248702,-2.84745268936933,-2.68445222099237,-3.66625708406973,-2.64711442999197,-3.19642057432603,-3.07692958589891,-3.54059986992928
"chrysops",65.5833333333333,-3.88333648272868,-3.25431326638456,-2.9885988899659,-2.7822641582947,-2.51589890543826,-3.32120349820527,-2.08966654439748,-2.92073502859838,-2.40386749335869,-3.04428358485362
"compressicauda",48.45,-3.24629062058556,-3.56059495029675,-3.56059495029675,-2.9523972881345,-2.38490732171501,-2.93421346604906,-1.98114579276765,-2.60752727701534,-2.42196130779187,-3.07805450227495
"crassulus",50.0616666666667,-3.34152207966685,-3.25036130126987,-3.22466952129866,-2.70221660182183,-2.51719276687315,-3.34152207966685,-2.01802510019778,-2.57420434026608,-2.37438154830593,-2.83828061297163
"cristifer",78.12,-3.95776853941135,-3.5057834156683,-3.13108996622688,-3.0133069305705,-2.72562485811872,-3.5057834156683,-2.6057073499337,-3.19349401483582,-2.76818447253752,-3.19562848736446
"cuvieri",132,-5.17446170391816,-5.01653522920892,-4.81380267515484,-4.81380267515484,-3.9900078359556,-4.64955064166882,-3.41212248470157,-4.15292475516368,-3.58543478874419,-4.47071341953292
"desechensis",51.45,-3.45934364075561,-2.67088628039134,-2.29619283094993,-2.02425911546629,-2.29619283094993,-2.87155697585349,-1.77294468718538,-2.58387490340171,-2.12434257402327,-2.67088628039134
"desiradei",66.18,-3.96962088068209,-3.29139147152036,-2.93867375306809,-2.62923863573289,-2.52864832226588,-3.19538067850051,-2.07653853735654,-2.86333613715787,-2.44466896042756,-3.00713198385457
"distichus",46.975,-3.41962277130311,-2.0096171345541,-1.91095788202024,-1.88211616694763,-1.96318849559296,-2.53654667428811,-1.59310680014618,-2.26146666679149,-2.0521464227887,-2.38044697180892
"dominicensis",52.596,-3.68091390137802,-2.37091000043708,-2.26719194593655,-2.25645350476385,-2.24681308440028,-2.77479763557861,-1.91145620503675,-2.62501032133435,-2.29074855306782,-2.75372553244705
"dunni",58.75,-3.53999267340622,-2.9338568698359,-2.84684549284627,-2.49853879857806,-2.33601986908028,-3.25231060095444,-2.15936404982201,-2.62936767906774,-2.62370194153206,-2.9338568698359
"eladioi",62.57,-3.75019801665039,-3.06029073698643,-2.91991755488111,-2.87221727366756,-2.75162059213239,-3.22584126056264,-2.05938267232805,-2.74917974093682,-2.41586642210576,-2.86853399493869
"ernestwilliamsi",76.81,-4.51495321109732,-3.34405030802366,-3.13284297481269,-2.84885095600972,-2.95157294311712,-3.38407166186042,-2.57829225985881,-3.38301121607586,-2.89889268528821,-3.38755599651847
"etheridgei",40.1433333333333,-2.34261385090576,-2.14391869500015,-1.98116574528229,-1.86704175903282,-1.52864313150071,-2.3777340227917,-1.86691364808022,-2.09005719939443,-2.14668496260505,-2.49662567077128
"eulaemus",98,-3.58393551834133,-3.71746691096585,-3.71746691096585,-3.17847041023316,-3.31200180285768,-3.71746691096585,-3.06068737457678,-3.6484740394789,-3.52331089652489,-3.95862896778274
"extremus",67.72,-3.67064921155228,-3.26631917771138,-3.13165271081959,-2.85184481685188,-2.78507912053962,-3.1751583993144,-2.16893388352406,-2.90973615398616,-2.57203692288417,-3.09163135698282
"fairchildi",74.68,-4.42654100398053,-3.73339382342058,-3.73339382342058,-3.73339382342058,-2.9796220210442,-3.51025027210637,-2.31409316583252,-3.10255052619679,-2.67734114917127,-3.32792871531242
"fasciatus",68.19,-3.32825780359323,-2.99178556697201,-2.85825417434749,-2.68640391742083,-2.29863838641207,-2.85825417434749,-2.45034108460069,-3.14348826516063,-2.92279269548506,-3.43361831925105
"fowleri",73.41,-3.98590523781885,-3.58044012971069,-3.37976943424853,-3.13860737743165,-2.64217049111776,-3.13860737743165,-2.6018810252335,-3.07188465447923,-2.94445136299069,-3.21271534958537
"fuscoauratus",42.03,-2.46541797320414,-2.17773590075236,-1.95459234943815,-1.89005382830058,-1.48458872019241,-2.17773590075236,-1.61812011281693,-2.17773590075236,-1.95459234943815,-2.46541797320414
"gadovii",74.67,-3.56268253194203,-3.29411106590035,-3.17608758782529,-2.92842686921027,-2.95079481613097,-3.21058402356876,-2.51787789729638,-3.3288081135127,-2.95079481613097,-3.46234718421095
"garmani",117,-4.91917768360742,-4.40835205984143,-4.22603050304748,-4.22603050304748,-3.71520487928148,-4.22603050304748,-2.97326753455211,-4.00288695173327,-3.41510028683115,-4.07187982322022
