year,month,day,head.image,dorsal.image,dorsolateral.image,chin.image,ventral.image,foretoes.image,hindtoes.image,sex,specimen.number,svl.6perc,svl.2perc,collection,flag..1.dmg..2.retake.,remarks,head.count,midline.count,dorsal.count,dorsolateral.count,chin.count,ventral.count,foretoes.count.t,foretoes.count.b,hindtoes.count.t,hindtoes.count.b,species,subspecies,svl,percentile
2022,12,NA,bicaorum-UF-28396-IMG_09009.JPG,bicaorum-UF-28396-IMG_09012.JPG,bicaorum-UF-28396-IMG_09013.JPG,bicaorum-UF-28396-IMG_09014.JPG,bicaorum-UF-28396-IMG_09015.JPG,bicaorum-UF-28396-IMG_09016.JPG,bicaorum-UF-28396-IMG_09020.JPG,M,28396,3.65,1.22,UF,NA,NA,9,13,16,19,20,11,9,4,17,9,bicaorum,NA,60.8,0.810666667
2022,12,NA,bicaorum-UF-28404-IMG_09032.JPG,bicaorum-UF-28404-IMG_09035.JPG,bicaorum-UF-28404-IMG_09036.JPG,bicaorum-UF-28404-IMG_09038.JPG,bicaorum-UF-28404-IMG_09039.JPG,bicaorum-UF-28404-IMG_09040.JPG,bicaorum-UF-28404-IMG_09043.JPG,F,28404,3.6,1.2,UF,NA,NA,9,12,19,20,19,6,8,4,14,7,bicaorum,NA,59.94,0.696976744
2022,12,NA,bicaorum-UF-28443-IMG_09021.JPG,bicaorum-UF-28443-IMG_09023.JPG,bicaorum-UF-28443-IMG_09024.JPG,bicaorum-UF-28443-IMG_09026.JPG,bicaorum-UF-28443-IMG_09027.JPG,bicaorum-UF-28443-IMG_09028.JPG,bicaorum-UF-28443-IMG_09030.JPG,M,28443,3.92,1.31,UF,NA,NA,9,14,15,20,23,10,8,4,14,9,bicaorum,NA,65.32,0.870933333
2022,12,NA,boulengerianus-UF-101889-IMG_09188.JPG,boulengerianus-UF-101889-IMG_09191.JPG,boulengerianus-UF-101889-IMG_09192.JPG,boulengerianus-UF-101889-IMG_09194.JPG,boulengerianus-UF-101889-IMG_09195.JPG,boulengerianus-UF-101889-IMG_09196.JPG,boulengerianus-UF-101889-IMG_09198.JPG,F,101889,3.03,1.01,UF,NA,NA,7,8,10,15,18,7,6,4,14,9,boulengerianus,NA,50.49,0.870517241
2022,12,NA,boulengerianus-UF-101891-IMG_09200.JPG,boulengerianus-UF-101891-IMG_09202.JPG,boulengerianus-UF-101891-IMG_09203.JPG,boulengerianus-UF-101891-IMG_09205.JPG,boulengerianus-UF-101891-IMG_09206.JPG,boulengerianus-UF-101891-IMG_09207.JPG,boulengerianus-UF-101891-IMG_09209.JPG,M,101891,2.93,0.98,UF,NA,NA,6,10,10,16,18,9,7,3,13,8,boulengerianus,NA,48.88,0.754670372
NA,NA,NA,maynardii-UF-21785-IMG_09091.JPG,maynardii-UF-21785-IMG_09093.JPG,maynardii-UF-21785-IMG_09094.JPG,NA,NA,maynardii-UF-21785-IMG_09096.JPG,maynardii-UF-21785-IMG_09097.JPG,M,21785,3.78,1.26,UF,NA,missing ventral and chin images,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,maynardii,NA,63.05,0.802264919
2022,12,NA,maynardii-UF-63458-IMG_09067.JPG,maynardii-UF-63458-IMG_09069.JPG,maynardii-UF-63458-IMG_09070.JPG,maynardii-UF-63458-IMG_09072.JPG,maynardii-UF-63458-IMG_09073.JPG,maynardii-UF-63458-IMG_09074.JPG,maynardii-UF-63458-IMG_09077.JPG,F,63458,2.87,0.96,UF,NA,NA,5,10,10,11,17,9,11,5,22,14,maynardii,NA,47.87,0.871790202
2022,12,NA,maynardii-UF-63459-IMG_09078.JPG,maynardii-UF-63459-IMG_09080.JPG,maynardii-UF-63459-IMG_09081.JPG,maynardii-UF-63459-IMG_09083.JPG,maynardii-UF-63459-IMG_09085.JPG,maynardii-UF-63459-IMG_09087.JPG,maynardii-UF-63459-IMG_09090.JPG,M,63459,4.72,1.57,UF,NA,NA,6,10,11,11,18,8,12,5,25,14,maynardii,NA,78.59,1
2022,12,NA,maynardii-UF-63460-IMG_09045.JPG,maynardii-UF-63460-IMG_09047.JPG,maynardii-UF-63460-IMG_09048.JPG,maynardii-UF-63460-IMG_09050.JPG,maynardii-UF-63460-IMG_09051.JPG,maynardii-UF-63460-IMG_09052.JPG,maynardii-UF-63460-IMG_09055.JPG,M,63460,4.18,1.4,UF,NA,NA,4,10,11,12,15,11,10,5,23,13,maynardii,NA,69.75,0.887517496
2022,12,NA,maynardii-UF-63461-IMG_09056.JPG,maynardii-UF-63461-IMG_09058.JPG,maynardii-UF-63461-IMG_09059.JPG,maynardii-UF-63461-IMG_09061.JPG,maynardii-UF-63461-IMG_09062.JPG,maynardii-UF-63461-IMG_09063.JPG,maynardii-UF-63461-IMG_09066.JPG,F,63461,3.29,1.1,UF,NA,NA,5,10,11,10,18,8,11,6,25,15,maynardii,NA,54.91,1
2022,12,NA,ocelloscapularis-UF-142459-IMG_09132.JPG,ocelloscapularis-UF-142459-IMG_09134.JPG,ocelloscapularis-UF-142459-IMG_09135.JPG,ocelloscapularis-UF-142459-IMG_09137.JPG,ocelloscapularis-UF-142459-IMG_09138.JPG,ocelloscapularis-UF-142459-IMG_09139.JPG,ocelloscapularis-UF-142459-IMG_09141.JPG,F,142459,2.6,0.87,UF,NA,NA,10,12,13,15,17,9,6,4,13,8,ocelloscapularis,NA,43.33,0.884285714
2022,12,5,ocelloscapularis-UF-149669-IMG_09166.JPG,ocelloscapularis-UF-149669-IMG_09168.JPG,ocelloscapularis-UF-149669-IMG_09168.JPG,ocelloscapularis-UF-149669-IMG_09171.JPG,ocelloscapularis-UF-149669-IMG_09172.JPG,ocelloscapularis-UF-149669-IMG_09173.JPG,ocelloscapularis-UF-149669-IMG_09175.JPG,F,149669,2.84,0.95,UF,NA,NA,8,10,12,14,21,10,6,4,12,9,ocelloscapularis,NA,47.34,0.966122449
2022,12,5,ocelloscapularis-UF-149670-IMG_09099.JPG,ocelloscapularis-UF-149670-IMG_09101.JPG,ocelloscapularis-UF-149670-IMG_09102.JPG,ocelloscapularis-UF-149670-IMG_09104.JPG,ocelloscapularis-UF-149670-IMG_09105.JPG,ocelloscapularis-UF-149670-IMG_09106.JPG,ocelloscapularis-UF-149670-IMG_09108.JPG,F,149670,2.88,0.96,UF,NA,NA,9,12,15,18,21,9,6,3,13,8,ocelloscapularis,NA,48.07,0.981020408
2022,12,5,ocelloscapularis-UF-149671-IMG_09110.JPG,ocelloscapularis-UF-149671-IMG_09112.JPG,ocelloscapularis-UF-149671-IMG_09113.JPG,ocelloscapularis-UF-149671-IMG_09115.JPG,ocelloscapularis-UF-149671-IMG_09116.JPG,ocelloscapularis-UF-149671-IMG_09117.JPG,ocelloscapularis-UF-149671-IMG_09120.JPG,M,149671,2.62,0.87,UF,NA,NA,9,13,16,18,21,10,6,4,12,8,ocelloscapularis,NA,43.6,1
2022,12,5,ocelloscapularis-UF-149673-IMG_09155.JPG,ocelloscapularis-UF-149673-IMG_09157.JPG,ocelloscapularis-UF-149673-IMG_09158.JPG,ocelloscapularis-UF-149673-IMG_09160.JPG,ocelloscapularis-UF-149673-IMG_09161.JPG,ocelloscapularis-UF-149673-IMG_09162.JPG,ocelloscapularis-UF-149673-IMG_09164.JPG,F,149673,2.93,0.98,UF,NA,NA,9,12,13,15,18,9,6,4,13,8,ocelloscapularis,NA,48.87,0.997346939
2022,12,5,ocelloscapularis-UF-149677-IMG_09144.JPG,ocelloscapularis-UF-149677-IMG_09146.JPG,ocelloscapularis-UF-149677-IMG_09147.JPG,ocelloscapularis-UF-149677-IMG_09149.JPG,ocelloscapularis-UF-149677-IMG_09150.JPG,ocelloscapularis-UF-149677-IMG_09151.JPG,ocelloscapularis-UF-149677-IMG_09153.JPG,M,149677,2.41,0.8,UF,NA,NA,11,11,15,17,20,10,5,3,11,7,ocelloscapularis,NA,40.21,0.922247706
